试卷名,编号,文本,关键字,备注,是否子句/子句关系,逗号前后特征,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,（auto）成分分析
2014北京市丰台区高考文综地理二模试题,11-A,以下诗词描述的景观适宜采用的欣赏方法是***“夕阳无限好，只是近黄昏”——以情观景，情景交融,,,×,逗号在引号内部,18,,,,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 夕阳 无限 好 ， 只是 近 黄昏 ” — — 以 情 观景 ， 情景 交融,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 夕阳 无限 好 ， 只是 近 黄昏 ” — — 以 情 观景 ， 情景 交融,JJ NN VV DEC NN AD VV DEC NN NN VC PU NN AD VA PU AD VV time PU PU PU P NN VV PU NN VV,( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (IP (NP (NN 夕阳)) (VP (ADVP (AD 无限)) (VP (VA 好)))) (PU ，) (VP (ADVP (AD 只是)) (VP (VV 近) (NP (NT 黄昏)))) (PU ”)))) (PU —) (IP (VP (LST (PU —)) (VP (PP (P 以) (NP (NN 情))) (VP (VV 观景))))) (PU ，) (NP (NN 情景)) (VP (VV 交融))) )
2014北京市丰台区高考文综地理二模试题,11-B,以下诗词描述的景观适宜采用的欣赏方法是***“衔远山，吞长江，浩浩荡荡，横无际涯”——把握观赏时机,,,×,,,16,,,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 衔 远山 ， 吞 长江 ， 浩浩 荡荡 ， 横无 际涯 ” — — 把握 观赏 时机,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 衔 远山 ， 吞 长江 ， 浩浩 荡荡 ， 横无 际涯 ” — — 把握 观赏 时机,JJ NN VV DEC NN AD VV DEC NN NN VC PU VV NN PU VV loc PU VV VV PU VV NN PU PU PU VV NN NN,( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (VP (VP (VV 衔) (NP (NN 远山))) (PU ，) (VP (VV 吞) (NP (NR 长江))) (PU ，) (VP (VCD (VV 浩浩) (VV 荡荡))) (PU ，) (VP (VV 横无) (NP (NN 际涯)))) (PU ”)))) (PU —) (PU —) (VP (VV 把握) (NP (NN 观赏) (NN 时机)))) )
2014北京市丰台区高考文综地理二模试题,11-C,以下诗词描述的景观适宜采用的欣赏方法是***“八月潮声吼地来，头高数丈触山回”——低临水面近观,,,×,,,,,,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 八月 潮声 吼地 来 ， 头高 数丈 触山回 ” — — 低临 水面 近观,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 八月 潮声 吼地 来 ， 头高 数丈 触山回 ” — — 低临 水面 近观,JJ NN VV DEC NN AD VV DEC NN NN VC PU NT NN AD VV PU VV NN NN PU PU PU VV NN VV,( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (IP (NP (NT 八月)) (NP (NN 潮声)) (VP (ADVP (AD 吼地)) (VP (VV 来)))) (PU ，) (VP (VV 头高) (NP (NN 数丈) (NN 触山回))) (PU ”)))) (PU —) (PU —) (VP (VP (VV 低临) (NP (NN 水面))) (VP (VV 近观)))) )
2014北京市丰台区高考文综地理二模试题,11-D,以下诗词描述的景观适宜采用的欣赏方法是***“小荷才露尖尖角，早有蜻蜓立上头”——在适当距离仰视,,,×,,,,,,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 小荷 才 露 尖尖角 ， 早 有 蜻蜓 立 上头 ” — — 在 适当 距离 仰视,以下 诗词 描述 的 景观 适宜 采用 的 欣赏 方法 是 “ 小荷 才 露 尖尖角 ， 早 有 蜻蜓 立 上头 ” — — 在 适当 距离 仰视,JJ NN VV DEC NN AD VV DEC NN NN VC PU NN AD VV NN PU AD VE NN VV NN PU PU PU P JJ NN VV,( (IP (IP (NP (CP (IP (NP (ADJP (JJ 以下)) (NP (NN 诗词))) (VP (VV 描述))) (DEC 的)) (CP (IP (NP (NN 景观)) (VP (ADVP (AD 适宜)) (VP (VV 采用)))) (DEC 的)) (NP (NN 欣赏) (NN 方法))) (VP (VC 是) (IP (PU “) (NP (NN 小荷)) (VP (VP (ADVP (AD 才)) (VP (VV 露) (NP (NN 尖尖角)))) (PU ，) (VP (ADVP (AD 早)) (VP (VP (VE 有) (NP (NN 蜻蜓))) (VP (VV 立) (NP (NN 上头)))))) (PU ”)))) (PU —) (PU —) (VP (PP (P 在) (NP (ADJP (JJ 适当)) (NP (NN 距离)))) (VP (VV 仰视)))) )
2014北京市海淀区高考文综地理二模试题,3-A,黄土高原地区***加大能源开发，是区域可持续发展的根本措施,是...措施,,×,,,0,,,黄土高原地区 加大 能源 开发 ， 是 区域 可 持续 发展 的 根本 措施,黄土 高原 地区 加大 能源 开发 ， 是 区域 可 持续 发展 的 根本 措施,loc VV NN NN PU VC NN VV VV VV DEC NN NN,( (IP (NP (NR 黄土高原地区)) (VP (VP (VV 加大) (NP (NN 能源) (NN 开发))) (PU ，) (VP (VC 是) (NP (NP (NN 区域)) (CP (IP (VP (VV 可) (VP (VV 持续) (VP (VV 发展))))) (DEC 的)) (NP (NN 根本) (NN 措施)))))) )
2014北京市海淀区高考文综地理二模试题,3-B,黄土高原地区***扩大开垦荒地，利于提高农业机械化水平,利于,,×,,,0,,,黄土高原地区 扩大 开垦 荒地 ， 利于 提高 农业 机械化 水平,黄土 高原 地区 扩大 开垦 荒地 ， 利于 提高 农业 机械化 水平,loc VV VV NN PU VV VV NN NN NN,( (IP (NP (NR 黄土高原地区)) (VP (VV 扩大) (IP (VP (VP (VV 开垦) (NP (NN 荒地))) (PU ，) (VP (VV 利于) (IP (VP (VV 提高) (NP (NN 农业) (NN 机械化) (NN 水平))))))))) )
2014北京市海淀区高考文综地理二模试题,3-C,黄土高原地区***保持传统耕作技术，有助于提高环境承载力,有助于,,×,,,0,8,,黄土高原地区 保持 传统 耕作 技术 ， 有助于 提高 环境承载力,黄土 高原 地区 保持 传统 耕作 技术 ， 有助于 提高 环境 承载力,loc VV JJ NN NN PU VV VV term,( (IP (NP (NR 黄土高原地区)) (VP (VP (VV 保持) (NP (ADJP (JJ 传统)) (NP (NN 耕作) (NN 技术)))) (PU ，) (VP (VV 有助于) (IP (VP (VV 提高) (NP (NN 环境承载力))))))) )
2014北京市海淀区高考文综地理二模试题,3-D,黄土高原地区***开展小流域综合治理，利于充分利用水土资源,利于,,×,,,0,,,黄土高原地区 开展 小 流域 综合 治理 ， 利于 充分 利用 水土 资源,黄土 高原 地区 开展 小 流域 综合 治理 ， 利于 充分 利用 水土 资源,loc VV JJ NN JJ NN PU VV AD VV NN NN,( (IP (NP (NR 黄土高原地区)) (VP (VP (VV 开展) (NP (NP (ADJP (JJ 小)) (NP (NN 流域))) (ADJP (JJ 综合)) (NP (NN 治理)))) (PU ，) (VP (VV 利于) (VP (ADVP (AD 充分)) (VP (VV 利用) (NP (NN 水土) (NN 资源))))))) )
2014北京市海淀区高考文综地理二模试题,8-B,马六甲海峡***受东南信风影响，该海域风大浪急,受...影响,,因果/并列,后半句有对前半句主语的复述,,0,2,,马六甲海峡 受 东南信风 影响 ， 该 海域 风 大 浪 急,马六甲 海峡 受 东南 信风 影响 ， 该 海域 风 大 浪 急,loc VV term NN PU DT NN NN VA NN VA,( (IP (NP (NR 马六甲海峡)) (VP (VV 受) (IP (NP (NN 东南信风) (NN 影响)) (PU ，) (NP (DP (DT 该)) (NP (NN 海域))) (IP (IP (NP (NN 风)) (VP (VA 大))) (IP (NP (NN 浪)) (VP (VA 急))))))) )
2014北京市西城区高考文综地理二模试题,9-A,北京市***春季因升温快，热岛效应最强,因,,因果,一个表原因，一个表结果,1,0,6,,北京市 春季 因 升温 快 ， 热岛效应 最 强,北京市 春季 因 升温 快 ， 热岛 效应 最 强,loc time P VV VA PU term AD VA,( (IP (NP (NR 北京市)) (NP (NT 春季)) (PP (P 因) (IP (VP (IP (VP (VV 升温))) (VP (VA 快))))) (PU ，) (NP (NN 热岛效应)) (VP (ADVP (AD 最)) (VP (VA 强)))) )
北京市朝阳区2013届高三年级统一考试,8-B,下列有关③④两地小麦生产的叙述，正确的是***仅从气候角度考虑，④地小麦的千粒重较③地大,？？？,,×,,,2 17 22,,,下列 有关 ③④两地 小麦 生产 的 叙述 ， 正确 的 是 仅 从 气候 角度 考虑 ， ④地 小麦 的 千粒重 较 ③地 大,下列 有关 ③ ④ 两地 小麦 生产 的 叙述 ， 正确 的 是 仅 从 气候 角度 考虑 ， ④地 小麦 的 千粒重 较 ③地 大,JJ P loc NN NN DEG NN PU VA DEC VC AD P NN NN VV PU loc NN DEG NN P loc VA,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 有关) (NP (NP (NR ③④两地) (NN 小麦)) (NP (NN 生产)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (ADVP (AD 仅)) (IP (VP (PP (P 从) (NP (NN 气候) (NN 角度))) (VP (VV 考虑)))) (PU ，) (NP (DNP (NP (NP (NR ④地)) (NP (NN 小麦))) (DEG 的)) (NP (NN 千粒重))) (VP (PP (P 较) (NP (NR ③地))) (VP (VA 大)))))) )
北京市朝阳区2013届高三年级统一考试,32-C,污水再生回用***虽无经济效益，但有环境效益,虽...但...,,转折,转折,,,,,污水 再生 回用 虽 无 经济 效益 ， 但 有 环境 效益,污水 再生 回用 虽 无 经济 效益 ， 但 有 环境 效益,NN VV VV CS VE NN NN PU AD VE NN NN,( (IP (IP (NP (NN 污水)) (VP (VV 再生))) (IP (VP (VP (VV 回用) (IP (VP (ADVP (CS 虽)) (VP (VE 无) (NP (NN 经济) (NN 效益)))))) (PU ，) (VP (ADVP (AD 但)) (VP (VE 有) (NP (NN 环境) (NN 效益))))))) )
北京市西城区2014届高三第一学期期末试卷,10-B,云南滑坡和泥石流***东部次数少，由于处于喀斯特地貌区,由于,,因果,因果,,0,1 3,,云南 滑坡 和 泥石流 东部 次数 少 ， 由于 处于 喀斯特地貌区,云南 滑坡 和 泥石流 东部 次数 少 ， 由于 处于 喀斯特 地貌 区,loc term CC term NN NN VA PU P VV NR,( (IP (NP (NP (NR 云南)) (NP (NN 滑坡) (CC 和) (NN 泥石流))) (IP (IP (NP (NN 东部) (NN 次数)) (VP (VA 少))) (PU ，) (IP (VP (PP (P 由于)) (VP (VV 处于) (NP (NR 喀斯特地貌区))))))) )
北京市西城区2014届高三第一学期期末试卷,10-D,云南滑坡和泥石流***冬季几乎没有，主要原因是河流断流,主要原因,,因果,因果,4,0,1 3,,云南 滑坡 和 泥石流 冬季 几乎 没有 ， 主要 原因 是 河流 断流,云南 滑坡 和 泥石流 冬季 几乎 没有 ， 主要 原因 是 河流 断流,loc term CC term time AD VV PU JJ NN VC NN NN,( (IP (NP (NP (NR 云南)) (NP (NN 滑坡) (CC 和) (NN 泥石流))) (VP (NP (NT 冬季)) (ADVP (AD 几乎)) (VP (VV 没有) (PU ，) (IP (NP (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (NP (NN 河流) (NN 断流))))))) )
北京市西城区2014届高三第一学期期末试卷,32-C,中缅天然气管道沿线***地质条件复杂，工程量大,（）,,并列,分割点在题干中,,0 1,,,中 缅 天然气 管道 沿线 地质 条件 复杂 ， 工程量 大,中 缅 天然气 管道 沿线 地质 条件 复杂 ， 工程量 大,loc loc NN NN NN NN NN VA PU NN VA,( (IP (NP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管道))) (NP (NN 沿线))) (IP (IP (NP (NN 地质) (NN 条件)) (VP (VA 复杂))) (PU ，) (IP (NP (NN 工程量)) (VP (VA 大))))) )
北京市西城区2014届高三第一学期期末试卷,39-B,与火星环境相比，地球上存在生命是因为***质量适中，保证了液态水的存在,*因为,,因果/并列,因果,,1 5,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 质量 适中 ， 保证 了 液态水 的 存在,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 质量 适中 ， 保证 了 液态水 的 存在,P loc NN VV PU loc LC VV NN VC P NN VA PU VV AS NN DEG NN,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VP (VC 是) (PP (P 因为) (IP (NP (NN 质量)) (VP (VA 适中))))) (PU ，) (VP (VV 保证) (AS 了) (NP (DNP (NP (NN 液态水)) (DEG 的)) (NP (NN 存在)))))) )
北京市西城区2014届高三第一学期期末试卷,39-C,与火星环境相比，地球上存在生命是因为***长期演化，形成适合生物生存的大气,*因为,,因果/并列,因果,,1 5,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 长期 演化 ， 形成 适合 生物 生存 的 大气,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 长期 演化 ， 形成 适合 生物 生存 的 大气,P loc NN VV PU loc LC VV NN VC P AD VV PU VV VV NN NN DEG NN,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (IP (VP (ADVP (AD 长期)) (VP (VV 演化)))) (PU ，) (VP (VV 形成) (VP (VV 适合) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 大气))))))))) )
科大讯飞-地理测试08（北京市朝阳区高三第一学期期末统一考试）,14-A,图中J1，J2两条经线的经度分别为***55°E，60°E,{经纬度},,×,经纬度,,,,2 4 12 14,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 55°E ， 60°E,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 55°E ， 60°E,NN LC num PU num CD M NN DEG NN AD VC num PU num,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD J1) (PU ，) (CD J2)) (QP (CD 两) (CLP (M 条))) (NP (NN 经线))) (DEG 的)) (NP (NN 经度))) (VP (ADVP (AD 分别)) (VP (VC 为) (QP (CD 55°E) (PU ，) (CD 60°E))))) )
科大讯飞-地理测试08（北京市朝阳区高三第一学期期末统一考试）,14-B,图中J1，J2两条经线的经度分别为***135°E，140°E,{经纬度},,×,经纬度,,,,2 4 12 14,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 135°E ， 140°E,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 135°E ， 140°E,NN LC num PU num CD M NN DEG NN AD VC num PU num,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD J1) (PU ，) (CD J2)) (QP (CD 两) (CLP (M 条))) (NP (NN 经线))) (DEG 的)) (NP (NN 经度))) (VP (ADVP (AD 分别)) (VP (VC 为) (QP (CD 135°E) (PU ，) (CD 140°E))))) )
科大讯飞-地理测试08（北京市朝阳区高三第一学期期末统一考试）,14-C,图中J1，J2两条经线的经度分别为***170°E，175°E,{经纬度},,×,经纬度,,,,2 4 12 14,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 170°E ， 175°E,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 170°E ， 175°E,NN LC num PU num CD M NN DEG NN AD VC num PU num,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD J1) (PU ，) (CD J2)) (QP (CD 两) (CLP (M 条))) (NP (NN 经线))) (DEG 的)) (NP (NN 经度))) (VP (ADVP (AD 分别)) (VP (VC 为) (QP (CD 170°E) (PU ，) (CD 175°E))))) )
科大讯飞-地理测试08（北京市朝阳区高三第一学期期末统一考试）,14-D,图中J1，J2两条经线的经度分别为***170°W，165°W,{经纬度},,×,经纬度,,,,2 4 12 14,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 170°W ， 165°W,图 中 J1 ， J2 两 条 经线 的 经度 分别 为 170°W ， 165°W,NN LC num PU num CD M NN DEG NN AD VC num PU num,( (IP (NP (DNP (NP (LCP (NP (NN 图)) (LC 中)) (QP (CD J1) (PU ，) (CD J2)) (QP (CD 两) (CLP (M 条))) (NP (NN 经线))) (DEG 的)) (NP (NN 经度))) (VP (ADVP (AD 分别)) (VP (VC 为) (QP (CD 170°W) (PU ，) (CD 165°W))))) )
科大讯飞-地理测试08（北京市朝阳区高三第一学期期末统一考试）,30-B,发展循环经济是应对全球气候变暖、实现可持续发展的重要途径。不符合循环经济的行为是***城市大量建设垃圾发电厂，化害为利,（？也可以分？）,,因果-目的,,,,5,,发展 循环 经济 是 应对 全球气候变暖 、 实现 可持续 发展 的 重要 途径 。 不 符合 循环 经济 的 行为 是 城市 大量 建设 垃圾 发电厂 ， 化 害 为 利,发展 循环 经济 是 应对 全球 气候 变暖 、 实现 可持续 发展 的 重要 途径 。 不 符合 循环 经济 的 行为 是 城市 大量 建设 垃圾 发电厂 ， 化 害 为 利,VV JJ NN VC VV term PU VV JJ NN DEG JJ NN PU AD VV JJ NN DEG NN VC NN AD VV NN NN PU VV NN VV NN,( (IP (IP (IP (VP (VV 发展) (NP (ADJP (JJ 循环)) (NP (NN 经济))))) (VP (VC 是) (VP (VP (VV 应对) (NP (NN 全球气候变暖))) (PU 、) (VP (VV 实现) (NP (DNP (NP (ADJP (JJ 可持续)) (NP (NN 发展))) (DEG 的)) (ADJP (JJ 重要)) (NP (NN 途径))))))) (PU 。) (IP (IP (VP (ADVP (AD 不)) (VP (VV 符合) (NP (DNP (NP (ADJP (JJ 循环)) (NP (NN 经济))) (DEG 的)) (NP (NN 行为)))))) (VP (VC 是) (IP (NP (NN 城市)) (VP (ADVP (AD 大量)) (VP (VP (VV 建设) (NP (NN 垃圾) (NN 发电厂))) (PU ，) (VP (VP (VV 化) (NP (NN 害))) (VP (VV 为) (NP (NN 利)))))))))) )
科大讯飞-地理测试09（北京市东城区2011届高三第一学期期末教学统一检测）,17-A,明代郑和七下西洋，利用盛行风在甲、丙、丁三地之间往返，下列叙述正确的是***夏季，利用东北风，从甲地经丙地到达丁地,利用，《》,,因果-目的？,一个为时间词，一个为工具,17,8 23 25 27,6 20,,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲、丙、丁三地 之间 往返 ， 下列 叙述 正确 的 是 夏季 ， 利用 东北风 ， 从 甲地 经 丙地 到达 丁地,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲 、 丙 、 丁三地 之间 往返 ， 下列 叙述 正确 的 是 夏季 ， 利用 东北风 ， 从 甲地 经 丙地 到达 丁地,NR NR VV NN PU VV term P loc LC VV PU JJ NN VA DEC VC time PU VV term PU P loc P loc VV loc,( (IP (IP (NP (NR 明代) (NR 郑和)) (VP (VV 七下) (NP (NN 西洋)))) (PU ，) (IP (VP (VP (VV 利用) (NP (NN 盛行风))) (VP (PP (P 在) (LCP (NP (NR 甲、丙、丁三地)) (LC 之间))) (VP (VV 往返))))) (PU ，) (IP (NP (ADJP (JJ 下列)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NT 夏季)))) (PU ，) (IP (VP (VV 利用) (NP (NN 东北风)))) (PU ，) (IP (VP (PP (P 从) (NP (NR 甲地))) (PP (P 经) (NP (NR 丙地))) (VP (VV 到达) (NP (NR 丁地)))))) )
科大讯飞-地理测试09（北京市东城区2011届高三第一学期期末教学统一检测）,17-B,明代郑和七下西洋，利用盛行风在甲、丙、丁三地之间往返，下列叙述正确的是***夏季，利用西南风，从丁地经丙地返回甲地,利用，《》,,因果-目的？,,17,8 23 25 27,6 20,,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲、丙、丁三地 之间 往返 ， 下列 叙述 正确 的 是 夏季 ， 利用 西南风 ， 从 丁地 经 丙地 返回 甲地,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲 、 丙 、 丁三地 之间 往返 ， 下列 叙述 正确 的 是 夏季 ， 利用 西南风 ， 从 丁地 经 丙地 返回 甲地,NR NR VV NN PU VV term P loc LC VV PU JJ NN VA DEC VC time PU VV term PU P loc P loc VV loc,( (IP (IP (NP (NR 明代) (NR 郑和)) (VP (VV 七下) (NP (NN 西洋)))) (PU ，) (IP (VP (VP (VV 利用) (NP (NN 盛行风))) (VP (PP (P 在) (LCP (NP (NR 甲、丙、丁三地)) (LC 之间))) (VP (VV 往返))))) (PU ，) (IP (NP (ADJP (JJ 下列)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NT 夏季)))) (PU ，) (IP (VP (VV 利用) (NP (NN 西南风)))) (PU ，) (IP (VP (PP (PP (P 从) (NP (NR 丁地))) (PP (P 经) (NP (NR 丙地)))) (VP (VV 返回) (NP (NR 甲地)))))) )
科大讯飞-地理测试09（北京市东城区2011届高三第一学期期末教学统一检测）,17-C,明代郑和七下西洋，利用盛行风在甲、丙、丁三地之间往返，下列叙述正确的是***冬季，利用西南风，从甲地经丙地到达丁地,利用，《》,,因果-目的？,,17,8 23 25 27,6 20,,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲、丙、丁三地 之间 往返 ， 下列 叙述 正确 的 是 冬季 ， 利用 西南风 ， 从 甲地 经 丙地 到达 丁地,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲 、 丙 、 丁三地 之间 往返 ， 下列 叙述 正确 的 是 冬季 ， 利用 西南风 ， 从 甲地 经 丙地 到达 丁地,NR NR VV NN PU VV term P loc LC VV PU JJ NN VA DEC VC time PU VV term PU P loc P loc VV loc,( (IP (IP (NP (NR 明代) (NR 郑和)) (VP (VV 七下) (NP (NN 西洋)))) (PU ，) (IP (VP (VP (VV 利用) (NP (NN 盛行风))) (VP (PP (P 在) (LCP (NP (NR 甲、丙、丁三地)) (LC 之间))) (VP (VV 往返))))) (PU ，) (IP (NP (ADJP (JJ 下列)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NT 冬季)))) (PU ，) (IP (VP (VV 利用) (NP (NN 西南风)))) (PU ，) (IP (VP (PP (P 从) (NP (NR 甲地))) (PP (P 经) (NP (NR 丙地))) (VP (VV 到达) (NP (NR 丁地)))))) )
科大讯飞-地理测试09（北京市东城区2011届高三第一学期期末教学统一检测）,17-D,明代郑和七下西洋，利用盛行风在甲、丙、丁三地之间往返，下列叙述正确的是***冬季，利用东北风，从丁地经丙地返回甲地,利用，《》,,因果-目的？,,17,8 23 25 27,6 20,,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲、丙、丁三地 之间 往返 ， 下列 叙述 正确 的 是 冬季 ， 利用 东北风 ， 从 丁地 经 丙地 返回 甲地,明代 郑和 七下 西洋 ， 利用 盛行风 在 甲 、 丙 、 丁三地 之间 往返 ， 下列 叙述 正确 的 是 冬季 ， 利用 东北风 ， 从 丁地 经 丙地 返回 甲地,NR NR VV NN PU VV term P loc LC VV PU JJ NN VA DEC VC time PU VV term PU P loc P loc VV loc,( (IP (IP (NP (NR 明代) (NR 郑和)) (VP (VV 七下) (NP (NN 西洋)))) (PU ，) (IP (VP (VP (VV 利用) (NP (NN 盛行风))) (VP (PP (P 在) (LCP (NP (NR 甲、丙、丁三地)) (LC 之间))) (VP (VV 往返))))) (PU ，) (IP (NP (ADJP (JJ 下列)) (NP (NN 叙述))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NT 冬季)))) (PU ，) (IP (VP (VV 利用) (NP (NN 东北风)))) (PU ，) (IP (VP (PP (PP (P 从) (NP (NR 丁地))) (PP (P 经) (NP (NR 丙地)))) (VP (VV 返回) (NP (NR 甲地)))))) )
科大讯飞-地理测试10（北京市东城区普通校2013届高三联考）,6-A,甲图为大气受热过程示意图。青藏高原与四川盆地纬度相当，关于两地热力状况的比较，正确的是***青藏高原的年平均气温较低，与①大小有关,与...有关,,×？,关联、影响关系,,7 9 24,10,,甲图 为 大气 受热 过程 示意图 。 青藏高原 与 四川盆地 纬度 相当 ， 关于 两 地 热力 状况 的 比较 ， 正确 的 是 青藏高原 的 年 平均 气温 较 低 ， 与 ① 大小 有关,甲图 为 大气 受热 过程 示意图 。 青藏 高原 与 四川 盆地 纬度 相当 ， 关于 两 地 热力 状况 的 比较 ， 正确 的 是 青藏 高原 的 年 平均 气温 较 低 ， 与 ① 大小 有关,NN VC NN NN NN NN PU loc CC loc term AD PU P CD NN NN NN DEG NN PU VA DEC VC loc DEG JJ JJ NN AD VA PU P NN NN VV,( (IP (IP (NP (NN 甲图)) (VP (VC 为) (NP (NP (NN 大气) (NN 受热) (NN 过程)) (NP (NN 示意图))))) (PU 。) (IP (IP (NP (NP (NR 青藏高原) (CC 与) (NR 四川盆地)) (NP (NN 纬度))) (VP (ADVP (AD 相当)) (PU ，) (VP (P 关于) (NP (DNP (NP (NP (QP (CD 两)) (NP (NN 地))) (NP (NN 热力) (NN 状况))) (DEG 的)) (NP (NN 比较)))))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (DNP (NP (NR 青藏高原)) (DEG 的)) (ADJP (JJ 年)) (ADJP (JJ 平均)) (NP (NN 气温))) (VP (ADVP (AD 较)) (VP (VA 低)))) (PU ，) (IP (VP (PP (P 与) (NP (NN ①) (NN 大小))) (VP (VV 有关)))))))) )
科大讯飞-地理测试10（北京市东城区普通校2013届高三联考）,6-B,甲图为大气受热过程示意图。青藏高原与四川盆地纬度相当，关于两地热力状况的比较，正确的是***四川盆地的年太阳总辐射量较小，与②大小有关,与...有关,,×？,,,7 9 24,10 26,,甲图 为 大气 受热 过程 示意图 。 青藏高原 与 四川盆地 纬度 相当 ， 关于 两 地 热力 状况 的 比较 ， 正确 的 是 四川盆地 的 年太阳总辐射量 较 小 ， 与 ② 大小 有关,甲图 为 大气 受热 过程 示意图 。 青藏 高原 与 四川 盆地 纬度 相当 ， 关于 两 地 热力 状况 的 比较 ， 正确 的 是 四川 盆地 的 年 太阳 总 辐射量 较 小 ， 与 ② 大小 有关,NN VC NN NN NN NN PU loc CC loc term AD PU P CD NN NN NN DEG NN PU VA DEC VC loc DEG term AD VA PU P NN NN VV,( (IP (IP (NP (NN 甲图)) (VP (VC 为) (NP (NP (NN 大气) (NN 受热) (NN 过程)) (NP (NN 示意图))))) (PU 。) (IP (IP (NP (NP (NR 青藏高原) (CC 与) (NR 四川盆地)) (NP (NN 纬度))) (VP (ADVP (AD 相当)) (PU ，) (VP (P 关于) (NP (DNP (NP (NP (QP (CD 两)) (NP (NN 地))) (NP (NN 热力) (NN 状况))) (DEG 的)) (NP (NN 比较)))))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (DNP (NP (NR 四川盆地)) (DEG 的)) (NP (NN 年太阳总辐射量))) (VP (ADVP (AD 较)) (VP (VA 小)))) (PU ，) (IP (VP (PP (P 与) (NP (NN ②) (NN 大小))) (VP (VV 有关)))))))) )
