编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
5-B,大量调水后，汉江的丹江口下游	河流对地下水的补给减少,None,,4 6,,,大量 调水 后 ， 汉江 的 丹江口 下游 河流 对 地下水 的 补给 减少,大量 调水 后 ， 汉江 的 丹江口 下游 河流 对 地下水 的 补给 减少,AD VV LC PU loc DEG loc NN NN P NN DEG NN VV,,趋势_0（汉江的丹江口下游，河流对地下水的补给，大量调水，减少）,趋势_0（汉江的丹江口下游，河流对地下水的补给，大量调水，减少）,0_2-13,0_2-13,趋势,趋势,,,大量 调水 后 ， 汉江 的 丹 江口 下游 河流 对 地下水 的 补给 减少,大量 调水 后 ， 汉江 的 丹江口 下游 河流 对 地下水 的 补给 减少,AD VV LC PU loc DEG loc NN NN P NN DEG NN VV,( (IP (LCP (IP (VP (ADVP (AD 大量)) (VP (VV 调水)))) (LC 后)) (PU ，) (NP (DNP (NP (NR 汉江)) (DEG 的)) (NP (NR 丹江口) (NN 下游) (NN 河流))) (VP (PP (P 对) (NP (DNP (NP (NN 地下水)) (DEG 的)) (NP (NN 补给)))) (VP (VV 减少)))) )
5-C,大量调水后，汉江的丹江口下游	航运能力提高,None,,4 6,,,大量 调水 后 ， 汉江 的 丹江口 下游 航运 能力 提高,大量 调水 后 ， 汉江 的 丹江口 下游 航运 能力 提高,AD VV LC PU loc DEG loc NN NN NN VV,,趋势_0（汉江的丹江口下游，航运能力，大量调水，提高）,趋势_0（汉江的丹江口下游，航运能力，大量调水，提高）,0_2-10,0_2-10,趋势,趋势,,,大量 调水 后 ， 汉江 的 丹 江口 下游 航运 能力 提高,大量 调水 后 ， 汉江 的 丹江口 下游 航运 能力 提高,AD VV LC PU loc DEG loc NN NN NN VV,( (IP (LCP (IP (VP (ADVP (AD 大量)) (VP (VV 调水)))) (LC 后)) (PU ，) (NP (DNP (NP (NR 汉江)) (DEG 的)) (NP (NR 丹江口)) (NP (NN 下游) (NN 航运) (NN 能力))) (VP (VV 提高))) )
5-D,大量调水后，汉江的丹江口下游	河流对河道侵蚀作用增强,None,,4 6,,,大量 调水 后 ， 汉江 的 丹江口 下游 河流 对 河道 侵蚀作用 增强,大量 调水 后 ， 汉江 的 丹江口 下游 河流 对 河道 侵蚀 作用 增强,AD VV LC PU loc DEG loc NN NN P NN NN VV,,趋势_0（汉江的丹江口下游，河流对河道侵蚀作用，大量调水，增强）,趋势_0（汉江的丹江口下游，河流对河道侵蚀作用，大量调水，增强）,0_2-12,0_2-12,趋势,趋势,,,大量 调水 后 ， 汉江 的 丹 江口 下游 河流 对 河道 侵蚀作用 增强,大量 调水 后 ， 汉江 的 丹江口 下游 河流 对 河道 侵蚀作用 增强,AD VV LC PU loc DEG loc NN NN P NN VV VV,( (IP (LCP (IP (VP (ADVP (AD 大量)) (VP (VV 调水)))) (LC 后)) (PU ，) (NP (DNP (NP (NR 汉江)) (DEG 的)) (NP (NR 丹江口) (NN 下游) (NN 河流))) (VP (PP (P 对) (NP (NN 河道) (NN 侵蚀作用))) (VP (VV 增强)))) )
6-A,丹霞地貌形成过程是	固结成岩—风化、侵蚀—地壳抬升,None,,,0 4 6 8 10,,丹霞地貌 形成 过程 是 固结成岩 — 风化 、 侵蚀 — 地壳抬升,丹霞 地貌 形成 过程 是 固结 成岩 — 风化 、 侵蚀 — 地壳 抬升,term NN NN VC term PU term PU term PU term,,实体信息陈述_0（丹霞，地貌形成过程，固结成岩—风化、侵蚀—地壳抬升）,实体信息陈述_0（丹霞，地貌形成过程，列表_1（固结成岩，风化、侵蚀，地壳抬升））,,1_5-9,实体信息陈述,实体信息陈述 列表,,,丹霞地貌 形成 过程 是 固结成岩 — 风化 、 侵蚀 — 地壳 抬升,丹霞地貌 形成 过程 是 固结成岩 — 风化 、 侵蚀 — 地壳 抬升,term VV NN VC term PU term PU term PU term,( (IP (NP (NP (NN 丹霞地貌) (NN 形成)) (NP (NN 过程))) (VP (VC 是) (NP (NN 固结成岩) (PU —) (NN 风化) (PU 、) (NN 侵蚀) (PU —) (NN 地壳抬升)))) )
6-B,丹霞地貌形成过程是	固结成岩—地壳运动、裂隙—侵蚀,None,,,0 4 6 8 10,,丹霞地貌 形成 过程 是 固结成岩 — 地壳运动 、 裂隙 — 侵蚀,丹霞 地貌 形成 过程 是 固结 成岩 — 地壳 运动 、 裂隙 — 侵蚀,term NN NN VC term PU term PU term PU term,,实体信息陈述_0（丹霞，地貌形成过程，固结成岩—地壳运动、裂隙—侵蚀）,实体信息陈述_0（丹霞，地貌形成过程，列表_1（固结成岩，地壳运动、裂隙，侵蚀））,,1_5-9,实体信息陈述,实体信息陈述 列表,,,丹霞地貌 形成 过程 是 固结成岩 — 地壳运动 、 裂隙 — 侵蚀,丹霞地貌 形成 过程 是 固结成岩 — 地壳运动 、 裂隙 — 侵蚀,term VV NN VC term PU term PU term PU term,( (IP (NP (NP (NN 丹霞地貌) (NN 形成)) (NP (NN 过程))) (VP (VC 是) (NP (NN 固结成岩) (PU —) (NN 地壳运动) (PU 、) (NN 裂隙) (PU —) (NN 侵蚀)))) )
6-C,丹霞地貌形成过程是	地壳下沉—侵蚀、搬运—固结成岩,None,,,0 4 6 8 10,,丹霞地貌 形成 过程 是 地壳下沉 — 侵蚀 、 搬运 — 固结成岩,丹霞 地貌 形成 过程 是 地壳 下沉 — 侵蚀 、 搬运 — 固结 成岩,term NN NN VC term PU term PU term PU term,,实体信息陈述_0（丹霞，地貌形成过程，地壳下沉—侵蚀、搬运—固结成岩）,实体信息陈述_0（丹霞，地貌形成过程，列表_1（地壳下沉，侵蚀、搬运，固结成岩））,,1_5-9,实体信息陈述,实体信息陈述 列表,,,丹霞地貌 形成 过程 是 地壳 下沉 — 侵蚀 、 搬运 — 固结成岩,丹霞地貌 形成 过程 是 地壳 下沉 — 侵蚀 、 搬运 — 固结成岩,term VV NN VC term PU term PU term PU term,( (IP (NP (NP (NN 丹霞地貌) (NN 形成)) (NP (NN 过程))) (VP (VC 是) (NP (NN 地壳下沉) (PU —) (NN 侵蚀) (PU 、) (NN 搬运) (PU —) (NN 固结成岩)))) )
6-D,丹霞地貌形成过程是	变质作用—风化剥蚀、搬运—堆积,None,,,0 4 6 8 10,,丹霞地貌 形成 过程 是 变质作用 — 风化剥蚀 、 搬运 — 堆积,丹霞 地貌 形成 过程 是 变质 作用 — 风化 剥蚀 、 搬运 — 堆积,term NN NN VC term PU term PU term PU term,,实体信息陈述_0（丹霞，地貌形成过程，变质作用—风化剥蚀、搬运—堆积）,实体信息陈述_0（丹霞，地貌形成过程，列表_1（变质作用，风化剥蚀、搬运，堆积））,,1_5-9,实体信息陈述,实体信息陈述 列表,,,丹霞地貌 形成 过程 是 变质作用 — 风化 剥蚀 、 搬运 — 堆积,丹霞地貌 形成 过程 是 变质作用 — 风化 剥蚀 、 搬运 — 堆积,term VV NN VC term PU term PU term PU term,( (IP (NP (NP (NN 丹霞地貌) (NN 形成)) (NP (NN 过程))) (VP (VC 是) (NP (NN 变质作用) (PU —) (NN 风化剥蚀) (PU 、) (NN 搬运) (PU —) (NN 堆积)))) )
7-A,关于丹霞地貌的类型	甲为干旱峰林型,None,,,1,,关于 丹霞地貌 的 类型 甲 为 干旱 峰林 型,关于 丹霞 地貌 的 类型 甲 为 干旱 峰林 型,P term DEG NN NN VC NN NN NN,,匹配_0（甲，干旱峰林型）,匹配_0（甲，干旱峰林型）,0_5,0_5,匹配,匹配,,,关于 丹霞地貌 的 类型 甲为 干旱 峰林 型,关于 丹霞地貌 的 类型 甲为 干旱 峰林 型,P term DEG NN NN VC NN NN NN,( (IP (NP (DNP (PP (P 关于) (NP (NN 丹霞地貌))) (DEG 的)) (NP (NN 类型) (NN 甲))) (VP (VC 为) (NP (NP (NN 干旱) (NN 峰林)) (NP (NN 型))))) )
7-B,关于丹霞地貌的类型	甲为湿润山地型,None,,,1,,关于 丹霞地貌 的 类型 甲 为 湿润 山地 型,关于 丹霞 地貌 的 类型 甲 为 湿润 山地 型,P term DEG NN NN VC NN NN NN,,匹配_0（甲，湿润山地型）,匹配_0（甲，湿润山地型）,0_5,0_5,匹配,匹配,,,关于 丹霞地貌 的 类型 甲 为 湿润 山地 型,关于 丹霞地貌 的 类型 甲 为 湿润 山地 型,P term DEG NN NN VC VV NN NN,( (IP (NP (DNP (PP (P 关于) (NP (NN 丹霞地貌))) (DEG 的)) (NP (NN 类型) (NN 甲))) (VP (VC 为) (NP (NP (NN 湿润) (NN 山地)) (NP (NN 型))))) )
7-C,关于丹霞地貌的类型	乙为湿润峰林型,None,,,1,,关于 丹霞地貌 的 类型 乙 为 湿润 峰林 型,关于 丹霞 地貌 的 类型 乙 为 湿润 峰林 型,P term DEG NN NN VC NN NN NN,,匹配_0（乙，湿润峰林型）,匹配_0（乙，湿润峰林型）,0_5,0_5,匹配,匹配,,,关于 丹霞地貌 的 类型 乙 为 湿润 峰林 型,关于 丹霞地貌 的 类型 乙 为 湿润 峰林 型,P term DEG NN NN VC VV NN NN,( (IP (NP (DNP (PP (P 关于) (NP (NN 丹霞地貌))) (DEG 的)) (NP (NN 类型) (NN 乙))) (VP (VC 为) (NP (NP (NN 湿润) (NN 峰林)) (NP (NN 型))))) )
7-D,关于丹霞地貌的类型	乙为干旱峡谷型,None,,,1,,关于 丹霞地貌 的 类型 乙 为 干旱 峡谷 型,关于 丹霞 地貌 的 类型 乙 为 干旱 峡谷 型,P term DEG NN NN VC NN NN NN,,匹配_0（乙，干旱峡谷型）,匹配_0（乙，干旱峡谷型）,0_5,0_5,匹配,匹配,,,关于 丹霞地貌 的 类型 乙 为 干旱 峡谷 型,关于 丹霞地貌 的 类型 乙 为 干旱 峡谷 型,P term DEG NN NN VC NN NN NN,( (NP (IP (NP (DNP (PP (P 关于) (NP (NN 丹霞地貌))) (DEG 的)) (NP (NN 类型) (NN 乙))) (VP (VC 为) (NP (NN 干旱) (NN 峡谷)))) (NP (NN 型))) )
8-A,若①②③④表示不同历史阶段人口增长特点，则其发展顺序是	①②③④,None,,,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ② ③ ④,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ② ③ ④,CS NN NN NN NN VV JJ NN NN NN NN NN PU AD PN NN NN VC NN NN NN NN,,实体信息陈述_0（其，发展顺序， ①②③④）,实体信息陈述_0（其，发展顺序， ①②③④）,,,实体信息陈述,实体信息陈述,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ② ③ ④,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ② ③ ④,CS AD VV NN AD VV JJ NN NN NN VV NN PU AD PN VV NN VC NN AD VV NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VV 表示) (NP (NP (NP (ADJP (JJ 不同)) (NP (NN 历史) (NN 阶段))) (NP (NN 人口) (NN 增长))) (NP (NN 特点)))))) (PU ，) (ADVP (AD 则)) (NP (NP (PN 其)) (NP (NN 发展) (NN 顺序))) (VP (VC 是) (NP (NN ①) (NN ②) (NN ③) (NN ④)))) )
8-B,若①②③④表示不同历史阶段人口增长特点，则其发展顺序是	①④②③,None,,,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ④ ② ③,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ④ ② ③,CS NN NN NN NN VV JJ NN NN NN NN NN PU AD PN NN NN VC NN NN NN NN,,实体信息陈述_0（其，发展顺序， ①④②③）,实体信息陈述_0（其，发展顺序， ①④②③）,,,实体信息陈述,实体信息陈述,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ④ ② ③,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ① ④ ② ③,CS AD VV NN AD VV JJ NN NN NN VV NN PU AD PN VV NN VC NN AD VV NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VV 表示) (NP (NP (NP (ADJP (JJ 不同)) (NP (NN 历史) (NN 阶段))) (NP (NN 人口) (NN 增长))) (NP (NN 特点)))))) (PU ，) (ADVP (AD 则)) (NP (NP (PN 其)) (NP (NN 发展) (NN 顺序))) (VP (VC 是) (NP (NN ①) (NN ④) (NN ②) (NN ③)))) )
8-C,若①②③④表示不同历史阶段人口增长特点，则其发展顺序是	④①②③,None,,,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ① ② ③,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ① ② ③,CS NN NN NN NN VV JJ NN NN NN NN NN PU AD PN NN NN VC NN NN NN NN,,实体信息陈述_0（其，发展顺序，④①②③）,实体信息陈述_0（其，发展顺序，④①②③）,,,实体信息陈述,实体信息陈述,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ① ② ③,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ① ② ③,CS AD VV NN AD VV JJ NN NN NN VV NN PU AD PN VV NN VC NN AD VV NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VV 表示) (NP (NP (NP (ADJP (JJ 不同)) (NP (NN 历史) (NN 阶段))) (NP (NN 人口) (NN 增长))) (NP (NN 特点)))))) (PU ，) (ADVP (AD 则)) (NP (NP (PN 其)) (NP (NN 发展) (NN 顺序))) (VP (VC 是) (NP (NN ④) (NN ①) (NN ②) (NN ③)))) )
8-D,若①②③④表示不同历史阶段人口增长特点，则其发展顺序是	④③②①,None,,,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ③ ② ①,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ③ ② ①,CS NN NN NN NN VV JJ NN NN NN NN NN PU AD PN NN NN VC NN NN NN NN,,实体信息陈述_0（其，发展顺序，④③②①）,实体信息陈述_0（其，发展顺序，④③②①）,,,实体信息陈述,实体信息陈述,,,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ③ ② ①,若 ① ② ③ ④ 表示 不同 历史 阶段 人口 增长 特点 ， 则 其 发展 顺序 是 ④ ③ ② ①,CS AD VV NN AD VV JJ NN NN NN VV NN PU AD PN VV NN VC NN AD VV NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VV 表示) (NP (NP (NP (ADJP (JJ 不同)) (NP (NN 历史) (NN 阶段))) (NP (NN 人口) (NN 增长))) (NP (NN 特点)))))) (PU ，) (ADVP (AD 则)) (NP (NP (PN 其)) (NP (NN 发展) (NN 顺序))) (VP (VC 是) (NP (NN ④) (NN ③) (NN ②) (NN ①)))) )
9-A,若①②③④为城市的不同发展阶段，则	①人口老龄化,None,,,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ① 人口老龄化,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ① 人口老龄化,CS NN NN NN NN VC NN DEG JJ NN NN PU AD NN VA,,实体信息陈述_0（①，人口老龄化）,实体信息陈述_0（其，发展顺序，④③②①）,,,实体信息陈述,实体信息陈述,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ① 人口老龄化,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ① 人口老龄化,CS AD VV NN AD VV NN DEG JJ NN NN PU AD VV NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VC 为) (NP (DNP (NP (NN 城市)) (DEG 的)) (ADJP (JJ 不同)) (NP (NN 发展) (NN 阶段)))))) (PU ，) (ADVP (AD 则)) (NP (NN ①)) (VP (VA 人口老龄化))) )
9-B,若①②③④为城市的不同发展阶段，则	②适宜发展劳动力密集型产业,None,,,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ② 适宜 发展 劳动力 密集型 产业,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ② 适宜 发展 劳动力 密集型 产业,CS NN NN NN NN VC NN DEG JJ NN NN PU AD NN VV VV NN NN NN,,一般陈述_0（②适宜发展劳动力密集型产业）,一般陈述_0（②适宜发展劳动力密集型产业）,,,一般陈述,一般陈述,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ② 适宜 发展 劳动力 密集型 产业,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ② 适宜 发展 劳动力 密集型 产业,CS AD VV NN AD VV NN DEG JJ NN NN PU AD VV VV VV NN NN NN,( (IP (VP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VC 为) (NP (DNP (NP (NN 城市)) (DEG 的)) (ADJP (JJ 不同)) (NP (NN 发展) (NN 阶段)))))) (PU ，) (ADVP (AD 则)) (VP (VP (NP (NN ②)) (VP (VV 适宜))) (VP (VV 发展) (NP (NP (NN 劳动力) (NN 密集型)) (NP (NN 产业))))))) )
9-C,若①②③④为城市的不同发展阶段，则	③城市化处于高水平的后期阶段,None,,,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ③ 城市化 处于 高 水平 的 后期 阶段,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ③ 城市化 处于 高 水平 的 后期 阶段,CS NN NN NN NN VC NN DEG JJ NN NN PU AD NN NN VV JJ NN DEG NN NN,,一般陈述_0（③城市化处于高水平的后期阶段）,一般陈述_0（③城市化处于高水平的后期阶段）,,,一般陈述,一般陈述,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ③ 城市化 处于 高水平 的 后期 阶段,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ③ 城市化 处于 高水平 的 后期 阶段,CS AD VV NN AD VV NN DEG JJ NN NN PU AD VV NN VV NN DEG NN NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VC 为) (NP (DNP (NP (NN 城市)) (DEG 的)) (ADJP (JJ 不同)) (NP (NN 发展) (NN 阶段)))))) (PU ，) (ADVP (AD 则)) (NP (NN ③) (NN 城市化)) (VP (VV 处于) (NP (DNP (NP (ADJP (JJ 高)) (NP (NN 水平))) (DEG 的)) (NP (NN 后期) (NN 阶段))))) )
9-D,若①②③④为城市的不同发展阶段，则	④人口迁出量大于人口迁入量,None,,,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ④ 人口 迁出量 大于 人口 迁入量,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ④ 人口 迁出量 大于 人口 迁入量,CS NN NN NN NN VC NN DEG JJ NN NN PU AD NN NN NN VV NN NN,,比较_0（④人口迁出量，人口迁入量，#，大）,比较_0（④人口迁出量，人口迁入量，#，大）,0_16,0_16,比较,比较,,,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ④ 人口 迁 出量 大于 人口 迁入 量,若 ① ② ③ ④ 为 城市 的 不同 发展 阶段 ， 则 ④ 人口 迁 出量 大于 人口 迁入 量,CS AD VV NN AD VV NN DEG JJ NN NN PU AD VV NN VV NN VV NN VV NN,( (IP (CP (ADVP (CS 若)) (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (VC 为) (NP (DNP (NP (NN 城市)) (DEG 的)) (ADJP (JJ 不同)) (NP (NN 发展) (NN 阶段)))))) (PU ，) (ADVP (AD 则)) (NP (NN ④) (NN 人口) (NN 迁出量)) (VP (VV 大于) (NP (NN 人口) (NN 迁入量)))) )
10-A,图内	景点在苏、皖、浙、闽四省,None,,4 6 8 10,,,图 内 景点 在 苏 、 皖 、 浙 、 闽 四 省,图 内 景点 在 苏 、 皖 、 浙 、 闽 四 省,NN LC NN VV loc PU loc PU loc PU loc CD NN,,位于_0（景点，苏、皖、浙、闽四省）,位于_0（景点，苏、皖、浙、闽四省）,0_3,0_3,位于,位于,,,图 内 景点 在 苏 、 皖 、 浙 、 闽四省,图 内 景点 在 苏 、 皖 、 浙 、 闽四省,NN LC NN P term PU term PU term PU term NN,( (IP (NP (LCP (NP (NN 图)) (LC 内)) (NP (NN 景点))) (VP (VV 在) (NP (NP (NR 苏) (PU 、) (NR 皖) (PU 、) (NR 浙) (PU 、) (NR 闽)) (QP (CD 四)) (NP (NN 省))))) )
10-B,图内	为壮族的主要分布地区,None,,,,,图 内 为 壮族 的 主要 分布 地区,图 内 为 壮族 的 主要 分布 地区,NN LC VC NN DEG JJ NN NN,,匹配_0（图内，壮族的主要分布地区）,匹配_0（图内，壮族的主要分布地区）,0_2,0_2,匹配,匹配,,,图 内 为 壮族 的 主要 广布 地区,图 内 为 壮族 的 主要 广布 地区,NN LC VV NN DEG JJ NN NN,( (IP (LCP (NP (NN 图)) (LC 内)) (VP (VC 为) (NP (DNP (NP (NN 壮族)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 分布) (NN 地区))))) )
10-C,图内	地形以山地、高原为主,None,,,4 6,,图 内 地形 以 山地 、 高原 为 主,图 内 地形 以 山地 、 高原 为 主,NN LC NN P term PU term VV NN,,实体信息陈述_0（图内，地形，以山地、高原为主）,实体信息陈述_0（图内，地形，以山地、高原为主）,,,实体信息陈述,实体信息陈述,,,图 内 地形 以 山地 、 高原 为 主,图 内 地形 以 山地 、 高原 为 主,NN LC NN P term PU term VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 内)) (NP (NN 地形))) (VP (PP (P 以) (NP (NN 山地) (PU 、) (NN 高原))) (VP (VV 为) (NP (NN 主))))) )
10-D,图内	各省较少受到台风影响,None,,,5,,图内 各 省 较少 受到 台风 影响,图内 各 省 较少 受到 台风 影响,NN DT NN AD VV term NN,,一般陈述_0（图内 各省较少受到台风影响）,一般陈述_0（图内 各省较少受到台风影响）,,,一般陈述,一般陈述,,,图内 各 省 较少 受到 台风 影响,图内 各 省 较少 受到 台风 影响,NN DT NN AD VV term NN,( (IP (NP (NP (NN 图内)) (DP (DT 各)) (NP (NN 省))) (VP (ADVP (AD 较少)) (VP (VV 受到) (NP (NN 台风) (NN 影响))))) )
11-A,该线路	旅游应防暴雨引发的风暴潮,None,,,8,,该 线路 旅游 应 防 暴雨 引发 的 风暴潮,该 线路 旅游 应 防 暴雨 引发 的 风暴潮,DT NN NN VV VV NN VV DEC term,,一般陈述_0（该线路 旅游应防暴雨引发的风暴潮）,一般陈述_0（该线路 旅游应防暴雨引发的风暴潮）,,,一般陈述,一般陈述,,,该 线路 旅游 应 防 暴雨 引发 的 风暴潮,该 线路 旅游 应 防 暴雨 引发 的 风暴潮,DT NN NN VV JJ NN VV DEC term,( (IP (NP (DP (DT 该)) (NP (NN 线路) (NN 旅游))) (VP (VV 应) (VP (VV 防) (NP (CP (IP (NP (NN 暴雨)) (VP (VV 引发))) (DEC 的)) (NP (NN 风暴潮)))))) )
11-B,该线路	适合老年人夏季四日休闲游,None,4,,,,该 线路 适合 老年人 夏季 四日 休闲 游,该 线路 适合 老年人 夏季 四日 休闲 游,DT NN VV NN time NT NN NN,,一般陈述_0（该线路 适合老年人夏季四日休闲游）,一般陈述_0（该线路 适合老年人夏季四日休闲游）,,,一般陈述,一般陈述,4,,该 线路 适合 老年人 夏季 四日 休闲 游,该 线路 适合 老年人 夏季 四日 休闲 游,DT NN VV NN time NT NN NN,( (IP (NP (DP (DT 该)) (NP (NN 线路))) (VP (VV 适合) (NP (NP (NN 老年人)) (NP (NT 夏季) (NT 四日)) (NP (NN 休闲) (NN 游))))) )
11-C,该线路	景观类型丰富，地域组合好,y,,,,,该 线路 景观 类型 丰富 ， 地域 组合 好,该 线路 景观 类型 丰富 ， 地域 组合 好,DT NN NN NN VA PU NN NN VA,,实体信息陈述_0（该线路，景观类型，丰富）实体信息陈述_1（该线路，地域组合，好）,实体信息陈述_0（该线路，景观类型，丰富）实体信息陈述_1（该线路，地域组合，好）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,,该 线路 景观 类型 丰富 ， 地域 组合 好,该 线路 景观 类型 丰富 ， 地域 组合 好,DT NN NN NN VA PU NN NN VA,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 线路) (NN 景观))) (NP (NN 类型))) (VP (VA 丰富))) (PU ，) (IP (NP (NN 地域) (NN 组合)) (VP (VA 好)))) )
11-C-0,该线路	景观类型丰富,ed-ori,,,,,该 线路 景观 类型 丰富,该 线路 景观 类型 丰富,DT NN NN NN VA,,实体信息陈述_0（该线路，景观类型，丰富）,实体信息陈述_0（该线路，景观类型，丰富）,,,实体信息陈述,实体信息陈述,,,该 线路 景观 类型 丰富,该 线路 景观 类型 丰富,DT NN NN NN VA,( (IP (NP (NP (DP (DT 该)) (NP (NN 线路) (NN 景观))) (NP (NN 类型))) (VP (VA 丰富))) )
11-C-1,该线路	地域组合好,ed-ori,,,,,该 线路 地域 组合 好,该 线路 地域 组合 好,DT NN NN NN VA,,实体信息陈述_0（该线路，地域组合，好）,实体信息陈述_0（该线路，地域组合，好）,,,实体信息陈述,实体信息陈述,,,该 线路 地域 组合 好,该 线路 地域 组合 好,DT NN NN NN VA,( (IP (NP (NP (DP (DT 该)) (NP (NN 线路))) (NP (NN 地域) (NN 组合))) (VP (VA 好))) )
11-D,该线路	北京游客的规模较宁夏的小,None,,2 7,,,该 线路 北京 游客 的 规模 较 宁夏 的 小,该 线路 北京 游客 的 规模 较 宁夏 的 小,DT NN loc NN DEG NN P loc DEG VA,,比较_0（北京游客，宁夏，规模，小）,比较_0（北京游客，宁夏，规模，小）,0_6,0_6,比较,比较,,2 7,该 线路 北京 游客 的 规模较 宁夏 的 小,该 线路 北京 游客 的 规模较 宁夏 的 小,DT NN loc NN DEG NN AD loc DEC JJ,( (IP (NP (DP (DT 该)) (NP (NN 线路))) (NP (DNP (NP (NP (NR 北京)) (NP (NN 游客))) (DEG 的)) (NP (NN 规模))) (VP (PP (P 较) (NP (DNP (NP (NR 宁夏)) (DEG 的)))) (VP (VA 小)))) )
