编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,在7、8月份，伦敦比北京	气温高，日较差大,y,1,3 5,,,在 7、8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,P time PU loc P loc NN VA PU NN VA,,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）,1_4-7 2_4-10,1_4-7 2_4-10,时间限定 比较,时间限定 比较,1,5,在 7、8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,在 7 、 8月份 ， 伦敦 比 北京 气温 高 ， 日较差 大,P time PU loc P loc NN VA PU NR JJ,( (IP (PP (P 在) (NP (NT 7、8月份))) (PU ，) (IP (NP (NR 伦敦)) (VP (PP (P 比) (NP (NR 北京) (NN 气温))) (VP (VA 高)))) (PU ，) (IP (NP (NN 日较差)) (VP (VA 大)))) )
5-B,该山地位于	天山山脉,None,,3,,,该 山地 位于 天山山脉,该 山地 位于 天山 山脉,DT NN VV loc,,位于_0（该山地，天山山脉）,位于_0（该山地，天山山脉）,0_2,0_2,位于,位于,,3,该 山地 位于 天山山脉,该 山地 位于 天山山脉,DT NN VV loc,( (IP (NP (DP (DT 该)) (NP (NN 山地))) (VP (VV 位于) (NP (NR 天山山脉)))) )
5-C,该山地位于	祁连山脉,None,,3,,,该 山地 位于 祁连山脉,该 山地 位于 祁连 山脉,DT NN VV loc,,位于_0（该山地，祁连山脉）,位于_0（该山地，祁连山脉）,0_2,0_2,位于,位于,,3,该 山地 位于 祁连山脉,该 山地 位于 祁连山脉,DT NN VV loc,( (IP (NP (DP (DT 该)) (NP (NN 山地))) (VP (VV 位于) (NP (NR 祁连山脉)))) )
5-D,该山地位于	昆仑山脉,None,,3,,,该 山地 位于 昆仑山脉,该 山地 位于 昆仑 山脉,DT NN VV loc,,位于_0（该山地，昆仑山脉）,位于_0（该山地，昆仑山脉）,0_2,0_2,位于,位于,,3,该 山地 位于 昆仑山脉,该 山地 位于 昆仑山脉,DT NN VV loc,( (IP (NP (DP (DT 该)) (NP (NN 山地))) (VP (VV 位于) (NP (NR 昆仑山脉)))) )
6-A,该游牧活动	需要穿越热带雨林,None,,,5,,该 游牧 活动 需要 穿越 热带雨林,该 游牧 活动 需要 穿越 热带 雨林,DT NN NN VV VV term,,实体信息陈述_0（该游牧活动，需要穿越，热带雨林）,实体信息陈述_0（该游牧活动，需要穿越，热带雨林）,,,实体信息陈述,实体信息陈述,,,该 游牧 活动 需要 穿越 热带 雨林,该 游牧 活动 需要 穿越 热带 雨林,DT NN NN VV VV term,( (IP (NP (NP (DP (DT 该)) (NP (NN 游牧))) (NP (NN 活动))) (VP (VV 需要) (VP (VV 穿越) (NP (NN 热带雨林))))) )
6-B,该游牧活动	随着雨季南北移动,None,,,4,,该 游牧 活动 随着 雨季 南北 移动,该 游牧 活动 随着 雨季 南北 移动,DT NN NN P term NN VV,,趋势_0（该游牧活动，#，雨季，南北移动）,趋势_0（该游牧活动，#，雨季，南北移动）,0_3-6,0_3-6,趋势,趋势,,,该 游牧 活动 随着 雨季 南北 移动,该 游牧 活动 随着 雨季 南北 移动,DT NN NN P term NN NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 游牧))) (NP (NN 活动))) (VP (PP (P 随着) (NP (NN 雨季) (NN 南北))) (VP (VV 移动)))) )
6-C,该游牧活动	向南可至南回归线,None,,,7,,该 游牧 活动 向 南 可 至 南回归线,该 游牧 活动 向 南 可 至 南 回归线,DT NN NN P NN VV VV term,,实体信息陈述_0（该游牧活动，向南可至，南回归线）,实体信息陈述_0（该游牧活动，向南可至，南回归线）,,,实体信息陈述,实体信息陈述,,,该 游牧 活动 向 南 可 至 南回归线,该 游牧 活动 向 南 可 至 南回归线,DT NN NN P NN VV VV term,( (IP (NP (NP (DP (DT 该)) (NP (NN 游牧))) (NP (NN 活动))) (VP (PP (P 向) (NP (NN 南))) (VP (VV 可) (VP (VV 至) (NP (NN 南回归线)))))) )
6-D,该游牧活动	易受飓风灾害侵扰,None,,,5,,该 游牧 活动 易 受 飓风 灾害 侵扰,该 游牧 活动 易 受 飓风 灾害 侵扰,DT NN NN AD VV term NN VV,,影响_0（飓风灾害，该游牧活动，侵扰）,影响_0（飓风灾害，该游牧活动，侵扰）,0_4,0_4,影响,影响,,,该 游牧 活动 易 受 飓风 灾害 侵扰,该 游牧 活动 易 受 飓风 灾害 侵扰,DT NN NN AD VV term NN VV,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 游牧))) (NP (NN 活动))) (VP (ADVP (AD 易)) (VP (VV 受) (NP (NN 飓风))))) (NP (NN 灾害)) (VP (VV 侵扰))) )
7-A,游牧至甲地的时间最可能是	1月,None,8,,,,游牧 至 甲地 的 时间 最 可能 是 1月,游牧 至 甲地 的 时间 最 可能 是 1月,VV VV NN DEG NN AD VV VC time,,实体信息陈述_0（游牧至甲地，时间，1月）,实体信息陈述_0（游牧至甲地，时间，1月）,,,实体信息陈述,实体信息陈述,8,,游牧 至 甲地 的 时间 最 可能 是 1月,游牧 至 甲地 的 时间 最 可能 是 1月,NN CC NR DEG NN AD VV VC time,( (IP (IP (VP (VRD (VV 游牧) (VV 至)) (NP (DNP (NP (NN 甲地)) (DEG 的)) (NP (NN 时间))))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NT 1月)))))) )
7-B,游牧至甲地的时间最可能是	4月,None,8,,,,游牧 至 甲地 的 时间 最 可能 是 4月,游牧 至 甲地 的 时间 最 可能 是 4月,VV VV NN DEG NN AD VV VC time,,实体信息陈述_0（游牧至甲地，时间，4月）,实体信息陈述_0（游牧至甲地，时间，4月）,,,实体信息陈述,实体信息陈述,8,,游牧 至 甲地 的 时间 最 可能 是 4月,游牧 至 甲地 的 时间 最 可能 是 4月,NN CC NR DEG NN AD VV VC time,( (IP (IP (VP (VRD (VV 游牧) (VV 至)) (NP (DNP (NP (NN 甲地)) (DEG 的)) (NP (NN 时间))))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NT 4月)))))) )
7-C,游牧至甲地的时间最可能是	7月,None,8,,,,游牧 至 甲地 的 时间 最 可能 是 7月,游牧 至 甲地 的 时间 最 可能 是 7月,VV VV NN DEG NN AD VV VC time,,实体信息陈述_0（游牧至甲地，时间，7月）,实体信息陈述_0（游牧至甲地，时间，7月）,,,实体信息陈述,实体信息陈述,8,,游牧 至 甲地 的 时间 最 可能 是 7月,游牧 至 甲地 的 时间 最 可能 是 7月,NN CC NR DEG NN AD VV VC time,( (IP (IP (VP (VRD (VV 游牧) (VV 至)) (NP (DNP (NP (NN 甲地)) (DEG 的)) (NP (NN 时间))))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NT 7月)))))) )
7-D,游牧至甲地的时间最可能是	10月,None,8,,,,游牧 至 甲地 的 时间 最 可能 是 10月,游牧 至 甲地 的 时间 最 可能 是 10月,VV VV NN DEG NN AD VV VC time,,实体信息陈述_0（游牧至甲地，时间，10月）,实体信息陈述_0（游牧至甲地，时间，10月）,,,实体信息陈述,实体信息陈述,8,,游牧 至 甲地 的 时间 最 可能 是 10月,游牧 至 甲地 的 时间 最 可能 是 10月,NN CC NR DEG NN AD VV VC time,( (IP (IP (VP (VRD (VV 游牧) (VV 至)) (NP (DNP (NP (NN 甲地)) (DEG 的)) (NP (NN 时间))))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (NP (NT 10月)))))) )
8-A,图中所示救灾工作程序还可能适用于	鼠害,None,,,,,图 中 所示 救灾 工作 程序 还 可能 适用 于 鼠害,图 中 所示 救灾 工作 程序 还 可能 适用 于 鼠害,NN LC VV NN NN NN AD VV VV P NN,,实体信息陈述_0（图中所示救灾工作程序，适用于，鼠害）,实体信息陈述_0（图中所示救灾工作程序，适用于，鼠害）,,,实体信息陈述,实体信息陈述,,,图 中 所示 救灾 工作 程序 还 可能 适用 于 鼠害,图 中 所示 救灾 工作 程序 还 可能 适用 于 鼠害,NN LC VV NN NN NN AD VV VV P NN,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (IP (NP (NP (NN 救灾) (NN 工作)) (NP (NN 程序))) (VP (ADVP (AD 还)) (VP (VV 可能) (VP (VV 适用) (PP (P 于) (NP (NN 鼠害))))))))) )
8-B,图中所示救灾工作程序还可能适用于	洪涝,None,,,10,,图 中 所示 救灾 工作 程序 还 可能 适用 于 洪涝,图 中 所示 救灾 工作 程序 还 可能 适用 于 洪涝,NN LC VV NN NN NN AD VV VV P term,,实体信息陈述_0（图中所示救灾工作程序，适用于，洪涝）,实体信息陈述_0（图中所示救灾工作程序，适用于，洪涝）,,,实体信息陈述,实体信息陈述,,,图 中 所示 救灾 工作 程序 还 可能 适用 于 洪涝,图 中 所示 救灾 工作 程序 还 可能 适用 于 洪涝,NN LC VV NN NN NN AD VV VV P term,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (IP (NP (NP (NN 救灾) (NN 工作)) (NP (NN 程序))) (VP (ADVP (AD 还)) (VP (VV 可能) (VP (VV 适用) (PP (P 于) (NP (NN 洪涝))))))))) )
8-C,图中所示救灾工作程序还可能适用于	旱灾,None,,,10,,图 中 所示 救灾 工作 程序 还 可能 适用 于 旱灾,图 中 所示 救灾 工作 程序 还 可能 适用 于 旱灾,NN LC VV NN NN NN AD VV VV P term,,实体信息陈述_0（图中所示救灾工作程序，适用于，旱灾）,实体信息陈述_0（图中所示救灾工作程序，适用于，旱灾）,,,实体信息陈述,实体信息陈述,,,图 中 所示 救灾 工作 程序 还 可能 适用 于 旱灾,图 中 所示 救灾 工作 程序 还 可能 适用 于 旱灾,NN LC VV NN NN NN AD VV VV P term,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (IP (NP (NP (NN 救灾) (NN 工作)) (NP (NN 程序))) (VP (ADVP (AD 还)) (VP (VV 可能) (VP (VV 适用) (PP (P 于) (NP (NN 旱灾))))))))) )
8-D,图中所示救灾工作程序还可能适用于	寒潮,None,,,10,,图 中 所示 救灾 工作 程序 还 可能 适用 于 寒潮,图 中 所示 救灾 工作 程序 还 可能 适用 于 寒潮,NN LC VV NN NN NN AD VV VV P term,,实体信息陈述_0（图中所示救灾工作程序，适用于，寒潮）,实体信息陈述_0（图中所示救灾工作程序，适用于，寒潮）,,,实体信息陈述,实体信息陈述,,,图 中 所示 救灾 工作 程序 还 可能 适用 于 寒潮,图 中 所示 救灾 工作 程序 还 可能 适用 于 寒潮,NN LC VV NN NN NN AD VV VV P term,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 所示) (IP (NP (NP (NN 救灾) (NN 工作)) (NP (NN 程序))) (VP (ADVP (AD 还)) (VP (VV 可能) (VP (VV 适用) (PP (P 于) (NP (NN 寒潮))))))))) )
9-①,为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	完善城市功能区划,None,3,,,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 完善 城市 功能 区划,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 完善 城市 功能 区划,P VV NN time NN NN NN PU VV VV DEC JJ NN NN NN VV VV NN NN NN,,措施_0（为降低大城市震后救灾活动强度，完善城市功能区划）,措施_0（为降低大城市震后救灾活动强度，完善城市功能区划）,0_9-14,0_9-14,措施,措施,3,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 完善 城市 功能区 划,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 完善 城市 功能区 划,P VV NR time NN NN NN PU VV VV DEC JJ NN VV NN VV VV NN NN NN,( (IP (PP (P 为) (IP (VP (VV 降低) (NP (NP (NN 大城市)) (NP (NT 震后)) (NP (NN 救灾) (NN 活动) (NN 强度)))))) (PU ，) (NP (CP (IP (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (IP (VP (VV 完善) (NP (NN 城市) (NN 功能) (NN 区划)))))) )
9-②,为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	调整产业结构,None,3,,,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 调整 产业 结构,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 调整 产业 结构,P VV NN time NN NN NN PU VV VV DEC JJ NN NN NN VV VV NN NN,,措施_0（为降低大城市震后救灾活动强度，整产业结构）,措施_0（为降低大城市震后救灾活动强度，整产业结构）,0_9-14,0_9-14,措施,措施,3,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 调整 产业 结构,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 调整 产业 结构,P VV NR time NN NN NN PU VV VV DEC JJ NN VV NN VV VV NN NN,( (IP (PP (P 为) (IP (VP (VV 降低) (NP (NP (NN 大城市)) (NP (NT 震后)) (NP (NN 救灾) (NN 活动) (NN 强度)))))) (PU ，) (NP (CP (IP (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (IP (VP (VV 调整) (NP (NN 产业) (NN 结构)))))) )
9-③,为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	人口外迁,None,3,,,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 人口 外迁,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 人口 外迁,P VV NN time NN NN NN PU VV VV DEC JJ NN NN NN VV NN VV,,措施_0（为降低大城市震后救灾活动强度，人口外迁）,措施_0（为降低大城市震后救灾活动强度，人口外迁）,0_9-14,0_9-14,措施,措施,3,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 人口 外迁,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 人口 外迁,P VV NR time NN NN NN PU VV VV DEC JJ NN VV NN VV NN NN,( (IP (PP (P 为) (IP (VP (VV 降低) (NP (NP (NN 大城市)) (NP (NT 震后)) (NP (NN 救灾) (NN 活动) (NN 强度)))))) (PU ，) (NP (CP (IP (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (IP (NP (NN 人口)) (VP (VV 外迁))))) )
9-④,为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	房屋加固,None,3,,,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 房屋 加固,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 房屋 加固,P VV NN time NN NN NN PU VV VV DEC JJ NN NN NN VV NN VV,,措施_0（为降低大城市震后救灾活动强度，房屋加固）,措施_0（为降低大城市震后救灾活动强度，房屋加固）,0_9-14,0_9-14,措施,措施,3,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 房屋 加固,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 房屋 加固,P VV NR time NN NN NN PU VV VV DEC JJ NN VV NN VV NN VV,( (IP (PP (P 为) (IP (VP (VV 降低) (NP (NP (NN 大城市)) (NP (NT 震后)) (NP (NN 救灾) (NN 活动) (NN 强度)))))) (PU ，) (NP (CP (IP (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (IP (NP (NN 房屋)) (VP (VV 加固))))) )
9-⑤,为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	组建志愿者队伍,None,3,,,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 组建 志愿者 队伍,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 组建 志愿者 队伍,P VV NN time NN NN NN PU VV VV DEC JJ NN NN NN VV VV NN NN,,措施_0（为降低大城市震后救灾活动强度，组建志愿者队伍）,措施_0（为降低大城市震后救灾活动强度，组建志愿者队伍）,0_9-14,0_9-14,措施,措施,3,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 组建 志愿者 队伍,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 组建 志愿者 队伍,P VV NR time NN NN NN PU VV VV DEC JJ NN VV NN VV VV NN NN,( (IP (PP (P 为) (IP (VP (VV 降低) (NP (NP (NN 大城市)) (NP (NT 震后)) (NP (NN 救灾) (NN 活动) (NN 强度)))))) (PU ，) (NP (CP (IP (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (IP (VP (VV 组建) (NP (NN 志愿者) (NN 队伍)))))) )
9-⑥,为降低大城市震后救灾活动强度，应采取的主要防灾减灾措施包括	避灾自救技能培训,None,3,,,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 避灾 自救 技能 培训,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 避灾 自救 技能 培训,P VV NN time NN NN NN PU VV VV DEC JJ NN NN NN VV NN NN NN NN,,措施_0（为降低大城市震后救灾活动强度，避灾自救技能培训）,措施_0（为降低大城市震后救灾活动强度，避灾自救技能培训）,0_9-14,0_9-14,措施,措施,3,,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 避灾 自救 技能 培训,为 降低 大城市 震后 救灾 活动 强度 ， 应 采取 的 主要 防灾 减灾 措施 包括 避灾 自救 技能 培训,P VV NR time NN NN NN PU VV VV DEC JJ NN VV NN VV NN VV NN NN,( (IP (PP (P 为) (IP (VP (VV 降低) (NP (NP (NN 大城市)) (NP (NT 震后)) (NP (NN 救灾) (NN 活动) (NN 强度)))))) (PU ，) (NP (CP (IP (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (ADJP (JJ 主要)) (NP (NN 防灾))) (NP (NN 减灾) (NN 措施))) (VP (VV 包括) (NP (NP (NN 避灾) (NN 自救)) (NP (NN 技能) (NN 培训))))) )
10-A,在图示景区的主要自然景观中，	峡谷由河流下切塑造而成,None,,,11,,在 图示 景区 的 主要 自然 景观 中 ， 峡谷 由 河流下切 塑造 而 成,在 图示 景区 的 主要 自然 景观 中 ， 峡谷 由 河流 下切 塑造 而 成,P NN NN DEG JJ NN NN LC PU NN P term VV MSP VV,,影响_0（河流下切，峡谷，塑造）,影响_0（河流下切，峡谷，塑造）,0_10-13-14,0_10-13-14,影响,影响,,,在 图示 景区 的 主要 自然景观 中 ， 峡谷 由 河流 下切 塑造 而 成,在 图示 景区 的 主要 自然景观 中 ， 峡谷 由 河流 下切 塑造 而 成,P NN NN DEG JJ NN NN LC PU NN P term VV MSP VV,( (IP (PP (P 在) (LCP (NP (DNP (NP (NN 图示) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 自然) (NN 景观))) (LC 中))) (PU ，) (NP (NN 峡谷)) (VP (VP (PP (P 由) (NP (NN 河流下切))) (VP (VV 塑造))) (VP (MSP 而) (VP (VV 成))))) )
10-B,在图示景区的主要自然景观中，	河流补给主要靠冰雪融水,None,,,,,在 图示 景区 的 主要 自然 景观 中 ， 河流 补给 主要 靠 冰雪 融水,在 图示 景区 的 主要 自然 景观 中 ， 河流 补给 主要 靠 冰雪 融水,P NN NN DEG JJ NN NN LC PU NN NN AD P NN NN,,实体信息陈述_0（河流，补给，主要靠冰雪融水）,实体信息陈述_0（河流，补给，主要靠冰雪融水）,,,实体信息陈述,实体信息陈述,,,在 图示 景区 的 主要 自然景观 中 ， 河流 补给 主要 靠 冰雪 融水,在 图示 景区 的 主要 自然景观 中 ， 河流 补给 主要 靠 冰雪融水,P NN NN DEG JJ NN NN LC PU NN VV AD P NN NN,( (IP (PP (P 在) (LCP (NP (DNP (NP (NN 图示) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 自然) (NN 景观))) (LC 中))) (PU ，) (NP (NN 河流) (NN 补给)) (VP (ADVP (AD 主要)) (VP (PP (P 靠) (NP (NN 冰雪) (NN 融水)))))) )
10-C,在图示景区的主要自然景观中，	瀑布的落差受径流量控制,None,,,13,,在 图示 景区 的 主要 自然 景观 中 ， 瀑布 的 落差 受 径流量 控制,在 图示 景区 的 主要 自然 景观 中 ， 瀑布 的 落差 受 径流量 控制,P NN NN DEG JJ NN NN LC PU NN DEG NN VV term VV,,影响_0（径流量，瀑布的落差，控制）,影响_0（径流量，瀑布的落差，控制）,0_12-14,0_12-14,影响,影响,,,在 图示 景区 的 主要 自然景观 中 ， 瀑布 的 落差 受 径流量 控制,在 图示 景区 的 主要 自然景观 中 ， 瀑布 的 落差 受 径流量 控制,P NN NN DEG JJ NN NN LC PU NN DEG NN VV term VV,( (IP (PP (P 在) (LCP (NP (DNP (NP (NN 图示) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 自然) (NN 景观))) (LC 中))) (PU ，) (NP (DNP (NP (NN 瀑布)) (DEG 的)) (NP (NN 落差))) (VP (VP (VV 受) (NP (NN 径流量))) (VP (VV 控制)))) )
10-D,在图示景区的主要自然景观中，	湖泊是火山口积水形成的,None,,,,,在 图示 景区 的 主要 自然 景观 中 ， 湖泊 是 火山口 积水 形成 的,在 图示 景区 的 主要 自然 景观 中 ， 湖泊 是 火山口 积水 形成 的,P NN NN DEG JJ NN NN LC PU NN VC NN NN VV DEC,,影响_0（火山口积水，湖泊，形成）,影响_0（火山口积水，湖泊，形成）,0_10-13-14,0_10-13-14,影响,影响,,,在 图示 景区 的 主要 自然景观 中 ， 湖泊 是 火山口 积水 形成 的,在 图示 景区 的 主要 自然景观 中 ， 湖泊 是 火山口 积水 形成 的,P NN NN DEG JJ NN NN LC PU NN VC NN NN VV DEC,( (IP (PP (P 在) (LCP (NP (DNP (NP (NN 图示) (NN 景区)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 自然) (NN 景观))) (LC 中))) (PU ，) (NP (NN 湖泊)) (VP (VC 是) (NP (CP (IP (NP (NN 火山口) (NN 积水)) (VP (VV 形成))) (DEC 的))))) )
11-A,在景区服务设施中，依次布局游客中心、加油站、餐厅、巡防站的合理方案是	①③②④,None,,,,,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ① ③ ② ④,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ① ③ ② ④,P NN NN NN LC PU AD VV NN NN PU NN PU NN PU NN DEG JJ NN VC NN NN NN NN,,匹配_0（游客中心，①）匹配_1（加油站，③）匹配_2（餐厅，②）匹配_3（巡防站，④）,匹配_0（游客中心，①）匹配_1（加油站，③）匹配_2（餐厅，②）匹配_3（巡防站，④）,0_6 1_6 2_6 3_6,0_6 1_6 2_6 3_6,匹配 匹配 匹配 匹配,匹配 匹配 匹配 匹配,,,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ① ③ ② ④,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ① ③ ② ④,P NN NN NN LC PU AD NN NN NN PU NN PU NN PU NN DEG JJ NN VC NN AD VV NN,( (IP (PP (P 在) (LCP (NP (NN 景区) (NN 服务) (NN 设施)) (LC 中))) (PU ，) (NP (DNP (NP (CP (IP (VP (ADVP (AD 依次)) (VP (VV 布局))))) (NP (NN 游客) (NN 中心) (PU 、) (NN 加油站) (PU 、) (NN 餐厅) (PU 、) (NN 巡防站))) (DEG 的)) (ADJP (JJ 合理)) (NP (NN 方案))) (VP (VC 是) (NP (NP (NN ①) (NN ③)) (NP (NN ②) (NN ④))))) )
11-B,在景区服务设施中，依次布局游客中心、加油站、餐厅、巡防站的合理方案是	②③①④,None,,,,,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ② ③ ① ④,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ② ③ ① ④,P NN NN NN LC PU AD VV NN NN PU NN PU NN PU NN DEG JJ NN VC NN NN NN NN,,匹配_0（游客中心，②）匹配_1（加油站，③）匹配_2（餐厅，①）匹配_3（巡防站，④）,匹配_0（游客中心，②）匹配_1（加油站，③）匹配_2（餐厅，①）匹配_3（巡防站，④）,0_6 1_6 2_6 3_6,0_6 1_6 2_6 3_6,匹配 匹配 匹配 匹配,匹配 匹配 匹配 匹配,,,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ② ③ ① ④,在 景区 服务 设施 中 ， 依次 布局 游客 中心 、 加油站 、 餐厅 、 巡防站 的 合理 方案 是 ② ③ ① ④,P NN NN NN LC PU AD NN NN NN PU NN PU NN PU NN DEG JJ NN VC NN AD VV NN,( (IP (PP (P 在) (LCP (NP (NN 景区) (NN 服务) (NN 设施)) (LC 中))) (PU ，) (NP (DNP (NP (CP (IP (VP (ADVP (AD 依次)) (VP (VV 布局))))) (NP (NN 游客) (NN 中心) (PU 、) (NN 加油站) (PU 、) (NN 餐厅) (PU 、) (NN 巡防站))) (DEG 的)) (ADJP (JJ 合理)) (NP (NN 方案))) (VP (VC 是) (NP (NP (NN ②) (NN ③)) (NP (NN ①) (NN ④))))) )
