编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月5日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )
8-C,关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受下沉气流影响，降水较多,y,,2,,,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响 ， 降水 较 多,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响 ， 降水 较 多,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN PU NN AD VA,,影响_0（下沉气流，北京，降水较多）,影响_0（下沉气流，北京，降水较多）,0_18,0_18,影响,影响,,2,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响 ， 降水 较 多,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响 ， 降水 较 多,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN PU NN AD VA,( (IP (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (VP (VV 受) (NP (NP (NN 下沉) (NN 气流)) (NP (NN 影响)))))) (PU ，) (NP (NN 降水)) (VP (ADVP (AD 较)) (VP (VA 多)))) )
8-C-0,关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受下沉气流影响,ed-ori,,2,,,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉 气流 影响,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN,,影响_0（下沉气流，北京，降水较多）,影响_0（下沉气流，北京，降水较多）,0_18,0_18,影响,影响,,2,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 下沉气流 影响,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV NN NN NN,( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (VV 受) (NP (NP (NN 下沉) (NN 气流)) (NP (NN 影响))))))) )
8-C-1,关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	降水较多,ed-ori,,2,,,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 降水 较 多,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 降水 较 多,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC NN AD VA,,影响_0（下沉气流，北京，降水较多）,影响_0（下沉气流，北京，降水较多）,,,影响,影响,,2,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 降水 较 多,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 降水 较 多,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC NN AD VA,( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 降水)) (VP (ADVP (AD 较)) (VP (VA 多)))))) )
8-D,关于导致北京遭遇暴雪的天气系统的相关叙述，正确的是	受台风影响，形成暴雪,n,,2,16,,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV term NN PU VV NN,,影响_0（台风，北京，形成暴雪）,影响_0（台风，北京，形成暴雪）,0_17,0_17,影响,影响,,2,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪,关于 导致 北京 遭遇 暴雪 的 天气 系统 的 相关 叙述 ， 正确 的 是 受 台风 影响 ， 形成 暴雪,P VV loc VV NN DEG NN NN DEG JJ NN PU VA DEC VC VV term NN PU VV NN,( (IP (NP (DNP (NP (DNP (PP (P 关于) (IP (VP (VV 导致) (IP (NP (NR 北京)) (VP (VV 遭遇) (NP (NN 暴雪))))))) (DEG 的)) (NP (NN 天气) (NN 系统))) (DEG 的)) (ADJP (JJ 相关)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (VP (VV 受) (NP (NN 台风) (NN 影响))) (PU ，) (VP (VV 形成) (NP (NN 暴雪))))))) )
9-A,2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	灾害预警评估使用的地理信息技术依次是GIS、GPS、RS,None,0,5,22 25 27 29,,2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理信息技术 依次 是 GIS 、 GPS 、 RS,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理 信息 技术 依次 是 GIS 、 GPS 、 RS,NT PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC NN NN NN VV DEC NN AD VC NN PU NN PU NN,,排序_0（害预警评估使用的地理信息技术，，列表_1（GIS，GPS，RS））,排序_0（害预警评估使用的地理信息技术，，列表_1（GIS，GPS，RS））,0_23,0_23,排序 列表,排序 列表,0,,2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理信息技术 依次 是 GIS 、 GPS 、 RS,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 灾害 预警 评估 使用 的 地理信息技术 依次 是 GIS 、 GPS 、 RS,NT PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC NN NN VV VV DEC NN AD VC NN PU NN PU NN,( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警)))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (CP (IP (NP (NP (NN 灾害) (NN 预警)) (NP (NN 评估))) (VP (VV 使用))) (DEC 的)) (NP (NN 地理信息技术))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN GIS) (PU 、) (NN GPS) (PU 、) (NN RS)))))))) )
9-B,2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	通过灾害预警评估可以准确获知受灾面积和损失程度,None,0,5,,,2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度,time PU NN NN P loc VV AS NN JJ NN PU JJ NN VA DEC VC P NN NN NN VV AD VV NN NN CC NN NN,,一般陈述_0（通过灾害预警评估可以准确获知受灾面积和损失程度）,一般陈述_0（通过灾害预警评估可以准确获知受灾面积和损失程度）,,,一般陈述,一般陈述,0,,2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 通过 灾害 预警 评估 可以 准确 获知 受灾 面积 和 损失 程度,time PU NN NN P loc VV AS NN JJ NN PU JJ NN VA DEC VC P NN NN NN VV AD VV NN NN CC NN NN,( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警)))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (VP (PP (P 通过) (NP (NP (NN 灾害) (NN 预警)) (NP (NN 评估)))) (VP (VV 可以) (VP (ADVP (AD 准确)) (VP (VV 获知) (NP (NP (NP (NN 受灾)) (NP (NN 面积) (CC 和) (NN 损失))) (NP (NN 程度))))))))))) )
9-C,2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	该预警信息促使全市冬季供暖工作提前启动,None,0 22,5,,,2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动,time PU NN NN P loc VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN VV NN time NN NN AD VV,,因果_0（该预警信息，全市冬季供暖工作提前启动）,因果_0（该预警信息，全市冬季供暖工作提前启动）,0_20,0_20,因果,因果,0 22,,2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 促使 全市 冬季 供暖 工作 提前 启动,time PU NN NN P loc VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN VV NN time NN NN AD VV,( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警))))) (PU 。)) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DP (DT 该)) (NP (NN 预警) (NN 信息))) (VP (VV 促使) (NP (NN 全市)) (IP (NP (NT 冬季)) (NP (NN 供暖) (NN 工作)) (VP (ADVP (AD 提前)) (VP (VV 启动))))))))) )
9-D,2012年11月4日凌晨，国家气象局对北京市西北部发布了暴雪红色预警。下列说法正确的是	该预警信息的发布会导致交通压力增大,None,0,5,,,2012年11月4日凌晨 ， 国家 气象局 对 北京市西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布 会 导致 交通 压力 增大,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布 会 导致 交通 压力 增大,NT PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN DEG NN VV VV NN NN VV,,因果_0（该预警信息的发布，交通压力增大）,因果_0（该预警信息的发布，交通压力增大）,0_23,0_23,因果,因果,0,,2012年11月4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布会 导致 交通 压力 增大,2012年 11月 4日 凌晨 ， 国家 气象局 对 北京市 西北部 发布 了 暴雪 红色 预警 。 下列 说法 正确 的 是 该 预警 信息 的 发布会 导致 交通 压力 增大,NT PU NN NN P NR VV AS NN JJ NN PU JJ NN VA DEC VC DT NN NN DEG VV VV VV NN NN VV,( (IP (IP (NP (NT 2012年11月4日凌晨)) (PU ，) (NP (NN 国家) (NN 气象局)) (VP (PP (P 对) (NP (NR 北京市西北部))) (VP (VV 发布) (AS 了) (NP (NP (NN 暴雪)) (ADJP (JJ 红色)) (NP (NN 预警)))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (DP (DT 该)) (NP (NN 预警) (NN 信息))) (DEG 的)) (NP (NN 发布))) (VP (VV 会) (VP (VV 导致) (IP (NP (NN 交通) (NN 压力)) (VP (VV 增大))))))))) )
10-A,该大陆及沿岸洋流性质可能为	南美洲大陆、寒流,None,,8,4 10,,该 大陆 及 沿岸 洋流 性质 可能 为 南美洲大陆 、 寒流,该 大陆 及 沿岸 洋流 性质 可能 为 南美洲 大陆 、 寒流,DT NN CC NN NN NN VV VV NR PU NN,,实体信息陈述_0（该大陆，性质，南美洲大陆）实体信息陈述_1（沿岸洋流，性质，寒流）,实体信息陈述_0（该大陆，性质，南美洲大陆）实体信息陈述_1（沿岸洋流，性质，寒流）,,,实体信息陈述,实体信息陈述,,,该 大陆 及 沿岸 洋流 性质 可能 为 南美洲 大陆 、 寒流,该 大陆 及 沿岸 洋流 性质 可能 为 南美洲 大陆 、 寒流,DT NN CC NN NN NN VV VV NR PU NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 南美洲大陆)) (PU 、) (NP (NN 寒流)))))) )
10-B,该大陆及沿岸洋流性质可能为	非洲大陆、暖流,None,,8,4 10,,该 大陆 及 沿岸 洋流 性质 可能 为 非洲大陆 、 暖流,该 大陆 及 沿岸 洋流 性质 可能 为 非洲 大陆 、 暖流,DT NN CC NN NN NN VV VV NR PU NN,,实体信息陈述_0（该大陆，性质，非洲大陆）实体信息陈述_1（沿岸洋流，性质，暖流）,实体信息陈述_0（该大陆，性质，非洲大陆）实体信息陈述_1（沿岸洋流，性质，暖流）,,,实体信息陈述,实体信息陈述,,,该 大陆 及 沿岸 洋流 性质 可能 为 非洲 大陆 、 暖流,该 大陆 及 沿岸 洋流 性质 可能 为 非洲 大陆 、 暖流,DT NN CC NN NN NN VV VV VV PU NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 非洲大陆)) (PU 、) (NP (NN 暖流)))))) )
10-C,该大陆及沿岸洋流性质可能为	北美洲大陆、寒流,None,,8,4 10,,该 大陆 及 沿岸 洋流 性质 可能 为 北美洲大陆 、 寒流,该 大陆 及 沿岸 洋流 性质 可能 为 北美洲 大陆 、 寒流,DT NN CC NN NN NN VV VV NR PU NN,,实体信息陈述_0（该大陆，性质，北美洲大陆）实体信息陈述_1（沿岸洋流，性质，寒流）,实体信息陈述_0（该大陆，性质，北美洲大陆）实体信息陈述_1（沿岸洋流，性质，寒流）,,,实体信息陈述,实体信息陈述,,,该 大陆 及 沿岸 洋流 性质 可能 为 北 美洲 大陆 、 寒流,该 大陆 及 沿岸 洋流 性质 可能 为 北美洲 大陆 、 寒流,DT NN CC NN NN NN VV VV NR PU NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 北美洲大陆)) (PU 、) (NP (NN 寒流)))))) )
10-D,该大陆及沿岸洋流性质可能为	澳大利亚大陆、暖流,None,,8,3 10,,该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚大陆 、 暖流,该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚 大陆 、 暖流,DT NN CC term NN NN VV VV loc PU term,,实体信息陈述_0（该大陆，性质，澳大利亚大陆）实体信息陈述_1（沿岸洋流，性质，暖流）,实体信息陈述_0（该大陆，性质，澳大利亚大陆）实体信息陈述_1（沿岸洋流，性质，暖流）,,,实体信息陈述,实体信息陈述,,,该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚 大陆 、 暖流,该 大陆 及 沿岸 洋流 性质 可能 为 澳大利亚 大陆 、 暖流,DT NN CC term NN NN VV VV loc PU term,( (IP (NP (NP (DP (DT 该)) (NP (NN 大陆) (CC 及) (NN 沿岸))) (NP (NN 洋流) (NN 性质))) (VP (VV 可能) (VP (VV 为) (NP (NP (NR 澳大利亚大陆)) (PU 、) (NP (NN 暖流)))))) )
11-A,该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	东北信风,None,,,15 17,,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东北信风,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东北 信风,DT NN JJ NN JJ VV NN MSP VV PU VV PN NN DEG JJ term VC term,,影响_0（东北信风，该海区表层海水，大规模离岸而去）,影响_0（东北信风，该海区表层海水，大规模离岸而去）,0_10,0_10,影响,影响,,,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 东北信风,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 东北信风,DT NN NN NN JJ NN MSP VV PU VV PN NN DEG JJ term VC term,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (ADJP (JJ 大规模)) (VP (VP (VV 离) (NP (NN 岸))) (VP (MSP 而) (VP (VV 去)))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 东北信风))))) )
11-B,该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	盛行西风,None,,,15 17,,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 盛行西风,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 盛行 西风,DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ term VC term,,影响_0（盛行西风，该海区表层海水，大规模离岸而去）,影响_0（盛行西风，该海区表层海水，大规模离岸而去）,0_10,0_10,影响,影响,,,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 盛行 西风,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 盛行 西风,DT NN NN NN JJ NN MSP VV PU VV PN NN DEG JJ term VC term,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (VP (ADVP (AD 大规模)) (VP (VV 离) (NP (NN 岸)))) (VP (MSP 而) (VP (VV 去))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 盛行西风))))) )
11-C,该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	东南信风,None,,,15 17,,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南信风,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南 信风,DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ term VC term,,影响_0（东南信风，该海区表层海水，大规模离岸而去）,影响_0（东南信风，该海区表层海水，大规模离岸而去）,0_10,0_10,影响,影响,,,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 东南信风,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 东南信风,DT NN NN NN JJ NN MSP VV PU VV PN NN DEG JJ term VC term,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (VP (ADVP (AD 大规模)) (VP (VV 离) (NP (NN 岸)))) (VP (MSP 而) (VP (VV 去))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 东南信风))))) )
11-D,该海区表层海水大规模离岸而去，影响其流动的主要盛行风是	东南季风,None,,,15 17,,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南季风,该 海区 表层 海水 大规模 离 岸 而 去 ， 影响 其 流动 的 主要 盛行风 是 东南 季风,DT NN JJ NN AD VV NN MSP VV PU VV PN NN DEG JJ term VC term,,影响_0（东南季风，该海区表层海水，大规模离岸而去）,影响_0（东南季风，该海区表层海水，大规模离岸而去）,0_10,0_10,影响,影响,,,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 东南季风,该 海区 表层 海水 大规模 离岸 而 去 ， 影响 其 流动 的 主要 盛 行风 是 东南季风,DT NN NN NN JJ NN MSP VV PU VV PN NN DEG JJ term VC term,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 海区))) (ADJP (JJ 表层)) (NP (NN 海水))) (VP (VP (ADVP (AD 大规模)) (VP (VV 离) (NP (NN 岸)))) (VP (MSP 而) (VP (VV 去))))) (PU ，) (IP (IP (VP (VV 影响) (NP (DNP (NP (NP (PN 其)) (NP (NN 流动))) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 盛行风))))) (VP (VC 是) (NP (NN 东南季风))))) )
12-A,该地花岗岩石林地貌形成过程依次是	地壳抬升－风化、侵蚀－岩浆侵入,None,,,2 9 11 13 15,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳抬升 － 风化 、 侵蚀 － 岩浆侵入,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 风化 、 侵蚀 － 岩浆 侵入,DT NN term NN NN VV NN AD VC term PU term PU term PU term,,排序_0（该地花岗岩石林地貌形成过程，，列表_1（地壳抬升，风化&#44;侵蚀，岩浆侵入））,排序_0（该地花岗岩石林地貌形成过程，，列表_1（地壳抬升，风化&#44;侵蚀，岩浆侵入））,0_7,0_7,排序 列表,排序 列表,,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 风化 、 侵蚀 － 岩浆侵入,该 地 花岗岩 石林 地貌 形成 过程 依次 是 地壳 抬升 － 风化 、 侵蚀 － 岩浆侵入,DT NN term NN NN VV NN AD VC term PU term PU term PU term,( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 地壳抬升) (PU －) (NN 风化) (PU 、) (NN 侵蚀) (PU －) (NN 岩浆侵入)))))) )
12-B,该地花岗岩石林地貌形成过程依次是	岩浆侵入地壳抬升－风化、侵蚀,None,,,2 9 10 12 14,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆侵入 地壳抬升 － 风化 、 侵蚀,该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆 侵入 地壳 抬升 － 风化 、 侵蚀,DT NN term NN NN VV NN AD VC term term PU term PU term,,排序_0（该地花岗岩石林地貌形成过程，，列表_1（岩浆侵入，地壳抬升，风化&#44;侵蚀））,排序_0（该地花岗岩石林地貌形成过程，，列表_1（岩浆侵入，地壳抬升，风化&#44;侵蚀））,0_7,0_7,排序 列表,排序 列表,,,该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆侵入 地壳 抬升 － 风化 、 侵蚀,该 地 花岗岩 石林 地貌 形成 过程 依次 是 岩浆侵入 地壳 抬升 － 风化 、 侵蚀,DT NN term NN NN VV NN AD VC term term PU term PU term,( (IP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 花岗岩) (NN 石林)) (NP (NN 地貌))) (VP (VP (VV 形成) (NP (NN 过程))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 岩浆侵入) (NN 地壳抬升) (PU －) (NN 风化) (PU 、) (NN 侵蚀)))))) )
