编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
8-D,图中表示住宅区的商业区的曲线分别是	③和④,None,,,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ③ 和 ④,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ③ 和 ④,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,,匹配_0（图中表示住宅区的曲线，③）匹配_1（图中表示商业区的曲线，④）,匹配_0（图中表示住宅区的曲线，③）匹配_1（图中表示商业区的曲线，④）,0_8-9 1_8-9,0_8-9 1_8-9,匹配,匹配,,,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ③ 和 ④,图 中 表示 住宅区 的 商业区 的 曲线 分别 是 ③ 和 ④,NN LC VV NN DEG NN DEG NN AD VC NN CC NN,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (DNP (NP (DNP (NP (NN 住宅区)) (DEG 的)) (NP (NN 商业区))) (DEG 的)) (NP (NN 曲线))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ③) (CC 和) (NN ④))))))) )
9-A,GIS技术的	关键装置是传感器,None,,,0,,GIS技术 的 关键 装置 是 传感器,GIS 技术 的 关键 装置 是 传感器,term DEG NN NN VC NN,,实体信息陈述_0（GIS技术，关键装置，传感器）,实体信息陈述_0（GIS技术，关键装置，传感器）,0_2-5,0_2-5,实体信息陈述,实体信息陈述,,,GIS 技术 的 关键 装置 是 传感 器,GIS 技术 的 关键 装置 是 传感 器,term DEG NN NN VC NN,( (IP (NP (DNP (NP (NN GIS技术)) (DEG 的)) (NP (NN 关键) (NN 装置))) (VP (VC 是) (NP (NN 传感器)))) )
9-B,GIS技术的	数据模型用点、线、面表达,None,,,0,,GIS技术 的 数据 模型 用 点 、 线 、 面 表达,GIS 技术 的 数据 模型 用 点 、 线 、 面 表达,term DEG NN NN VV NN PU NN PU NN VV,,实体信息陈述_0（GIS技术，数据模型，用点、线、面表达）,实体信息陈述_0（GIS技术，数据模型，用点、线、面表达）,0_4-9-10,0_4-9-10,实体信息陈述,实体信息陈述,,,GIS 技术 的 数据 模型 用眯 、 线 、 面表 达,GIS 技术 的 数据 模型 用眯 、 线 、 面表 达,term DEG NN NN VV NN PU NN PU NN VV,( (IP (NP (CP (IP (NP (DNP (NP (NN GIS技术)) (DEG 的)) (NP (NN 数据) (NN 模型))) (VP (VV 用)))) (NP (NN 点) (PU 、) (NN 线) (PU 、) (NN 面))) (VP (VV 表达))) )
9-C,GIS技术的	主要功能是空间定位,None,,,0,,GIS技术 的 主要 功能 是 空间 定位,GIS 技术 的 主要 功能 是 空间 定位,term DEG JJ NN VC NN NN,,实体信息陈述_0（GIS技术，主要功能，空间定位）,实体信息陈述_0（GIS技术，主要功能，空间定位）,0_2-5,0_2-5,实体信息陈述,实体信息陈述,,,GIS 技术 的 主要 功能 是 空间 定位,GIS 技术 的 主要 功能 是 空间 定位,term DEG JJ NN VC NN NN,( (IP (NP (DNP (NP (NN GIS技术)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 功能))) (VP (VC 是) (NP (NN 空间) (NN 定位)))) )
9-D,GIS技术的	数据库由若干图层组成,None,,,0,,GIS技术 的 数据库 由 若干 图层 组成,GIS 技术 的 数据库 由 若干 图层 组成,term DEG NN P CD NN VV,,实体信息陈述_0（GIS技术，数据库，若干图层组成）,实体信息陈述_0（GIS技术，数据库，若干图层组成）,0_1-3,0_1-3,实体信息陈述,实体信息陈述,,,GIS 技术 的 数据库 由 若干 图层 组成,GIS 技术 的 数据库 由 若干 图层 组成,term DEG NN P CD NN VV,( (IP (NP (DNP (NP (NN GIS技术)) (DEG 的)) (NP (NN 数据库))) (VP (PP (P 由) (NP (QP (CD 若干)) (NP (NN 图层)))) (VP (VV 组成)))) )
10-A,图中城市	①位于规划区,None,,,,,图 中 城市 ① 位于 规划区,图 中 城市 ① 位于 规划区,NN LC NN NN VV NN,,位于_0（城市 ①，规划区）,位于_0（城市 ①，规划区）,0_4,0_4,位于,位于,,,图 中 城市 ① 位于 规划 区,图 中 城市 ① 位于 规划 区,NN LC NN AD VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 城市) (NN ①))) (VP (VV 位于) (NP (NN 规划区)))) )
10-B,图中城市	②位于非矿区,None,,,,,图 中 城市 ② 位于 非矿区,图 中 城市 ② 位于 非矿区,NN LC NN NN VV NN,,位于_0（城市 ②，非矿区）,位于_0（城市 ②，非矿区）,0_4,0_4,位于,位于,,,图 中 城市 ② 位于 非 矿区,图 中 城市 ② 位于 非矿区,NN LC NN AD VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 城市) (NN ②))) (VP (VV 位于) (NP (NN 非矿区)))) )
10-C,图中城市	③位于现矿区,None,,,,,图 中 城市 ③ 位于 现矿区,图 中 城市 ③ 位于 现矿区,NN LC NN NN VV NN,,位于_0（城市 ③，现矿区）,位于_0（城市 ③，现矿区）,0_4,0_4,位于,位于,,,图 中 城市 ③ 位于 现 矿区,图 中 城市 ③ 位于 现矿区,NN LC NN AD VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 城市) (NN ③))) (VP (VV 位于) (NP (NN 现矿区)))) )
10-D,图中城市	④位于原矿区,None,,,,,图 中 城市 ④ 位于 原矿区,图 中 城市 ④ 位于 原矿区,NN LC NN NN VV NN,,位于_0（城市 ④，原矿区）,位于_0（城市 ④，原矿区）,0_4,0_4,位于,位于,,,图 中 城市 ④ 位于 原 矿区,图 中 城市 ④ 位于 原矿 区,NN LC NN AD VV NN,( (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 城市) (NN ④))) (VP (VV 位于) (NP (NN 原矿区)))) )
11-A,图示地区采矿业向西、向北迁移，主要是趋向	原料地,None,,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 原料地,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 原料地,VA NN NN P NN PU P NN VV PU AD VC VV NN,,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向原料地）,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向原料地）,,,一般陈述,一般陈述,,,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 原料 地,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 原料 地,NN NN NN P NN PU P NN VV PU AD VC VV NN,( (IP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 采矿业))) (VP (VP (PP (PP (P 向) (NP (NN 西))) (PU 、) (PP (P 向) (NP (NN 北)))) (VP (VV 迁移))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (VP (VV 趋向) (NP (NN 原料地)))))))) )
11-B,图示地区采矿业向西、向北迁移，主要是趋向	消费地,None,,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 消费地,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 消费地,VA NN NN P NN PU P NN VV PU AD VC VV NN,,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向消费地）,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向消费地）,,,一般陈述,一般陈述,,,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 消费 地,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 消费 地,NN NN NN P NN PU P NN VV PU AD VC VV NN,( (IP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 采矿业))) (VP (VP (PP (PP (P 向) (NP (NN 西))) (PU 、) (PP (P 向) (NP (NN 北)))) (VP (VV 迁移))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (VP (VV 趋向) (NP (NN 消费地)))))))) )
11-C,图示地区采矿业向西、向北迁移，主要是趋向	水资源,None,,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 水资源,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 水资源,VA NN NN P NN PU P NN VV PU AD VC VV NN,,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向水资源）,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向水资源）,,,一般陈述,一般陈述,,,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 水 资源,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 水 资源,NN NN NN P NN PU P NN VV PU AD VC VV NN NN,( (IP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 采矿业))) (VP (VP (PP (PP (P 向) (NP (NN 西))) (PU 、) (PP (P 向) (NP (NN 北)))) (VP (VV 迁移))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (VP (VV 趋向) (NP (NN 水资源)))))))) )
11-D,图示地区采矿业向西、向北迁移，主要是趋向	交通线,None,,,,,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 交通线,图示 地区 采矿业 向 西 、 向 北 迁移 ， 主要 是 趋向 交通线,VA NN NN P NN PU P NN VV PU AD VC VV NN,,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向交通线）,一般陈述_0（图示地区采矿业向西、向北迁移，主要是趋向交通线）,,,一般陈述,一般陈述,,,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 交通 线,图示 地区 采矿业 向 西 、 向北 迁移 ， 主要 是 趋向 交通 线,NN NN NN P NN PU P NN VV PU AD VC VV NN NN,( (IP (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 采矿业))) (VP (VP (PP (PP (P 向) (NP (NN 西))) (PU 、) (PP (P 向) (NP (NN 北)))) (VP (VV 迁移))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (IP (VP (VV 趋向) (NP (NN 交通线)))))))) )
