编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该日，荷兰比北京	自转线速度快,None,,3 5,6,,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转 线速度 快,DT NN PU loc P loc term VA,,比较_0（荷兰，北京，自转线速度，快）,比较_0（荷兰，北京，自转线速度，快）,0_4,0_4,比较,比较,,3 5 6,该 日 ， 荷兰 比 北京 自转线速度 快,该 日 ， 荷兰 比 北京 自转线速度 快,DT M PU loc P loc term VA,( (IP (NP (DP (DT 该)) (NP (NN 日))) (PU ，) (NP (NR 荷兰)) (VP (PP (P 比) (NP (NR 北京) (NN 自转线速度))) (VP (VA 快)))) )
4-C-1,修建中巴铁路难度比较大的原因是沿线地区	洪涝灾害频发,ed-ori,,1,10,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 洪涝 灾害 频发,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 洪涝 灾害 频发,VV NN NN AD VA DEC NN VC NN NN NN NN VV,,因果_0（修建中巴铁路难度比较大，沿线地区洪涝灾害频发）,因果_0（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，洪涝灾害，频发））,0_6,0_6,因果,因果 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 洪涝 灾害 频发,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 洪涝 灾害 频发,VV NR NN AD VA DEC NN VC NN NN NN NN VV,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NP (NN 沿线) (NN 地区)) (NP (NN 洪涝) (NN 灾害))) (VP (VV 频发))))) )
4-D,修建中巴铁路难度比较大的原因是沿线地区	气候高寒，冻土广布,y,,1,10 13,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒 ， 冻土 广布,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒 ， 冻土 广布,VV NN NN AD VA DEC NN VC NN NN NN VA PU NN VA,,因果_0（修建中巴铁路难度比较大，沿线地区气候高寒）因果_1（修建中巴铁路难度比较大，沿线地区冻土广布）,因果_0（实体信息陈述_2（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，气候，高寒））因果_1（实体信息陈述_4（修建中巴铁路，难度，比较大），实体信息陈述_5（沿线地区，冻土，广布））,0_6 1_6,0_6 1_6,因果,因果 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒 ， 冻土 广布,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒 ， 冻土 广布,VV NR NN AD VA DEC NN VC NN NN NN NN PU NN VV,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 沿线) (NN 地区) (NN 气候)) (VP (VA 高寒))) (PU ，) (IP (NP (NN 冻土)) (VP (VA 广布)))))) )
4-D-0,修建中巴铁路难度比较大的原因是沿线地区	气候高寒,ed-ori,,1,10,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒,VV NN NN AD VA DEC NN VC NN NN NN VA,,因果_0（修建中巴铁路难度比较大，沿线地区气候高寒）,因果_0（实体信息陈述_1（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，气候，高寒））,0_6,0_6,因果,因果 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 气候 高寒,VV NR NN AD VA DEC NN VC NN NN NN VA,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 沿线) (NN 地区) (NN 气候)) (VP (VA 高寒))))) )
4-D-1,修建中巴铁路难度比较大的原因是沿线地区	冻土广布,ed-ori,,1,10,,修建 中巴铁路 难度 比较 大 的 原因 是 沿线 地区 冻土 广布,修建 中 巴 铁路 难度 比较 大 的 原因 是 沿线 地区 冻土 广布,VV NN NN AD VA DEC NN VC NN NN NN VA,,因果_0（修建中巴铁路难度比较大，沿线地区冻土广布）,因果_0（实体信息陈述_1（修建中巴铁路，难度，比较大），实体信息陈述_3（沿线地区，冻土，广布））,0_6,0_6,因果,因果 实体信息陈述 实体信息陈述,,,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 冻土 广布,修建 中巴 铁路 难度 比较 大 的 原因 是 沿线 地区 冻土 广布,VV NR NN AD VA DEC NN VC NN NN NN VV,( (IP (NP (CP (IP (VP (VV 修建) (NP (NN 中巴铁路) (NN 难度))) (VP (ADVP (AD 比较)) (VP (VA 大)))) (DEC 的)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 沿线) (NN 地区) (NN 冻土)) (VP (VA 广布))))) )
5-①,中巴铁路修建将给喀什带来的有利影响有	扩大经济辐射范围,None,,0,,,中巴铁路 修建 将 给 喀什 带来 的 有利 影响 有 扩大 经济 辐射 范围,中 巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 扩大 经济 辐射 范围,NN VV AD P NN VV DEC JJ NN VE VV NN NN NN,,影响_0（中巴铁路修建，喀什，扩大经济辐射范围）,影响_0（中巴铁路修建，喀什，趋势_1（经济辐射范围，扩大））,0_8,0_8 1_10,影响,影响 趋势,,,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 扩大 经济 辐射 范围,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 扩大 经济 辐射 范围,NR VV AD P NN VV DEC JJ NN VE VV NN NN NN,( (IP (NP (NN 中巴铁路)) (VP (VV 修建) (VP (ADVP (AD 将)) (PP (P 给) (NP (CP (IP (NP (NN 喀什)) (VP (VV 带来))) (DEC 的)) (ADJP (JJ 有利)) (NP (NN 影响)))) (VP (VE 有) (NP (CP (IP (VP (VV 扩大) (NP (NN 经济))))) (NP (NN 辐射) (NN 范围))))))) )
5-②,中巴铁路修建将给喀什带来的有利影响有	缩短出海距离,None,,0 4,,,中巴铁路 修建 将 给 喀什 带来 的 有利 影响 有 缩短 出海 距离,中 巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 缩短 出海 距离,NN VV AD P NN VV DEC JJ NN VE VV JJ NN,,影响_0（中巴铁路修建，喀什， 缩短出海距离）,影响_0（中巴铁路修建，喀什，趋势_1（ 出海距离，缩短））,0_8,0_8 1_10,影响,影响 趋势,,,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 缩短 出海 距离,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 缩短 出海 距离,NR VV AD P NN VV DEC JJ NN VE VV JJ NN,( (IP (NP (NN 中巴铁路)) (VP (VV 修建) (VP (ADVP (AD 将)) (PP (P 给) (NP (CP (IP (NP (NN 喀什)) (VP (VV 带来))) (DEC 的)) (ADJP (JJ 有利)) (NP (NN 影响)))) (VP (VE 有) (NP (CP (IP (VV 缩短))) (ADJP (JJ 出海)) (NP (NN 距离))))))) )
5-③,中巴铁路修建将给喀什带来的有利影响有	增加能源通道,None,,0 4,,,中巴铁路 修建 将 给 喀什 带来 的 有利 影响 有 增加 能源 通道,中 巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 增加 能源 通道,NN VV AD P NN VV DEC JJ NN VE VV NN NN,,影响_0（中巴铁路修建，喀什， 增加能源通道）,影响_0（中巴铁路修建，喀什，趋势_1（能源通道， 增加））,0_8,0_8 1_10,影响,影响 趋势,,,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 增加 能源 通道,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 增加 能源 通道,NR VV AD P NN VV DEC JJ NN VE VV NN NN,( (IP (NP (NN 中巴铁路)) (VP (VV 修建) (VP (ADVP (AD 将)) (PP (P 给) (NP (CP (IP (NP (NN 喀什)) (VP (VV 带来))) (DEC 的)) (ADJP (JJ 有利)) (NP (NN 影响)))) (VP (VE 有) (NP (IP (VP (VV 增加) (NP (NN 能源)))) (NP (NN 通道))))))) )
5-④,中巴铁路修建将给喀什带来的有利影响有	促进产业结构升级,None,,0 4,,,中巴铁路 修建 将 给 喀什 带来 的 有利 影响 有 促进 产业 结构 升级,中 巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 促进 产业 结构 升级,NN VV AD P NN VV DEC JJ NN VE VV NN NN VV,,影响_0（中巴铁路修建，喀什， 促进产业结构升级）,影响_0（中巴铁路修建，喀什，实体信息陈述_1（产业结构，升级））,0_8,0_8,影响,影响 实体信息陈述,,,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 促进 产业 结构 升级,中巴 铁路 修建 将 给 喀什 带来 的 有利 影响 有 促进 产业 结构 升级,NR VV AD P NN VV DEC JJ NN VE VV NN NN NN,( (IP (NP (NN 中巴铁路)) (VP (VP (VV 修建) (NP (CP (IP (VP (ADVP (AD 将)) (PP (P 给) (NP (NN 喀什))) (VP (VV 带来)))) (DEC 的)) (ADJP (JJ 有利)) (NP (NN 影响)))) (VP (VE 有) (IP (IP (VP (VV 促进) (NP (NN 产业) (NN 结构)))) (VP (VV 升级)))))) )
6-A,1980～2000年该城市人口密度的变化表现在	甲区人口密度最高，增长速度最快,y,0,9,,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高 ， 增长 速度 最 快,1980 ～ 2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高 ， 增长 速度 最 快,time DT NN NN NN DEG NN VV P loc NN NN AD VA PU NN NN AD VA,,趋势_0（城市人口密度，甲区人口密度最高）趋势_1（城市人口密度，甲区增长速度最快）,趋势_0（城市人口密度，最值_2（甲区，人口密度，高））趋势_1（城市人口密度，最值_3（甲区，增长速度，快））,0_6 1_6,0_6 1_6 2_12 3_17,趋势 趋势,趋势 趋势 最值,0,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高 ， 增长 速度 最 快,1980～ 2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高 ， 增长 速度 最 快,time DT NN NN NN DEG NN VV P loc NN NN AD VA PU NN NN AD VA,( (IP (IP (IP (NP (NT 1980～2000年)) (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 人口) (NN 密度))) (DEG 的)) (NP (NN 变化))) (VP (VV 表现) (PP (P 在) (NP (NR 甲区))))) (NP (NN 人口) (NN 密度)) (VP (ADVP (AD 最)) (VP (VA 高)))) (PU ，) (NP (NN 增长) (NN 速度)) (VP (ADVP (AD 最)) (VP (VA 快)))) )
6-A-0,1980～2000年该城市人口密度的变化表现在	甲区人口密度最高,ed-ori,0,9,,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高,1980 ～ 2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高,time DT NN NN NN DEG NN VV P loc NN NN AD VA,,趋势_0（城市人口密度，甲区人口密度最高）,趋势_0（城市人口密度，最值_2（甲区，人口密度，高））,0_6,0_6 2_12,趋势,趋势 最值,0,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高,1980～ 2000年 该 城市 人口 密度 的 变化 表现 在 甲区 人口 密度 最 高,time DT NN NN NN DEG NN VV P loc NN NN AD JJ,( (IP (NP (NT 1980～2000年)) (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 人口) (NN 密度))) (DEG 的)) (NP (NN 变化))) (VP (VP (VV 表现) (PP (P 在) (NP (NP (NR 甲区)) (NP (NN 人口) (NN 密度))))) (VP (ADVP (AD 最)) (VP (VA 高))))) )
6-A-1,1980～2000年该城市人口密度的变化表现在	甲区增长速度最快,ed-mod,0,9,,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 甲区 增长 速度 最 快,1980 ～ 2000年 该 城市 人口 密度 的 变化 表现 在 甲区 增长 速度 最 快,time DT NN NN NN DEG NN VV P loc NN NN AD VA,,趋势_0（城市人口密度，甲区增长速度最快）,趋势_0（城市人口密度，最值_2（甲区，增长速度，最快））,0_6,0_6 2_12,趋势,趋势 最值,0,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 甲区 增长 速度 最 快,1980～ 2000年 该 城市 人口 密度 的 变化 表现 在 甲区 增长 速度 最 快,time DT NN NN NN DEG NN VV P loc NN NN AD VA,( (IP (NP (NT 1980～2000年)) (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 人口) (NN 密度))) (DEG 的)) (NP (NN 变化))) (VP (VP (VV 表现) (PP (P 在) (NP (NP (NR 甲区)) (NP (NN 增长) (NN 速度))))) (VP (ADVP (AD 最)) (VP (VA 快))))) )
6-B,1980～2000年该城市人口密度的变化表现在	乙、丙区人口密度明显减小,None,0,11,,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 乙 、 丙区 人口 密度 明显 减小,1980 ～ 2000年 该 城市 人口 密度 的 变化 表现 在 乙 、 丙区 人口 密度 明显 减小,time DT NN NN NN DEG NN VV P NN PU loc NN NN AD VV,,趋势_0（城市人口密度，乙、丙区人口密度，减小）,趋势_0（城市人口密度，乙、丙区人口密度，减小）,0_6 0_15,0_6 0_15,趋势,趋势,0,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 乙 、 丙区 人口 密度 明显 减小,1980～ 2000年 该 城市 人口 密度 的 变化 表现 在 乙 、 丙区 人口 密度 明显 减小,time DT NN NN NN DEG NN VV P NN PU loc NN NN AD VV,( (IP (IP (NP (NT 1980～2000年)) (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 人口) (NN 密度))) (DEG 的)) (NP (NN 变化))) (VP (VV 表现) (PP (P 在) (NP (NN 乙))))) (PU 、) (IP (NP (NP (NR 丙区)) (NP (NN 人口) (NN 密度))) (VP (ADVP (AD 明显)) (VP (VV 减小))))) )
6-C,1980～2000年该城市人口密度的变化表现在	人口密度向西、向南增长最快,None,0,,,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 向 西 、 向 南 增长 最 快,1980 ～ 2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 向 西 、 向 南 增长 最 快,time DT NN NN NN DEG NN NN P NN NN P NN PU P NN VV AD VA,,趋势_0（城市人口密度，向西、向南增长最快）,趋势_0（城市人口密度，最值_1（向西、向南增长，快））,0_6,0_6 1_17,趋势,趋势 最值,0,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 向 西 、 向 南 增长 最 快,1980～ 2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 向 西 、 向 南 增长 最 快,time DT NN NN NN DEG NN NN P NN AD P NN PU P NN VV AD VA,( (IP (NP (NT 1980～2000年)) (NP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 人口) (NN 密度))) (DEG 的)) (NP (NN 变化))) (NP (NN 表现))) (VP (PP (P 在) (NP (NN 人口) (NN 密度))) (PP (P 向) (NP (NN 西))) (PU 、) (PP (P 向) (NP (NN 南))) (VP (VV 增长) (VP (ADVP (AD 最)) (VP (VA 快)))))) )
6-D,1980～2000年该城市人口密度的变化表现在	人口密度峰值由单中心向多中心变化,None,0,,,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 峰值 由 单 中心 向 多 中心 变化,1980 ～ 2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 峰值 由 单 中心 向 多 中心 变化,time DT NN NN NN DEG NN NN P NN VV NN P JJ NN P JJ NN NN,,趋势_0（城市人口密度，峰值，单中心向多中心变化）,趋势_0（城市人口密度，峰值，一般陈述_1（单中心向多中心变化））,0_6,0_6,趋势,趋势 一般陈述,0,,1980～2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 峰值 由单 中心 向 多 中心 变化,1980～ 2000年 该 城市 人口 密度 的 变化 表现 在 人口 密度 峰值 由单 中心 向 多 中心 变化,time DT NN NN NN DEG NN NN P NN VV NN NN NN P JJ NN NN,( (IP (NP (NT 1980～2000年)) (NP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 人口) (NN 密度))) (DEG 的)) (NP (NN 变化))) (NP (NN 表现))) (VP (PP (P 在) (NP (NN 人口))) (VP (VV 密度) (NP (NP (NN 峰值)) (PP (PP (P 由) (NP (ADJP (JJ 单)) (NP (NN 中心)))) (PP (P 向) (NP (ADJP (JJ 多)) (NP (NN 中心))))) (NP (NN 变化)))))) )
7-A,该城市	甲区土地地价最低,None,,2,,,该 城市 甲区 土地 地价 最 低,该 城市 甲区 土地 地价 最 低,DT NN loc NN NN AD VA,,最值_0（该城市甲区土地，地价，低）,最值_0（该城市甲区土地，地价，低）,0_5,0_5,最值,最值,,,该 城市 甲区 土地 地价 最 低,该 城市 甲区 土地 地价 最 低,DT NN loc NN NN AD VA,( (IP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NR 甲区)) (NP (NN 土地))) (NP (NN 地价)) (VP (ADVP (AD 最)) (VP (VA 低)))) )
7-B,该城市	乙区居住环境逐渐改善,None,,2,,,该 城市 乙区 居住 环境 逐渐 改善,该 城市 乙区 居住 环境 逐渐 改善,DT NN loc VV NN AD VV,,趋势_0（该城市乙区，居住环境，改善）,趋势_0（该城市乙区，居住环境，改善）,0_5,0_5,趋势,趋势,,,该 城市 乙区 居住 环境 逐渐 改善,该 城市 乙区 居住 环境 逐渐 改善,DT NN loc VV NN AD VV,( (IP (NP (DP (DT 该)) (NP (NN 城市))) (NP (CP (IP (NP (NR 乙区)) (VP (VV 居住)))) (NP (NN 环境))) (VP (ADVP (AD 逐渐)) (VP (VV 改善)))) )
7-C,该城市	丙区适宜发展新兴工业区,None,,2,,,该 城市 丙区 适宜 发展 新兴 工业区,该 城市 丙区 适宜 发展 新兴 工业区,DT NN loc VV VV JJ NN,,实体信息陈述_0（该城市丙区，适合发展新兴工业区）,实体信息陈述_0（该城市丙区，适合发展新兴工业区）,,,实体信息陈述,实体信息陈述,,,该 城市 丙区 适宜 发展 新兴 工业 区,该 城市 丙区 适宜 发展 新 兴工 业区,DT NN loc VV VV JJ NN,( (IP (IP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NR 丙区))) (VP (VV 适宜))) (VP (VV 发展) (NP (ADJP (JJ 新兴)) (NP (NN 工业区))))) )
7-D,该城市	向北扩展约36千米,None,,,,6,该 城市 向 北 扩展 约 36千米,该 城市 向 北 扩展 约 36千米,DT NN P NN VV AD num,,实体信息陈述_0（该城市，向北扩展，36千米）,实体信息陈述_0（该城市，向北扩展，36千米）,,,实体信息陈述,实体信息陈述,,,该 城市 向 北 扩展 约 36 千米,该 城市 向 北 扩展 约 36 千米,DT NN P NN NN AD num,( (IP (NP (DP (DT 该)) (NP (NN 城市))) (VP (PP (P 向) (NP (NN 北))) (VP (VV 扩展) (QP (ADVP (AD 约)) (QP (CD 36千米)))))) )
8-A,表中	班加罗尔气温年较差小,None,,2,,,表 中 班加罗尔 气温 年较差 小,表 中 班加罗尔 气温 年较差 小,NN LC loc NN NN VA,,实体信息陈述_0（班加罗尔，气温年较差，小）,实体信息陈述_0（班加罗尔，气温年较差，小）,,,实体信息陈述,实体信息陈述,,,表 中 班加罗尔 气温年较差 小,表 中 班加罗尔 气温年较差 小,NN LC loc NN NN VA,( (IP (NP (LCP (NP (NN 表)) (LC 中)) (NP (NP (NR 班加罗尔)) (NP (NN 气温) (NN 年较差)))) (VP (VA 小))) )
8-B,表中	旧金山雨热同期,None,,2,3,,表 中 旧金山 雨热同期,表 中 旧金山 雨热 同期,NN LC loc term,,实体信息陈述_0（旧金山，雨热同期）,实体信息陈述_0（旧金山，雨热同期）,,,实体信息陈述,实体信息陈述,,,表中 旧金山 雨热同期,表中 旧金山 雨热同期,VV loc term,( (NP (LCP (NP (NN 表)) (LC 中)) (NP (NR 旧金山)) (NP (NN 雨热同期))) )
8-C,表中	筑波年降水量少,None,,2,,,表 中 筑波 年 降水量 少,表 中 筑波 年 降水量 少,NN LC loc NN NN VA,,实体信息陈述_0（筑波年，降水量，少）,实体信息陈述_0（筑波年，降水量，少）,,,实体信息陈述,实体信息陈述,,,表中 筑波 年降水量 少,表中 筑波 年降水量 少,VV loc M NN VA,( (IP (LCP (NP (NN 表)) (LC 中)) (NP (NR 筑波) (NN 年)) (NP (NN 降水量)) (VP (VA 少))) )
8-D,表中	慕尼黑是温带季风气候,None,,2,4,,表 中 慕尼黑 是 温带季风气候,表 中 慕尼黑 是 温带 季风 气候,NN LC loc VC term,,实体信息陈述_0（慕尼黑，气候，温带季风气候）,实体信息陈述_0（慕尼黑，气候，温带季风气候）,,,实体信息陈述,实体信息陈述,,3,表中 慕尼黑 是 温带季风气候,表中 慕尼黑 是 温带季风气候,NN loc VC term,( (IP (NP (LCP (NP (NN 表)) (LC 中)) (NP (NR 慕尼黑))) (VP (VC 是) (NP (NN 温带季风气候)))) )
9-A,美国旧金山7月份降水少的主要原因	位于背风坡,None,2,0 1,9,,美国 旧金山 7月份 降水 少 的 主要 原因 位于 背风坡,美国 旧金山 7月份 降水 少 的 主要 原因 位于 背风坡,loc loc time VV VA DEC JJ NN VV term,,因果_0（美国旧金山位于背风坡，美国旧金山7月份降水少）,因果_0（位于_1（美国旧金山，背风坡），时间限定_3（7月份）实体信息陈述_2（美国旧金山，降水，少））,0_7,0_7 1_8,因果,因果 位于 实体信息陈述 时间限定,2,0 9,美国 旧金山 7月份 降水 少 的 主要 原因 位于 背风坡,美国 旧金山 7月 份 降水 少 的 主要 原因 位于 背风坡,loc loc time VV JJ DEG JJ NN VV term,( (IP (NP (NP (NR 美国)) (CP (IP (NP (NR 旧金山)) (VP (NP (NT 7月份)) (VP (VV 降水) (IP (VP (VA 少)))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VV 位于) (NP (NN 背风坡)))) )
9-B,美国旧金山7月份降水少的主要原因	受副热带高压控制,None,2,0 1,9,,美国 旧金山 7月份 降水 少 的 主要 原因 受 副热带高压 控制,美国 旧金山 7月份 降水 少 的 主要 原因 受 副 热带 高压 控制,loc loc time VV VA DEC JJ NN VV term VV,,因果_0（美国旧金山受副热带高压控制，美国旧金山7月份降水少）,时间限定_3（7月份） 因果_0（实体信息陈述_1（美国旧金山，受副热带高压控制），实体信息陈述_2（美国旧金山，降水，少））,0_7,0_7,因果,因果 实体信息陈述 时间限定,2,0,美国 旧金山 7月份 降水 少 的 主要 原因 受 副热带高压 控制,美国 旧金山 7月 份 降水 少 的 主要 原因 受 副热带高压 控制,loc loc time VV JJ DEG JJ NN VV term VV,( (IP (NP (NP (NR 美国)) (CP (IP (NP (NR 旧金山)) (VP (NP (NT 7月份)) (VP (VV 降水) (IP (VP (VA 少)))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VV 受) (IP (NP (NN 副热带高压)) (VP (VV 控制))))) )
9-C,美国旧金山7月份降水少的主要原因	沿岸寒流经过,None,2,0 1,9,,美国 旧金山 7月份 降水 少 的 主要 原因 沿岸 寒流 经过,美国 旧金山 7月份 降水 少 的 主要 原因 沿岸 寒流 经过,loc loc time VV VA DEC JJ NN NN term VV,,因果_0（美国旧金山沿岸寒流经过，美国旧金山7月份降水少）,时间限定_3（7月份） 因果_0（实体信息陈述_1（美国旧金山，沿岸寒流经过），实体信息陈述_2（美国旧金山，降水，少））,0_7,0_7,因果,因果 实体信息陈述 时间限定,2,0,美国 旧金山 7月份 降水 少 的 主要 原因 沿岸 寒流 经过,美国 旧金山 7月 份 降水 少 的 主要 原因 沿岸 寒流 经过,loc loc time VV JJ DEG JJ NN NN term VV,( (IP (NP (NP (NR 美国)) (NP (CP (IP (NP (NR 旧金山)) (VP (NP (NT 7月份)) (VP (VV 降水) (IP (VP (VA 少)))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (NP (NN 沿岸))) (NP (NN 寒流)) (VP (VV 经过))) )
9-D,美国旧金山7月份降水少的主要原因	飓风活动少,None,2,0 1,8,,美国 旧金山 7月份 降水 少 的 主要 原因 飓风 活动 少,美国 旧金山 7月份 降水 少 的 主要 原因 飓风 活动 少,loc loc time VV VA DEC JJ NN term NN VA,,因果_0（美国旧金山飓风活动少，美国旧金山7月份降水少）,时间限定_3（7月份）因果_0（实体信息陈述_1（美国旧金山，飓风活动少），实体信息陈述_2（美国旧金山，降水，少））,0_7,0_7,因果,因果 实体信息陈述 时间限定,2,0,美国 旧金山 7月份 降水 少 的 主要 原因 飓风 活动 少,美国 旧金山 7月 份 降水 少 的 主要 原因 飓风 活动 少,loc loc time VV JJ DEG JJ NN term NN VA,( (IP (NP (NP (NR 美国)) (CP (IP (NP (NR 旧金山)) (VP (NP (NT 7月份)) (VP (VV 降水) (IP (VP (VA 少)))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (NP (NN 飓风) (NN 活动)) (VP (VA 少))) )
10-A,四个“硅谷”发展高新技术产业的共同优势是	位于中纬地区，环境优美,y,,,13,,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区 ， 环境 优美,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区 ， 环境 优美,CD PU NN PU VV JJ NN NN DEG JJ NN VC VV term NN PU NN VA,,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，位于中纬地区）实体信息陈述_2（四个“硅谷”，发展高新技术产业的共同优势，环境优美）,实体信息陈述_0（四个“硅谷”，发展高新技术产业的共同优势，位于_3（四个“硅谷”，中纬地区））实体信息陈述_2（四个“硅谷”发展高新技术产业，共同优势，环境优美）,,3_12,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述 位于,,13,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区 ， 环境 优美,四个 “ 硅谷 ” 发展 高新 技术 产业 的 共同 优势 是 位于 中纬 地区 ， 环境 优美,CD PU NR PU VV JJ NN NN DEG JJ NN VC VV term NN PU NN VA,( (IP (IP (NP (DNP (NP (IP (NP (QP (CD 四个)) (NP (PU “) (NN 硅谷) (PU ”))) (VP (VV 发展) (NP (ADJP (JJ 高新)) (NP (NN 技术))))) (NP (NN 产业))) (DEG 的)) (ADJP (JJ 共同)) (NP (NN 优势))) (VP (VC 是) (VP (VV 位于) (NP (NN 中纬) (NN 地区))))) (PU ，) (NP (NN 环境)) (VP (VA 优美))) )
