编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2002年11月20日9时（北京时间），中国第19次南极科学考察队乘“雪龙号”自上海出发，此时长城站所在地的区时为	19日19时,None,0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日19时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日19时）,时间限定_0（2002年11月20日9时（北京时间））实体信息陈述_1（长城站所在地，区时，19日19时）,0_0-2 1_21-22-23,0_0-2 1_21-22-23,时间限定 实体信息陈述,时间限定 实体信息陈述,,,2002年11月20日9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,2002年 11月 20日 9时 （ 北京时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time,( (IP (NP (NT 2002年11月20日9时)) (NP (PU （) (NN 北京时间) (PU ）)) (PU ，) (IP (NP (NP (NR 中国)) (QP (CD 第19次)) (NP (NP (NR 南极)) (NP (NN 科学) (NN 考察队)))) (VP (VP (VV 乘) (NP (PU “) (NN 雪龙号) (PU ”))) (VP (PP (P 自) (NP (NR 上海))) (VP (VV 出发))))) (PU ，) (IP (NP (NT 此时)) (NP (DNP (NP (NP (NR 长城站)) (NP (NN 所在地))) (DEG 的)) (NP (NN 区时))) (VP (VC 为) (NP (NT 19日19时))))) )
7-C,图3中①、②、③、④四地自然条件相比	③地有明显的旱季和雨季,None,,2 6,,,图3 中 ①、②、③、④四地 自然 条件 相比 ③地 有 明显 的 旱季 和 雨季,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ③地 有 明显 的 旱季 和 雨季,NN LC loc NN NN VV loc VE VA DEC NN CC NN,,,,,,,,,,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ③地 有 明显 的 旱季 和 雨季,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ③地 有 明显 的 旱季 和 雨季,NN LC loc NN NN VV loc VE VA DEC NN CC NN,( (IP (NP (CP (IP (LCP (NP (NN 图3)) (LC 中)) (NP (NP (NR ①、②、③、④四地)) (NP (NN 自然) (NN 条件))) (VP (VV 相比)))) (NP (NR ③地))) (VP (VE 有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 旱季) (CC 和) (NN 雨季))))) )
7-D,图3中①、②、③、④四地自然条件相比	④地比①地气温年较差大,None,,2 6 8,,,图3 中 ①、②、③、④四地 自然 条件 相比 ④地 比 ①地 气温 年较差 大,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ④地 比 ①地 气温 年较差 大,NN LC loc NN NN VV loc P loc NN NN VA,,比较_0（④地，①地，气温年较差，大）,比较_0（④地，①地，气温年较差，大）,0_5-7,0_5-7,比较,比较,,,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ④地比 ①地 气温年较差 大,图3 中 ① 、 ② 、 ③ 、 ④ 四地 自然 条件 相比 ④地比 ①地 气温年较差 大,NN LC loc NN NN VV loc P loc NN NN JJ,( (IP (NP (LCP (NP (NN 图3)) (LC 中)) (IP (NP (NP (NR ①、②、③、④四地)) (NP (NN 自然) (NN 条件))) (VP (VV 相比))) (NP (NR ④地))) (VP (PP (P 比) (NP (NP (NR ①地)) (NP (NN 气温) (NN 年较差)))) (VP (VA 大)))) )
8-A,12月份，自东向西穿过直布罗陀海峡的航船常遇到	顺风顺水,None,0,7,,,12月份 ， 自 东 向 西 穿过 直布罗陀海峡 的 航船 常 遇到 顺风 顺水,12月份 ， 自 东 向 西 穿过 直布罗陀 海峡 的 航船 常 遇到 顺风 顺水,time PU P NN P NN VV loc DEG NN AD VV NN NN,,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，顺风顺水）,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，顺风顺水）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 顺风 顺水,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 顺风 顺水,time PU P NN P NN VV loc DEG NN AD VV NN NN,( (IP (NP (NT 12月份)) (PU ，) (PP (PP (P 自) (NP (NN 东))) (PP (P 向) (NP (NN 西)))) (VP (IP (VP (VV 穿过) (NP (DNP (NP (NR 直布罗陀海峡)) (DEG 的)) (NP (NN 航船))))) (ADVP (AD 常)) (VP (VV 遇到) (NP (NN 顺风) (NN 顺水))))) )
8-B,12月份，自东向西穿过直布罗陀海峡的航船常遇到	逆风顺水,None,0,7,,,12月份 ， 自 东 向 西 穿过 直布罗陀海峡 的 航船 常 遇到 逆风 顺水,12月份 ， 自 东 向 西 穿过 直布罗陀 海峡 的 航船 常 遇到 逆风 顺水,time PU P NN P NN VV loc DEG NN AD VV NN NN,,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，逆风顺水）,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，逆风顺水）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 逆风 顺水,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 逆风 顺水,time PU P NN P NN VV loc DEG NN AD VV NN NN,( (IP (NP (NT 12月份)) (PU ，) (PP (PP (P 自) (NP (NN 东))) (PP (P 向) (NP (NN 西)))) (VP (IP (VP (VV 穿过) (NP (DNP (NP (NR 直布罗陀海峡)) (DEG 的)) (NP (NN 航船))))) (ADVP (AD 常)) (VP (VV 遇到) (NP (NN 逆风) (NN 顺水))))) )
8-C,12月份，自东向西穿过直布罗陀海峡的航船常遇到	顺风逆水,None,0,7,,,12月份 ， 自 东 向 西 穿过 直布罗陀海峡 的 航船 常 遇到 顺风 逆水,12月份 ， 自 东 向 西 穿过 直布罗陀 海峡 的 航船 常 遇到 顺风 逆水,time PU P NN P NN VV loc DEG NN AD VV NN NN,,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，顺风逆水）,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，顺风逆水）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 顺风 逆水,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 顺风 逆水,time PU P NN P NN VV loc DEG NN AD VV NN NN,( (IP (NP (NT 12月份)) (PU ，) (PP (PP (P 自) (NP (NN 东))) (PP (P 向) (NP (NN 西)))) (VP (IP (VP (VV 穿过) (NP (DNP (NP (NR 直布罗陀海峡)) (DEG 的)) (NP (NN 航船))))) (ADVP (AD 常)) (VP (VV 遇到) (NP (NN 顺风) (NN 逆水))))) )
8-D,12月份，自东向西穿过直布罗陀海峡的航船常遇到	逆风逆水,None,0,7,,,12月份 ， 自 东 向 西 穿过 直布罗陀海峡 的 航船 常 遇到 逆风 逆水,12月份 ， 自 东 向 西 穿过 直布罗陀 海峡 的 航船 常 遇到 逆风 逆水,time PU P NN P NN VV loc DEG NN AD VV NN NN,,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，逆风逆水）,时间限定_0（12月份）实体信息陈述_1（自东向西穿过直布罗陀海峡的航船，常遇到，逆风逆水）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 逆风 逆水,12月份 ， 自 东向西 穿过 直布罗陀海峡 的 航船 常 遇到 逆风 逆水,time PU P NN P NN VV loc DEG NN AD VV NN NN,( (IP (NP (NT 12月份)) (PU ，) (PP (PP (P 自) (NP (NN 东))) (PP (P 向) (NP (NN 西)))) (VP (IP (VP (VV 穿过) (NP (DNP (NP (NR 直布罗陀海峡)) (DEG 的)) (NP (NN 航船))))) (ADVP (AD 常)) (VP (VV 遇到) (NP (NN 逆风) (NN 逆水))))) )
9-A,下列铁路线两端的城市1月平均气温差别最小的是	京哈线,None,5,13,,,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 京哈线,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 京哈线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC loc,,时间限定_0（1月）最值_1（京哈线，铁路线两端的城市平均气温差别，小，#）,时间限定_0（1月）最值_1（京哈线，铁路线两端的城市平均气温差别，小，#）,0_5 1_9,0_5 1_9,最值 时间限定,最值 时间限定,,,下列 铁路线 两端 的 城市 1月平均气温 差别 最 小 的 是 京哈 线,下列 铁路线 两端 的 城市 1 月平均气温 差别 最 小 的 是 京哈 线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC NN,( (IP (NP (DNP (NP (ADJP (JJ 下列)) (NP (NN 铁路线) (NN 两端))) (DEG 的)) (NP (NN 城市))) (NP (NT 1月)) (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 气温))) (NP (NN 差别)) (VP (ADVP (AD 最)) (VP (VA 小)))) (DEC 的))) (VP (VC 是) (NP (NR 京哈线)))) )
9-B,下列铁路线两端的城市1月平均气温差别最小的是	焦柳线,None,5,13,,,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 焦柳线,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 焦柳线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC loc,,时间限定_0（1月）最值_1（焦柳线，铁路线两端的城市平均气温差别，小，#）,时间限定_0（1月）最值_1（焦柳线，铁路线两端的城市平均气温差别，小，#）,0_5 1_9,0_5 1_9,最值 时间限定,最值 时间限定,,,下列 铁路线 两端 的 城市 1月平均气温 差别 最 小 的 是 焦柳线,下列 铁路线 两端 的 城市 1 月平均气温 差别 最 小 的 是 焦柳线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC NN,( (IP (NP (DNP (NP (ADJP (JJ 下列)) (NP (NN 铁路线) (NN 两端))) (DEG 的)) (NP (NN 城市))) (NP (NT 1月)) (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 气温))) (NP (NN 差别)) (VP (ADVP (AD 最)) (VP (VA 小)))) (DEC 的))) (VP (VC 是) (NP (NR 焦柳线)))) )
9-C,下列铁路线两端的城市1月平均气温差别最小的是	浙赣线,None,5,13,,,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 浙赣线,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 浙赣线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC loc,,时间限定_0（1月）最值_1（浙赣线，铁路线两端的城市平均气温差别，小，#）,时间限定_0（1月）最值_1（浙赣线，铁路线两端的城市平均气温差别，小，#）,0_5 1_9,0_5 1_9,最值 时间限定,最值 时间限定,,,下列 铁路线 两端 的 城市 1月平均气温 差别 最 小 的 是 浙赣 线,下列 铁路线 两端 的 城市 1 月平均气温 差别 最 小 的 是 浙赣 线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC NN,( (IP (NP (DNP (NP (ADJP (JJ 下列)) (NP (NN 铁路线) (NN 两端))) (DEG 的)) (NP (NN 城市))) (NP (NT 1月)) (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 气温))) (NP (NN 差别)) (VP (ADVP (AD 最)) (VP (VA 小)))) (DEC 的))) (VP (VC 是) (NP (NR 浙赣线)))) )
9-D,下列铁路线两端的城市1月平均气温差别最小的是	青藏线,None,5,13,,,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 青藏线,下列 铁路线 两端 的 城市 1月 平均 气温 差别 最 小 的 是 青藏线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC loc,,时间限定_0（1月）最值_1（青藏线，铁路线两端的城市平均气温差别，小，#）,时间限定_0（1月）最值_1（青藏线，铁路线两端的城市平均气温差别，小，#）,0_5 1_9,0_5 1_9,最值 时间限定,最值 时间限定,,,下列 铁路线 两端 的 城市 1月平均气温 差别 最 小 的 是 青藏 线,下列 铁路线 两端 的 城市 1 月平均气温 差别 最 小 的 是 青藏 线,JJ NN NN DEG NN time JJ NN NN AD VA DEC VC NN,( (IP (NP (DNP (NP (ADJP (JJ 下列)) (NP (NN 铁路线) (NN 两端))) (DEG 的)) (NP (NN 城市))) (NP (NT 1月)) (NP (CP (IP (NP (ADJP (JJ 平均)) (NP (NN 气温))) (NP (NN 差别)) (VP (ADVP (AD 最)) (VP (VA 小)))) (DEC 的))) (VP (VC 是) (NP (NR 青藏线)))) )
10-A,合理的棉纺织工业布局应位于图中	①,None,,,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ①,合理 的 棉纺织 工业 布局 应 位于 图 中 ①,VA DEC NN NN NN VV VV NN LC NN,,位于_0（合理的棉纺织工业布局，①）,位于_0（合理的棉纺织工业布局，①）,0_6,0_6,位于,位于,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ①,合理 的 棉纺织 工业 布局 应 位于 图 中 ①,VA DEC NN NN NN VV VV NN LC VV,( (IP (NP (NP (CP (IP (VP (VA 合理))) (DEC 的)) (NP (NN 棉纺织) (NN 工业))) (NP (NN 布局))) (VP (VV 应) (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①)))))) )
10-B,合理的棉纺织工业布局应位于图中	②,None,,,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ②,合理 的 棉纺织 工业 布局 应 位于 图 中 ②,VA DEC NN NN NN VV VV NN LC NN,,位于_0（合理的棉纺织工业布局，②）,位于_0（合理的棉纺织工业布局，②）,0_6,0_6,位于,位于,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ②,合理 的 棉纺织 工业 布局 应 位于 图 中 ②,VA DEC NN NN NN VV VV NN LC VV,( (IP (NP (NP (CP (IP (VP (VA 合理))) (DEC 的)) (NP (NN 棉纺织) (NN 工业))) (NP (NN 布局))) (VP (VV 应) (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ②)))))) )
10-C,合理的棉纺织工业布局应位于图中	③,None,,,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ③,合理 的 棉纺织 工业 布局 应 位于 图 中 ③,VA DEC NN NN NN VV VV NN LC NN,,位于_0（合理的棉纺织工业布局，③）,位于_0（合理的棉纺织工业布局，③）,0_6,0_6,位于,位于,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ③,合理 的 棉纺织 工业 布局 应 位于 图 中 ③,VA DEC NN NN NN VV VV NN LC VV,( (IP (NP (NP (CP (IP (VP (VA 合理))) (DEC 的)) (NP (NN 棉纺织) (NN 工业))) (NP (NN 布局))) (VP (VV 应) (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ③)))))) )
10-D,合理的棉纺织工业布局应位于图中	④,None,,,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ④,合理 的 棉纺织 工业 布局 应 位于 图 中 ④,VA DEC NN NN NN VV VV NN LC NN,,位于_0（合理的棉纺织工业布局，④）,位于_0（合理的棉纺织工业布局，④）,0_6,0_6,位于,位于,,,合理 的 棉纺织 工业 布局 应 位于 图 中 ④,合理 的 棉纺织 工业 布局 应 位于 图 中 ④,VA DEC NN NN NN VV VV NN LC VV,( (IP (NP (NP (CP (IP (VP (VA 合理))) (DEC 的)) (NP (NN 棉纺织) (NN 工业))) (NP (NN 布局))) (VP (VV 应) (VP (VV 位于) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ④)))))) )
11-A,下列几组省区（市）按①-②-③-④排列的是	山东-四川-西藏-江苏,None,,17 19 21 23,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 山东 - 四川 - 西藏 - 江苏,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 山东 - 四川 - 西藏 - 江苏,JJ NN NN PU NN PU P NN PU NN PU NN PU NN VV DEC VC loc PU loc PU loc PU loc,,匹配_0（①，山东）匹配_1（②，四川）匹配_2（③，西藏）匹配_3（④，江苏）,匹配_0（①，山东）匹配_1（②，四川）匹配_2（③，西藏）匹配_3（④，江苏）,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,匹配,匹配,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 山东 - 四川 - 西藏 - 江苏,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 山东 - 四川 - 西藏 - 江苏,JJ NN NN PU NN PU P NN PU PU PU PU PU AD VV DEC VC loc PU loc M loc PU loc,( (IP (NP (CP (IP (NP (NP (NP (ADJP (JJ 下列)) (NP (NN 几组))) (NP (NN 省区))) (NP (PU （) (NN 市) (PU ）))) (VP (PP (P 按) (NP (NN ①) (PU -) (NN ②) (PU -) (NN ③) (PU -) (NN ④))) (VP (VV 排列)))) (DEC 的))) (VP (VC 是) (NP (NR 山东) (PU -) (NR 四川) (PU -) (NR 西藏) (PU -) (NR 江苏)))) )
11-B,下列几组省区（市）按①-②-③-④排列的是	河北-新疆-青海-广东,None,,17 19 21 23,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 河北 - 新疆 - 青海 - 广东,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 河北 - 新疆 - 青海 - 广东,JJ NN NN PU NN PU P NN PU NN PU NN PU NN VV DEC VC loc PU loc PU loc PU loc,,匹配_0（①，河北）匹配_1（②，新疆）匹配_2（③，青海）匹配_3（④，广东）,匹配_0（①，河北）匹配_1（②，新疆）匹配_2（③，青海）匹配_3（④，广东）,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,匹配,匹配,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 河北 - 新疆 - 青海 - 广东,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 河北 - 新疆 - 青海 - 广东,JJ NN NN PU NN PU P NN PU PU PU PU PU AD VV DEC VC loc PU loc PU loc PU loc,( (IP (NP (CP (IP (NP (NP (NP (ADJP (JJ 下列)) (NP (NN 几组))) (NP (NN 省区))) (NP (PU （) (NN 市) (PU ）))) (VP (PP (P 按) (NP (NN ①) (PU -) (NN ②) (PU -) (NN ③) (PU -) (NN ④))) (VP (VV 排列)))) (DEC 的))) (VP (VC 是) (NP (NR 河北) (PU -) (NR 新疆) (PU -) (NR 青海) (PU -) (NR 广东)))) )
11-C,下列几组省区（市）按①-②-③-④排列的是	浙江-辽宁-湖北-北京,None,,17 19 21 23,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 浙江 - 辽宁 - 湖北 - 北京,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 浙江 - 辽宁 - 湖北 - 北京,JJ NN NN PU NN PU P NN PU NN PU NN PU NN VV DEC VC loc PU loc PU loc PU loc,,匹配_0（①，浙江）匹配_1（②，辽宁）匹配_2（③，湖北）匹配_3（④，北京）,匹配_0（①，浙江）匹配_1（②，辽宁）匹配_2（③，湖北）匹配_3（④，北京）,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,匹配,匹配,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 浙江 - 辽宁 - 湖北 - 北京,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 浙江 - 辽宁 - 湖北 - 北京,JJ NN NN PU NN PU P NN PU PU PU PU PU AD VV DEC VC loc PU loc PU loc PU loc,( (IP (NP (CP (IP (NP (NP (NP (ADJP (JJ 下列)) (NP (NN 几组))) (NP (NN 省区))) (NP (PU （) (NN 市) (PU ）))) (VP (PP (P 按) (NP (NN ①) (PU -) (NN ②) (PU -) (NN ③) (PU -) (NN ④))) (VP (VV 排列)))) (DEC 的))) (VP (VC 是) (NP (NP (NR 浙江)) (PRN (PU -) (NP (NR 辽宁) (PU -) (NR 湖北) (PU -) (NR 北京)))))) )
11-D,下列几组省区（市）按①-②-③-④排列的是	安徽-重庆-湖南-河南,None,,17 19 21 23,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 安徽 - 重庆 - 湖南 - 河南,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 安徽 - 重庆 - 湖南 - 河南,JJ NN NN PU NN PU P NN PU NN PU NN PU NN VV DEC VC loc PU loc PU loc PU loc,,匹配_0（①，安徽）匹配_1（②，重庆）匹配_2（③，湖南）匹配_3（④，河南）,匹配_0（①，安徽）匹配_1（②，重庆）匹配_2（③，湖南）匹配_3（④，河南）,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,0_6-15-16 1_6-15-16 2_6-15-16 3_6-15-16,匹配,匹配,,,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 安徽 - 重庆 - 湖南 - 河南,下列 几组 省区 （ 市 ） 按 ① - ② - ③ - ④ 排列 的 是 安徽 - 重庆 - 湖南 - 河南,JJ NN NN PU NN PU P NN PU PU PU PU PU AD VV DEC VC loc PU loc PU loc PU loc,( (IP (NP (CP (IP (NP (NP (NP (ADJP (JJ 下列)) (NP (NN 几组))) (NP (NN 省区))) (NP (PU （) (NN 市) (PU ）))) (VP (PP (P 按) (NP (NN ①) (PU -) (NN ②) (PU -) (NN ③) (PU -) (NN ④))) (VP (VV 排列)))) (DEC 的))) (VP (VC 是) (NP (NR 安徽) (PU -) (NR 重庆) (PU -) (NR 湖南) (PU -) (NR 河南)))) )
