编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图中指示山脊和山谷的分别是	①和②,None,,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN,,匹配_0（山脊，①）匹配_1（山谷，②）,匹配_0（山脊，①）匹配_1（山谷，②）,0_7-8 1_7-8,0_7-8 1_7-8,匹配 匹配,匹配 匹配,,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN,( (IP (NP (CP (IP (VP (LCP (NP (NN 图)) (LC 中)) (VP (VV 指示) (NP (NN 山脊) (CC 和) (NN 山谷))))) (DEG 的))) (VP (ADVP (AD 分别)) (VP (VC 是) (NP (NN ①) (CC 和) (NN ②))))) )
7-A-0,由08时到20时，图中	①地风向偏北,ed-ori,0,4,5,,由08时到20时 ， 图 中 ①地 风向 偏北,由 08时 到 20时 ， 图 中 ①地 风向 偏北,time PU NN LC loc term VA,,时间限定_0（由08时到20时）实体信息陈述_1（①地，风向，偏北）,时间限定_0（由08时到20时）实体信息陈述_1（①地，风向，偏北）,0_0,0_0,时间限定 实体信息陈述,时间限定 实体信息陈述,0 4,,由 08时到20时 ， 图 中 ①地 风向 偏北,由 08时 到 20时 ， 图 中 ①地 风向 偏北,time PU NN LC loc term NN,( (IP (NP (NT 由08时到20时)) (PU ，) (LCP (NP (NN 图)) (LC 中)) (NP (NR ①地)) (NP (NN 风向)) (VP (VA 偏北))) )
7-A-1,由08时到20时，图中	①地风力逐渐减弱,ed-mod,0,4,5,,由08时到20时 ， 图 中 ①地 风力 逐渐 减弱,由 08时 到 20时 ， 图 中 ①地 风力 逐渐 减弱,time PU NN LC loc term AD VV,,时间限定_0（由08时到20时）趋势_1（①地，风力，#，逐渐减弱）,时间限定_0（由08时到20时）趋势_1（①地，风力，#，逐渐减弱）,0_0 1_7,0_0 1_7,时间限定 趋势,时间限定 趋势,0 4,,由 08时到20时 ， 图 中 ①地 风力 逐渐 减弱,由 08时 到 20时 ， 图 中 ①地 风力 逐渐 减弱,time PU NN LC loc term AD VV,( (IP (NP (NT 由08时到20时)) (PU ，) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NR ①地)) (NP (NN 风力)))) (VP (ADVP (AD 逐渐)) (VP (VV 减弱)))) )
7-B,由08时到20时，图中	②地受高压脊控制，天气持续晴朗,y,0,4,6,,由08时到20时 ， 图 中 ②地 受 高压脊 控制 ， 天气 持续 晴朗,由 08时 到 20时 ， 图 中 ②地 受 高压脊 控制 ， 天气 持续 晴朗,time PU NN LC loc VV term NN PU NN VV VV,,时间限定_0（由08时到20时）影响_1（高压脊，②地）实体信息陈述_2（②地，天气，持续晴朗）,时间限定_0（由08时到20时）影响_1（高压脊，②地）实体信息陈述_2（②地，天气，持续晴朗）,0_0 1_5-7,0_0 1_5-7,时间限定 影响 实体信息陈述,时间限定 影响 实体信息陈述,0 4,,由 08时到20时 ， 图 中 ②地 受 高压脊 控制 ， 天气 持续 晴朗,由 08时 到 20时 ， 图 中 ②地 受 高压脊 控制 ， 天气 持续 晴朗,time PU NN LC loc VV term NN PU NN VV VV,( (IP (IP (NP (NT 由08时到20时)) (PU ，) (LCP (NP (NN 图)) (LC 中)) (NP (NR ②地)) (VP (VV 受) (NP (NN 高压脊) (NN 控制)))) (PU ，) (NP (NN 天气)) (VP (VV 持续) (VP (VV 晴朗)))) )
7-B-0,由08时到20时，图中	②地受高压脊控制,ed-ori,0,4,6,,由08时到20时 ， 图 中 ②地 受 高压脊 控制,由 08时 到 20时 ， 图 中 ②地 受 高压脊 控制,time PU NN LC loc VV term NN,,时间限定_0（由08时到20时）影响_1（高压脊，②地,时间限定_0（由08时到20时）影响_1（高压脊，②地,0_0 1_5-7,0_0 1_5-7,时间限定 影响,时间限定 影响,0 4,,由 08时到20时 ， 图 中 ②地 受 高压脊 控制,由 08时 到 20时 ， 图 中 ②地 受 高压脊 控制,time PU NN LC loc VV term NN,( (IP (NP (NT 由08时到20时)) (PU ，) (LCP (NP (NN 图)) (LC 中)) (NP (NR ②地)) (VP (VV 受) (NP (NN 高压脊) (NN 控制)))) )
7-B-1,由08时到20时，图中	②地天气持续晴朗,ed-mod,0,4,,,由08时到20时 ， 图 中 ②地 天气 持续 晴朗,由 08时 到 20时 ， 图 中 ②地 天气 持续 晴朗,time PU NN LC loc NN VV VV,,时间限定_0（由08时到20时）实体信息陈述_1（②地，天气，持续晴朗）,时间限定_0（由08时到20时）实体信息陈述_1（②地，天气，持续晴朗）,0_0,0_0,时间限定 实体信息陈述,时间限定 实体信息陈述,0 4,,由 08时到20时 ， 图 中 ②地 天气 持续 晴朗,由 08时 到 20时 ， 图 中 ②地 天气 持续 晴朗,time PU NN LC loc NN VV VV,( (IP (NP (NT 由08时到20时)) (PU ，) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NR ②地)) (NP (NN 天气))) (VP (VV 持续) (VP (VV 晴朗)))) )
7-C,由08时到20时，图中	低气压中心向东北方向移动并增强,None,0,,4,,由08时到20时 ， 图 中 低气压中心 向 东北 方向 移动 并 增强,由 08时 到 20时 ， 图 中 低 气压 中心 向 东北 方向 移动 并 增强,time PU NN LC term P NN NN VV CC VV,,时间限定_0（由08时到20时）趋势_1（低气压中心，#，向东北方向，移动并增强）,时间限定_0（由08时到20时）趋势_1（低气压中心，#，向东北方向，移动并增强）,0_0 1_5-8-10,0_0 1_5-8-10,时间限定 趋势,时间限定 趋势,0,,由 08时到20时 ， 图 中 低气压中心 向 东北方 向 移动 并 增强,由 08时 到 20时 ， 图 中 低气压中心 向 东北方 向 移动 并 增强,time PU NN LC term P NN NN NN CC VV,( (IP (NP (NT 由08时到20时)) (PU ，) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 低气压中心))) (VP (VP (PP (P 向) (NP (NN 东北) (NN 方向))) (VP (VV 移动))) (CC 并) (VP (VV 增强)))) )
7-D,由08时到20时，图中	气旋中心附近暖锋移动快于冷锋,None,0,,4 6,,由08时到20时 ， 图 中 气旋中心 附近 暖锋 移动 快于 冷锋,由 08时 到 20时 ， 图 中 气旋 中心 附近 暖锋 移动 快于 冷锋,time PU NN LC term NN term NN VV NN,,时间限定_0（由08时到20时）比较_1（气旋中心附近暖锋，冷锋，移动，快）,时间限定_0（由08时到20时）比较_1（气旋中心附近暖锋，冷锋，移动，快）,0_0 1_8,0_0 1_8,时间限定 比较,时间限定 比较,0,,由 08时到20时 ， 图 中 气旋中心 附近 暖锋 移动 快于 冷锋,由 08时 到 20时 ， 图 中 气旋中心 附近 暖锋 移动 快于 冷锋,time PU NN LC term NN term VV VV NN,( (IP (NP (NT 由08时到20时)) (PU ，) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 气旋中心) (NN 附近)) (NP (NN 暖锋) (NN 移动))) (VP (VV 快于) (NP (NN 冷锋)))) )
8-A,乍得湖流域	河流径流量的季节变化小,None,,0,2,,乍得湖 流域 河流径流量 的 季节 变化 小,乍得湖 流域 河流 径流量 的 季节 变化 小,loc NN term DEG NN NN VA,,实体信息陈述_0（乍得湖流域河流径流量，季节变化，小）,实体信息陈述_0（乍得湖流域河流径流量，季节变化，小）,,,实体信息陈述,实体信息陈述,,,乍得湖 流域 河流 径流量 的 季节 变化 小,乍得湖 流域 河流 径流量 的 季节 变化 小,loc NN term DEG NN NN VA,( (IP (NP (DNP (NP (NP (NR 乍得湖) (NN 流域)) (NP (NN 河流径流量))) (DEG 的)) (NP (NN 季节) (NN 变化))) (VP (VA 小))) )
8-B,乍得湖流域	河水主要来源于冰雪融水,None,,0,,,乍得湖 流域 河水 主要 来源于 冰雪 融水,乍得湖 流域 河水 主要 来源于 冰雪 融水,loc NN NN AD VV NN NN,,实体信息陈述_0（乍得湖流域河水，主要来源，冰雪融水）,实体信息陈述_0（乍得湖流域河水，主要来源，冰雪融水）,,,实体信息陈述,实体信息陈述,,,乍得湖 流域 河水 主要 来源于 冰雪 融水,乍得湖 流域 河水 主要 来源于 冰雪融水,loc NN NN AD VV NN NN,( (IP (NP (NR 乍得湖) (NN 流域)) (NP (NN 河水)) (VP (ADVP (AD 主要)) (VP (VV 来源于) (NP (NN 冰雪) (NN 融水))))) )
8-C,乍得湖流域	地表径流参与海陆间水循环,None,,0,2 4,,乍得湖 流域 地表径流 参与 海陆间水循环,乍得湖 流域 地表 径流 参与 海陆 间 水循环,loc NN term VV term,,实体信息陈述_0（乍得湖流域地表径流，参与，海陆间水循环）,实体信息陈述_0（乍得湖流域地表径流，参与，海陆间水循环）,,,实体信息陈述,实体信息陈述,,,乍得湖 流域 地表径流 参与 海陆间水循环,乍得湖 流域 地表径流 参与 海陆间水循环,loc NN term VV term,( (IP (NP (NP (NR 乍得湖) (NN 流域)) (NP (NN 地表径流))) (VP (VV 参与) (NP (NN 海陆间水循环)))) )
8-D,乍得湖流域	水面蒸发参与陆地内水循环,None,,0,5,,乍得湖 流域 水面 蒸发 参与 陆地内水循环,乍得湖 流域 水面 蒸发 参与 陆地 内 水循环,loc NN NN NN VV term,,实体信息陈述_0（乍得湖流域水面蒸发，参与，陆地内水循环）,实体信息陈述_0（乍得湖流域水面蒸发，参与，陆地内水循环）,,,实体信息陈述,实体信息陈述,,,乍得湖 流域 水面 蒸发 参与 陆地 内 水循环,乍得湖 流域 水面 蒸发 参与 陆地 内 水循环,loc NN NN VV VV term,( (IP (NP (NP (NR 乍得湖) (NN 流域)) (NP (NN 水面) (NN 蒸发))) (VP (VV 参与) (NP (NN 陆地内水循环)))) )
9-A,根据图中信息可以判断	流域面积缩小,None,,,,,根据 图 中 信息 可以 判断 流域 面积 缩小,根据 图 中 信息 可以 判断 流域 面积 缩小,P NN LC NN VV VV NN NN VV,,趋势_0（流域，面积，#，缩小）,趋势_0（流域，面积，#，缩小）,0_8,0_8,趋势,趋势,,,根据 图 中 信息 可以 判断 流域 面积 缩小,根据 图 中 信息 可以 判断 流域 面积 缩小,P NN LC NN VV VV NN NN VV,( (IP (VP (PP (P 根据) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息)))) (VP (VV 可以) (VP (VV 判断) (IP (NP (NN 流域) (NN 面积)) (VP (VV 缩小))))))) )
9-B,根据图中信息可以判断	湖泊水位总体下降,None,,,,,根据 图 中 信息 可以 判断 湖泊 水位 总体 下降,根据 图 中 信息 可以 判断 湖泊 水位 总体 下降,P NN LC NN VV VV NN NN NN VV,,趋势_0（湖泊，水位，#，下降）,趋势_0（湖泊，水位，#，下降）,0_9,0_9,趋势,趋势,,,根据 图 中 信息 可以 判断 湖泊 水位 总体 下降,根据 图 中 信息 可以 判断 湖泊 水位 总体 下降,P NN LC NN VV VV NN NN NN VV,( (IP (VP (PP (P 根据) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息)))) (VP (VV 可以) (VP (VV 判断) (IP (NP (NN 湖泊) (NN 水位)) (VP (NP (NN 总体)) (VP (VV 下降)))))))) )
9-C,根据图中信息可以判断	流域主体位于热带荒漠,None,,,9,,根据 图 中 信息 可以 判断 流域 主体 位于 热带荒漠,根据 图 中 信息 可以 判断 流域 主体 位于 热带 荒漠,P NN LC NN VV VV NN NN VV term,,位于_0（流域主体，热带荒漠）,位于_0（流域主体，热带荒漠）,0_8,0_8,位于,位于,,9,根据 图 中 信息 可以 判断 流域 主体 位于 热带荒漠,根据 图 中 信息 可以 判断 流域 主体 位于 热带荒漠,P NN LC NN VV VV NN NN VV term,( (IP (VP (PP (P 根据) (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息)))) (VP (VV 可以) (VP (VV 判断) (IP (NP (NN 流域) (NN 主体)) (VP (VV 位于) (NP (NN 热带荒漠)))))))) )
9-D,根据图中信息可以判断	1963年时湖底东南高，西北低,n,6,,,,根据 图 中 信息 可以 判断 1963年 时 湖底 东南 高 ， 西北 低,根据 图 中 信息 可以 判断 1963年 时 湖底 东南 高 ， 西北 低,P NN LC NN VV VV time LC NN NN VA PU NN VA,,时间限定_0（1963年）实体信息陈述_1（湖底，东南，高）实体信息陈述_2（湖底，西北，低）,时间限定_0（1963年）实体信息陈述_1（湖底，东南，高）实体信息陈述_2（湖底，西北，低）,0_6-7,0_6-7,时间限定 实体信息陈述 实体信息陈述,时间限定 实体信息陈述 实体信息陈述,6,,根据 图 中 信息 可以 判断 1963年时 湖底 东南 高 ， 西北 低,根据 图 中 信息 可以 判断 1963年时 湖底 东南 高 ， 西北 低,P NN LC NN VV VV time LC NN NN VA PU NN VA,( (IP (IP (PP (P 根据) (LCP (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 可以) (VP (VV 判断) (NP (NT 1963年))))) (LC 时))) (NP (NN 湖底) (NN 东南)) (VP (VA 高))) (PU ，) (IP (NP (NN 西北)) (VP (VA 低)))) )
10-A,该城区地表温度的	高低变化与地表起伏呈正相关,None,,,,,该 城区 地表 温度 的 高低 变化 与 地表 起伏 呈 正 相关,该 城区 地表 温度 的 高低 变化 与 地表 起伏 呈 正 相关,DT NN NN NN DEG JJ NN CC NN NN VV AD VA,,影响_0（地表起伏，该城区地表温度的高低变化，正相关）,影响_0（地表起伏，该城区地表温度的高低变化，正相关）,0_11-12,0_11-12,影响,影响,,,该 城区 地表 温度 的 高低 变化 与 地表 起伏 呈正 相关,该 城区 地表 温度 的 高低 变化 与 地表 起伏 呈正 相关,DT NN NN NN DEG JJ NN CC NN VV VV AD JJ,( (IP (NP (DP (DT 该)) (NP (NN 城区))) (NP (DNP (NP (NN 地表) (NN 温度)) (DEG 的)) (NP (NP (ADJP (JJ 高低)) (NP (NN 变化))) (CC 与) (NP (NN 地表) (NN 起伏)))) (VP (VV 呈) (IP (VP (ADVP (AD 正)) (VP (VA 相关)))))) )
10-B,该城区地表温度的	高值区变化是气候变暖的结果,None,,,,,该 城区 地表 温度 的 高值区 变化 是 气候 变暖 的 结果,该 城区 地表 温度 的 高值区 变化 是 气候 变暖 的 结果,DT NN NN NN DEG NN NN VC NN VA DEC NN,,因果_0（气候变暖，该城区地表温度的 高值区变化）,因果_0（气候变暖，该城区地表温度的 高值区变化）,0_11,0_11,因果,因果,,,该 城区 地表 温度 的 高值区 变化 是 气候 变暖 的 结果,该 城区 地表 温度 的 高值区 变化 是 气候 变暖 的 结果,DT NN NN NN DEG NN NN VC NN VV DEC NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 城区))) (DNP (NP (NN 地表) (NN 温度)) (DEG 的)) (NP (NN 高值区) (NN 变化))) (VP (VC 是) (NP (CP (IP (NP (NN 气候)) (VP (VA 变暖))) (DEC 的)) (NP (NN 结果))))) )
10-C,该城区地表温度的	低值区是河流或绿地影响的结果,None,,,,,该 城区 地表 温度 的 低值区 是 河流 或 绿地 影响 的 结果,该 城区 地表 温度 的 低值区 是 河流 或 绿地 影响 的 结果,DT NN NN NN DEG NN VC NN CC NN NN DEG NN,,影响_0（河流或绿地，该城区地表温度的低值区）,影响_0（河流或绿地，该城区地表温度的低值区）,0_10-12,0_10-12,影响,影响,,,该 城区 地表 温度 的 低值区 是 河流 或 绿地 影响 的 结果,该 城区 地表 温度 的 低值区 是 河流 或 绿地 影响 的 结果,DT NN NN NN DEG NN VC NN CC NN NN DEC NN,( (IP (NP (NP (DP (DT 该)) (NP (NN 城区))) (DNP (NP (NN 地表) (NN 温度)) (DEG 的)) (NP (NN 低值区))) (VP (VC 是) (NP (DNP (NP (NN 河流) (CC 或) (NN 绿地) (NN 影响)) (DEG 的)) (NP (NN 结果))))) )
10-D,该城区地表温度的	差异可导致地面风从城区吹向郊区,None,,,,,该 城区 地表 温度 的 差异 可 导致 地面 风 从 城区 吹向 郊区,该 城区 地表 温度 的 差异 可 导致 地面 风 从 城区 吹向 郊区,DT NN NN NN DEG NN VV VV NN NN P NN VV NN,,因果_0（该城区地表温度的差异，地面风从城区吹向郊区）,因果_0（该城区地表温度的差异，地面风从城区吹向郊区）,0_6-7,0_6-7,因果,因果,,,该 城区 地表 温度 的 差异 可 导致 地面 风 从 城区 吹向 郊区,该 城区 地表 温度 的 差异 可 导致 地面 风 从 城区 吹向 郊区,DT NN NN NN DEG NN VV VV NN NN P NN VV NN,( (IP (NP (DP (DT 该)) (NP (NN 城区))) (NP (DNP (NP (NN 地表) (NN 温度)) (DEG 的)) (NP (NN 差异))) (VP (VV 可) (VP (VV 导致) (IP (NP (NN 地面) (NN 风)) (VP (PP (P 从) (NP (NN 城区))) (VP (VV 吹向) (NP (NN 郊区)))))))) )
11-A,据图可以推断，从1982年到2004年该城区	建筑物占地面积增加,None,5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 建筑物 占地 面积 增加,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 建筑物 占地 面积 增加,P NN VV VV PU time DT NN NN NN NN VV,,时间限定_0（从1982年到2004年）趋势_1（该城区，建筑物占地面积，#，增加）,时间限定_0（从1982年到2004年）趋势_1（该城区，建筑物占地面积，#，增加）,0_5 1_11,0_5 1_11,时间限定 趋势,时间限定 趋势,4,,据图 可以 推断 ， 从 1982年到2004年 该 城区 建筑物 占地 面积 增加,据图 可以 推断 ， 从 1982年 到 2004年 该 城区 建筑物 占地 面积 增加,AD VV VV PU time DT NN NN VV NN VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可以) (VP (VV 推断))))) (PU ，) (NP (NT 从1982年到2004年)) (NP (NP (DP (DT 该)) (NP (NN 城区))) (NP (NN 建筑物))) (NP (NN 占地) (NN 面积)) (VP (VV 增加))) )
11-B,据图可以推断，从1982年到2004年该城区	南北部道路密度差异加大,None,5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 南北部 道路 密度 差异 加大,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 南北部 道路 密度 差异 加大,P NN VV VV PU time DT NN NN NN NN NN VV,,时间限定_0（从1982年到2004年）趋势_1（该城区，南北部道路密度差异，#，加大）,时间限定_0（从1982年到2004年）趋势_1（该城区，南北部道路密度差异，#，加大）,0_5 1_12,0_5 1_12,时间限定 趋势,时间限定 趋势,4,,据图 可以 推断 ， 从 1982年到2004年 该 城区 南北部 道路 密度 差异 加大,据图 可以 推断 ， 从 1982年 到 2004年 该 城区 南北部 道路 密度 差异 加大,AD VV VV PU time DT NN NN NN NN NN VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可以) (VP (VV 推断))))) (PU ，) (NP (NT 从1982年到2004年)) (NP (NP (DP (DT 该)) (NP (NN 城区) (NN 南北部) (NN 道路) (NN 密度))) (NP (NN 差异))) (VP (VV 加大))) )
11-C,据图可以推断，从1982年到2004年该城区	商业区向城区中心集中,None,5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 商业区 向 城区 中心 集中,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 商业区 向 城区 中心 集中,P NN VV VV PU time DT NN NN P NN NN VV,,时间限定_0（从1982年到2004年）趋势_1（该城区，商业区，向城区中心，集中）,时间限定_0（从1982年到2004年）趋势_1（该城区，商业区，向城区中心，集中）,0_5 1_12,0_5 1_12,时间限定 趋势,时间限定 趋势,4,,据图 可以 推断 ， 从 1982年到2004年 该 城区 商业区 向 城区 中心 集中,据图 可以 推断 ， 从 1982年 到 2004年 该 城区 商业区 向 城区 中心 集中,AD VV VV PU time DT NN NN P NN NN VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可以) (VP (VV 推断))))) (PU ，) (NP (NT 从1982年到2004年)) (NP (NP (DP (DT 该)) (NP (NN 城区))) (NP (NN 商业区))) (VP (PP (P 向) (NP (NN 城区) (NN 中心))) (VP (VV 集中)))) )
11-D,据图可以推断，从1982年到2004年该城区	空间形态没有发生变化,None,5,,,,据 图 可以 推断 ， 从1982年到2004年 该 城区 空间 形态 没有 发生 变化,据 图 可以 推断 ， 从 1982年 到 2004年 该 城区 空间 形态 没有 发生 变化,P NN VV VV PU time DT NN NN NN VE VV NN,,时间限定_0（从1982年到2004年）实体信息陈述_1（该城区，空间形态，没有发生变化）,时间限定_0（从1982年到2004年）实体信息陈述_1（该城区，空间形态，没有发生变化）,0_5,0_5,时间限定 实体信息陈述,时间限定 实体信息陈述,4,,据图 可以 推断 ， 从 1982年到2004年 该 城区 空间 形态 没有 发生 变化,据图 可以 推断 ， 从 1982年 到 2004年 该 城区 空间 形态 没有 发生 变化,AD VV VV PU time DT NN NN NN VE VV NN,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可以) (VP (VV 推断))))) (PU ，) (NP (NT 从1982年到2004年)) (NP (DP (DT 该)) (NP (NN 城区) (NN 空间) (NN 形态))) (VP (VE 没有) (IP (VP (VV 发生) (NP (NN 变化)))))) )
