编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	到达了河外星系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河外星系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外 星系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 到达) (AS 了) (NP (NN 河外星系))))) )
12-B-0,年太阳总辐射量③地小于①地的主要原因是	地势高,ed-ori,,1 3,0,,年太阳总辐射量 ③地 小于 ①地 的 主要 原因 是 地势 高,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 地势 高,term loc VV loc DEG JJ NN VC NN VA,,因果_0（地势高，年太阳总辐射量③地小于①地）,因果_0（地势高，比较_1（③地，①地，年太阳总辐射量，小））,0_6-7,0_6-7 1_2,因果,因果 比较,1 3,,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 地势 高,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 地势 高,term loc VV loc DEG JJ NN VC NN VA,( (IP (NP (NP (NN 年太阳总辐射量)) (NP (NR ③地))) (VP (VV 小于) (IP (NP (DNP (NP (NR ①地)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 地势)) (VP (VA 高))))))) )
12-B-1,年太阳总辐射量③地小于①地的主要原因是	空气稀薄,ed-ori,,1 3,0,,年太阳总辐射量 ③地 小于 ①地 的 主要 原因 是 空气 稀薄,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 空气 稀薄,term loc VV loc DEG JJ NN VC NN VA,,因果_0（空气稀薄，年太阳总辐射量③地小于①地）,因果_0（空气稀薄，比较_1（③地，①地，年太阳总辐射量，小））,0_6-7,0_6-7 1_2,因果,因果 比较,1 3,,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 空气 稀薄,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 空气 稀薄,term loc VV loc DEG JJ NN VC NN VA,( (IP (NP (NP (NN 年太阳总辐射量)) (NP (NR ③地))) (VP (VV 小于) (IP (NP (DNP (NP (NR ①地)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 空气)) (VP (VA 稀薄))))))) )
12-C,年太阳总辐射量③地小于①地的主要原因是	纬度高，太阳高度小,y,,1 3,0 8 11,,年太阳总辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高 ， 太阳高度 小,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高 ， 太阳 高度 小,term loc VV loc DEG JJ NN VC term VA PU term VA,,因果_0（纬度高，年太阳总辐射量③地小于①地）因果_1（太阳高度小，年太阳总辐射量③地小于①地）,因果_0（纬度高，比较_1（③地，①地，年太阳总辐射量，小））因果_2（太阳高度小，比较_3（③地，①地，年太阳总辐射量，小））,0_6-7 1_6-7,0_6-7 1_2 2_6-7 3_2,因果,因果 比较,1 3,,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高 ， 太阳 高度 小,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高 ， 太阳 高度 小,term loc VV loc DEG JJ NN VC term VA PU term JJ,( (IP (NP (NP (NN 年太阳总辐射量)) (NP (NR ③地))) (VP (VV 小于) (IP (NP (DNP (NP (NR ①地)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 纬度)) (VP (VA 高))) (PU ，) (IP (NP (NN 太阳高度)) (VP (VA 小)))))))) )
12-C-0,年太阳总辐射量③地小于①地的主要原因是	纬度高,ed-ori,,1 3,0 8,,年太阳总辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高,term loc VV loc DEG JJ NN VC term VA,,因果_0（纬度高，年太阳总辐射量③地小于①地）,因果_0（纬度高，比较_1（③地，①地，年太阳总辐射量，小））,0_6-7,0_6-7 1_2,因果,因果 比较,1 3,,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 纬度 高,term loc VV loc DEG JJ NN VC term VA,( (IP (NP (NP (NN 年太阳总辐射量)) (NP (NR ③地))) (VP (VV 小于) (IP (NP (DNP (NP (NR ①地)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 纬度)) (VP (VA 高))))))) )
12-C-1,年太阳总辐射量③地小于①地的主要原因是	太阳高度小,ed-ori,,1 3,0 8,,年太阳总辐射量 ③地 小于 ①地 的 主要 原因 是 太阳高度 小,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 太阳 高度 小,term loc VV loc DEG JJ NN VC term VA,,因果_0（太阳高度小，年太阳总辐射量③地小于①地）,因果_0（太阳高度小，比较_1（③地，①地，年太阳总辐射量，小））,0_6-7,0_6-7 1_2,因果,因果 比较,1 3,,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 太阳 高度 小,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 太阳 高度 小,term loc VV loc DEG JJ NN VC term VA,( (IP (NP (NP (NN 年太阳总辐射量)) (NP (NR ③地))) (VP (VV 小于) (IP (NP (DNP (NP (NR ①地)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 太阳高度)) (VP (VA 小))))))) )
12-D,年太阳总辐射量③地小于①地的主要原因是	受副热带高气压控制,None,,1 3,0 9,,年太阳总辐射量 ③地 小于 ①地 的 主要 原因 是 受 副热带高气压 控制,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 受 副 热带 高 气压 控制,term loc VV loc DEG JJ NN VC VV term VV,,因果_0（受副热带高气压控制，年太阳总辐射量③地小于①地）,因果_0（受副热带高气压控制，比较_1（③地，①地，年太阳总辐射量，小））,0_6-7,0_6-7 1_2,因果,因果 比较,1 3,,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 受 副热带高气压 控制,年 太阳 总 辐射量 ③地 小于 ①地 的 主要 原因 是 受 副热带高气压 控制,term loc VV loc DEG JJ NN VC VV term VV,( (IP (NP (NP (NN 年太阳总辐射量)) (NP (NR ③地))) (VP (VV 小于) (IP (NP (DNP (NP (NR ①地)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 受) (IP (NP (NN 副热带高气压)) (VP (VV 控制)))))))) )
13-A,M地的气温最可能是	3.4℃,None,,0,,6,M地 的 气温 最 可能 是 3.4℃,M地 的 气温 最 可能 是 3.4 ℃,loc DEG NN AD VV VC num,,实体信息陈述_0（M地的气温，最可能是，3.4℃）,实体信息陈述_0（M地的气温，最可能是，3.4℃）,,,实体信息陈述,实体信息陈述,,,M地 的 气温 最 可能 是 3.4 ℃,M地 的 气温 最 可能 是 3.4 ℃,loc DEG NN AD VV VC num,( (IP (NP (DNP (NP (NR M地)) (DEG 的)) (NP (NN 气温))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (QP (CD 3.4℃)))))) )
13-B,M地的气温最可能是	4.6℃,None,,0,,6,M地 的 气温 最 可能 是 4.6℃,M地 的 气温 最 可能 是 4.6 ℃,loc DEG NN AD VV VC num,,实体信息陈述_0（M地的气温，最可能是，4.6℃）,实体信息陈述_0（M地的气温，最可能是，4.6℃）,,,实体信息陈述,实体信息陈述,,,M地 的 气温 最 可能 是 4.6 ℃,M地 的 气温 最 可能 是 4.6 ℃,loc DEG NN AD VV VC num,( (IP (NP (DNP (NP (NR M地)) (DEG 的)) (NP (NN 气温))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (QP (CD 4.6℃)))))) )
13-C,M地的气温最可能是	5.3℃,None,,0,,6,M地 的 气温 最 可能 是 5.3℃,M地 的 气温 最 可能 是 5.3 ℃,loc DEG NN AD VV VC num,,实体信息陈述_0（M地的气温，最可能是，5.3℃）,实体信息陈述_0（M地的气温，最可能是，5.3℃）,,,实体信息陈述,实体信息陈述,,,M地 的 气温 最 可能 是 5.3 ℃,M地 的 气温 最 可能 是 5.3 ℃,loc DEG NN AD VV VC num,( (IP (NP (DNP (NP (NR M地)) (DEG 的)) (NP (NN 气温))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (QP (CD 5.3℃)))))) )
13-D,M地的气温最可能是	6.2℃,None,,0,,6,M地 的 气温 最 可能 是 6.2℃,M地 的 气温 最 可能 是 6.2 ℃,loc DEG NN AD VV VC num,,实体信息陈述_0（M地的气温，最可能是，6.2℃）,实体信息陈述_0（M地的气温，最可能是，6.2℃）,,,实体信息陈述,实体信息陈述,,,M地 的 气温 最 可能 是 6.2 ℃,M地 的 气温 最 可能 是 6.2 ℃,loc DEG NN AD VV VC num,( (IP (NP (DNP (NP (NR M地)) (DEG 的)) (NP (NN 气温))) (VP (ADVP (AD 最)) (VP (VV 可能) (VP (VC 是) (QP (CD 6.2℃)))))) )
14-A,图中表示上海市区与N地之间的环流形式正确的是	【图片】,None,,3,8,,图 中 表示 上海市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海 市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV NN CC NN LC DEG NN NN VA DEC VC PU NN PU,,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,,,实体信息陈述,实体信息陈述,,3,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV NN CC NN LC DEG NN NN VA DEC VC PU NN PU,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (CP (IP (NP (DNP (LCP (NP (NN 上海市区) (CC 与) (NN N地)) (LC 之间)) (DEG 的)) (NP (NN 环流) (NN 形式))) (VP (VA 正确))) (DEC 的))) (VP (VC 是)))) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
14-B,图中表示上海市区与N地之间的环流形式正确的是	【图片】,None,,3,8,,图 中 表示 上海市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海 市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV NN CC NN LC DEG NN NN VA DEC VC PU NN PU,,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,,,实体信息陈述,实体信息陈述,,3,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV NN CC NN LC DEG NN NN VA DEC VC PU NN PU,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (CP (IP (NP (DNP (LCP (NP (NN 上海市区) (CC 与) (NN N地)) (LC 之间)) (DEG 的)) (NP (NN 环流) (NN 形式))) (VP (VA 正确))) (DEC 的))) (VP (VC 是)))) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
14-C,图中表示上海市区与N地之间的环流形式正确的是	【图片】,None,,3 4,8,,图 中 表示 上海市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海 市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV loc loc NN LC DEG term NN VA DEC VC PU NN PU,,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,,,实体信息陈述,实体信息陈述,,3,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV loc loc NN LC DEG term NN VA DEC VC PU NN PU,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (CP (IP (NP (DNP (LCP (NP (NR 上海市区) (NR 与) (NN N地)) (LC 之间)) (DEG 的)) (NP (NN 环流) (NN 形式))) (VP (VA 正确))) (DEC 的))) (VP (VC 是)))) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
14-D,图中表示上海市区与N地之间的环流形式正确的是	【图片】,None,,3,8,,图 中 表示 上海市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海 市区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV NN CC NN LC DEG NN NN VA DEC VC PU NN PU,,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,实体信息陈述_0（【图片】，表示，上海市区与N地之间的环流形式）,,,实体信息陈述,实体信息陈述,,3,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,图 中 表示 上海市 区 与 N地 之间 的 环流 形式 正确 的 是 【 图片 】,NN LC VV NN CC NN LC DEG NN NN VA DEC VC PU NN PU,( (IP (LCP (NP (NN 图)) (LC 中)) (VP (VV 表示) (IP (NP (CP (IP (NP (DNP (LCP (NP (NN 上海市区) (CC 与) (NN N地)) (LC 之间)) (DEG 的)) (NP (NN 环流) (NN 形式))) (VP (VA 正确))) (DEC 的))) (VP (VC 是)))) (PRN (PU 【) (NP (NN 图片)) (PU 】))) )
15-A,印度尼西亚发生火山、地震的主要原因是	位于印度洋板块与亚欧板块交界处，地壳活动频繁,y,,0,2 4 10 12 15,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 亚欧板块 交界处 ， 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋 板块 与 亚欧 板块 交界处 ， 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC VV term CC term NN PU term NN VA,,因果_0（位于印度洋板块与亚欧板块交界处，印度尼西亚发生火山、地震）因果_1（地壳活动频繁，印度尼西亚发生火山、地震）,因果_0（位于_1（印度尼西亚，位于印度洋板块与亚欧板块交界处），印度尼西亚发生火山、地震）因果_2（地壳活动频繁，印度尼西亚发生火山、地震）,0_7-8 1_7-8,0_7-8 1_9 2_7-8,因果,因果 位于,,0 10,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 亚欧板块 交界处 ， 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 亚欧板块 交界处 ， 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC VV term CC term NN PU term NN VA,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (IP (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (NP (NN 印度洋板块) (CC 与) (NN 亚欧板块)) (NP (NN 交界处)))))) (PU ，) (IP (NP (NN 地壳)) (NP (NN 活动)) (VP (VA 频繁)))) )
15-A-0,印度尼西亚发生火山、地震的主要原因是	位于印度洋板块与亚欧板块交界处,ed-ori,,0,2 4 10 12,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 亚欧板块 交界处,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋 板块 与 亚欧 板块 交界处,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN,,因果_0（位于印度洋板块与亚欧板块交界处，印度尼西亚发生火山、地震）,因果_0（位于_1（印度尼西亚，位于印度洋板块与亚欧板块交界处），印度尼西亚发生火山、地震）,0_7-8,0_7-8 1_9,因果,因果 位于,,0 10,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 亚欧板块 交界 处,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 亚欧板块 交界 处,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (IP (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (NP (NR 印度洋板块) (CC 与) (NR 亚欧板块)) (NP (NN 交界处))))))) )
15-A-1,印度尼西亚发生火山、地震的主要原因是	地壳活动频繁,ed-ori,,0,2 4 9,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC term NN VA,,因果_0（地壳活动频繁，印度尼西亚发生火山、地震）,因果_0（地壳活动频繁，印度尼西亚发生火山、地震）,0_7-8,0_7-8,因果,因果,,0,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC term NN VA,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 地壳)) (NP (NN 活动)) (VP (VA 频繁))))) )
15-B,印度尼西亚发生火山、地震的主要原因是	位于太平洋板块与亚欧板块交界处，地壳活动频繁,y,,0,2 4 10 12 15,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋板块 与 亚欧板块 交界处 ， 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋 板块 与 亚欧 板块 交界处 ， 地壳 活动 频繁,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN PU NN NN VA,,因果_0（位于太平洋板块与亚欧板块交界处，印度尼西亚发生火山、地震）因果_1（地壳活动频繁，印度尼西亚发生火山、地震）,因果_0（位于_1（印度尼西亚，位于太平洋板块与亚欧板块交界处），印度尼西亚发生火山、地震）因果_2（地壳活动频繁，印度尼西亚发生火山、地震）,0_7-8 1_7-8,0_7-8 1_9 2_7-8,因果,因果 位于,,0 10,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋板块 与 亚欧板块 交界处 ， 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋板块 与 亚欧板块 交界处 ， 地壳 活动 频繁,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN PU NN NN VA,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (IP (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (NP (NR 太平洋板块) (CC 与) (NR 亚欧板块)) (NP (NN 交界处)))))) (PU ，) (IP (NP (NN 地壳)) (NP (NN 活动)) (VP (VA 频繁)))) )
15-B-0,印度尼西亚发生火山、地震的主要原因是	位于太平洋板块与亚欧板块交界处,ed-ori,,0,2 4 10 12,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋板块 与 亚欧板块 交界处,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋 板块 与 亚欧 板块 交界处,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN,,因果_0（位于太平洋板块与亚欧板块交界处，印度尼西亚发生火山、地震）,因果_0（位于_1（印度尼西亚，位于太平洋板块与亚欧板块交界处），印度尼西亚发生火山、地震）,0_7-8,0_7-8 1_9,因果,因果 位于,,0 10,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋板块 与 亚欧板块 交界 处,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 太平洋板块 与 亚欧板块 交界 处,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (IP (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (NP (NR 太平洋板块) (CC 与) (NR 亚欧板块)) (NP (NN 交界处))))))) )
15-B-1,印度尼西亚发生火山、地震的主要原因是	地壳活动频繁,ed-ori,,0,2 4 9,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC term NN VA,,因果_0（地壳活动频繁，印度尼西亚发生火山、地震）,因果_0（地壳活动频繁，印度尼西亚发生火山、地震）,0_7-8,0_7-8,因果,因果,,0,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC term NN VA,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 地壳)) (NP (NN 活动)) (VP (VA 频繁))))) )
15-C,印度尼西亚发生火山、地震的主要原因是	位于印度洋板块与太平洋板块交界处，地壳活动频繁,y,,0,2 4 10 12 15,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 太平洋板块 交界处 ， 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋 板块 与 太平洋 板块 交界处 ， 地壳 活动 频繁,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN PU NN NN VA,,因果_0（位于印度洋板块与太平洋板块交界处，印度尼西亚发生火山、地震）因果_1（地壳活动频繁，印度尼西亚发生火山、地震）,因果_0（位于_1（印度尼西亚，位于印度洋板块与太平洋板块交界处），印度尼西亚发生火山、地震）因果_2（地壳活动频繁，印度尼西亚发生火山、地震）,0_6-7 1_6-7,0_6-7 1_9 2_6-7,因果,因果 位于,,0 10,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 太平洋板块 交界处 ， 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 太平洋板块 交界处 ， 地壳 活动 频繁,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN PU NN NN VA,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (IP (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (NP (NR 印度洋板块) (CC 与) (NR 太平洋板块)) (NP (NN 交界处)))))) (PU ，) (IP (NP (NN 地壳)) (NP (NN 活动)) (VP (VA 频繁)))) )
15-C-0,印度尼西亚发生火山、地震的主要原因是	位于印度洋板块与太平洋板块交界处,ed-ori,,0,2 4 10 12,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 太平洋板块 交界处,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋 板块 与 太平洋 板块 交界处,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN,,因果_0（位于印度洋板块与太平洋板块交界处，印度尼西亚发生火山、地震）,因果_0（位于_1（印度尼西亚，位于印度洋板块与太平洋板块交界处），印度尼西亚发生火山、地震）,0_6-7,0_6-7 1_9,因果,因果 位于,,0 10,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 太平洋板块 交界 处,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 位于 印度洋板块 与 太平洋板块 交界 处,NR VV NN PU NN DEG JJ NN VC VV NR CC NR NN,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (IP (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (VP (VV 位于) (NP (NP (NR 印度洋板块) (CC 与) (NR 太平洋板块)) (NP (NN 交界处))))))) )
15-C-1,印度尼西亚发生火山、地震的主要原因是	地壳活动频繁,ed-ori,,0,2 4 9,,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC term NN VA,,因果_0（地壳活动频繁，印度尼西亚发生火山、地震）,因果_0（地壳活动频繁，印度尼西亚发生火山、地震）,0_6-7,0_6-7,因果,因果,,0,印度尼 西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,印度尼西亚 发生 火山 、 地震 的 主要 原因 是 地壳 活动 频繁,loc VV term PU term DEG JJ NN VC term NN VA,( (IP (IP (NP (NR 印度尼西亚)) (VP (VV 发生) (NP (NN 火山)))) (PU 、) (NP (DNP (NP (NN 地震)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 原因))) (VP (VC 是) (IP (NP (NN 地壳)) (NP (NN 活动)) (VP (VA 频繁))))) )
