编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,图1中	帕斯位于Q地的西北方向,None,,2 4,,,图1 中 帕斯 位于 Q地 的 西北 方向,图1 中 帕斯 位于 Q地 的 西北 方向,NN LC loc VV loc DEG NN NN,,,,,,,,,4,图1 中 帕斯 位于 Q地 的 西北方 向,图1 中 帕斯 位于 Q地 的 西北方 向,NN LC loc VV loc DEG NN NN,( (IP (NP (LCP (NP (NN 图1)) (LC 中)) (NP (NR 帕斯))) (VP (VV 位于) (NP (DNP (NP (NR Q地)) (DEG 的)) (NP (NN 西北) (NN 方向))))) )
8-③,为进一步提高城乡一体化发展水平，该地区还应	进一步改善农村生产生活条件中发展现代农业,None,20,,,,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业,P AD VV NN NN NN NN PU DT NN AD VV AD VV NN NN NN NN LC VV time NN,,,,,,,,20,,为 进一步 提 高城 乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 进一步 改善 农村 生产 生活 条件 中 发展 现代 农业,P AD VV NN NN NN NN PU DT NN AD VV AD VV NN VV NN NN LC VV time NN,( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (ADVP (AD 进一步)) (VP (VV 改善) (NP (IP (LCP (NP (NN 农村) (NN 生产) (NN 生活) (NN 条件)) (LC 中)) (VP (VV 发展) (NP (NT 现代)))) (NP (NN 农业)))))))) )
8-⑤,为进一步提高城乡一体化发展水平，该地区还应	利用广阔土地发展工业制造业,None,,,,,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造 业,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造 业,P AD VV NN NN NN NN PU DT NN AD VV VV JJ NN VV NN NN NN,,,,,,,,,,为 进一步 提 高城 乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造 业,为 进一步 提高 城乡 一体化 发展 水平 ， 该 地区 还 应 利用 广阔 土地 发展 工业 制造 业,P AD VV NN NN NN NN PU DT NN AD VV VV JJ NN NN NN NN NN,( (IP (PP (P 为) (IP (VP (ADVP (AD 进一步)) (VP (VV 提高) (NP (NN 城乡) (NN 一体化) (NN 发展) (NN 水平)))))) (PU ，) (NP (DP (DT 该)) (NP (NN 地区))) (VP (ADVP (AD 还)) (VP (VV 应) (VP (VP (VV 利用) (NP (ADJP (JJ 广阔)) (NP (NN 土地)))) (VP (VV 发展) (NP (NP (NN 工业) (NN 制造)) (NP (NN 业)))))))) )
9-A,图8中	地势南部高北部低，东部高西部低,y,,,,,图8 中 地势 南部 高 北部 低 ， 东部 高 西部 低,图8 中 地势 南部 高 北部 低 ， 东部 高 西部 低,NN LC NN NN VA NN VA PU NN VA NN VA,,,,,,,,,10,图8 中 地势 南部 高北部低 ， 东部 高 西部 低,图8 中 地势 南部 高北部低 ， 东部 高 西部 低,NN LC NN NN JJ NN VA PU NN JJ NN VA,( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (IP (IP (NP (NN 地势) (NN 南部)) (VP (VA 高))) (IP (NP (NN 北部)) (VP (VA 低))))) (PU ，) (IP (NP (NN 东部)) (VP (VA 高))) (IP (NP (NN 西部)) (VP (VA 低)))) )
9-A-0,图8中	地势南部高北部低,ed-ori,,,,,图8 中 地势 南部 高 北部 低,图8 中 地势 南部 高 北部 低,NN LC NN NN VA NN VA,,,,,,,,,,图8 中 地势 南部 高 北部 低,图8 中 地势 南部 高 北部 低,NN LC NN NN JJ NN VA,( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (NP (NN 地势) (NN 南部)) (VP (VA 高))) (NP (NN 北部)) (VP (VA 低))) )
9-A-1,图8中	地势东部高西部低,ed-mod,,,,,图8 中 地势 东部 高 西部 低,图8 中 地势 东部 高 西部 低,NN LC NN NN VA NN VA,,,,,,,,,5,图8 中 地势 东部 高 西部 低,图8 中 地势 东部 高 西部 低,NN LC NN NN JJ NN VA,( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (NP (NN 地势) (NN 东部)) (VP (VA 高))) (NP (NN 西部)) (VP (VA 低))) )
9-B,图8中	植被由常绿硬叶林逐渐过渡到落叶阔叶林,None,,,4 8,,图8 中 植被 由 常绿硬叶林 逐渐 过渡 到 落叶阔叶林,图8 中 植被 由 常绿 硬叶林 逐渐 过渡 到 落叶 阔叶林,NN LC NN P term AD VV VV term,,,,,,,,,,图8 中 植被 由 常绿硬叶林 逐渐 过渡 到 落叶阔叶林,图8 中 植被 由 常绿硬叶林 逐渐 过渡 到 落叶阔叶林,NN LC NN P term AD VV VV term,( (IP (NP (LCP (NP (NN 图8)) (LC 中)) (NP (NN 植被))) (VP (PP (P 由) (NP (NN 常绿硬叶林))) (ADVP (AD 逐渐)) (VP (VRD (VV 过渡) (VV 到)) (NP (NN 落叶阔叶林))))) )
9-C,图8中	甲地农业生产以季风水田农业为主,None,,2,6,,图8 中 甲地 农业 生产 以 季风水田农业 为 主,图8 中 甲地 农业 生产 以 季风 水田 农业 为 主,NN LC loc NN NN P term VV NN,,,,,,,,,,图8 中 甲地 农业 生产 以 季风水田农业 为 主,图8 中 甲地 农业 生产 以 季风水田农业 为 主,NN LC loc NN NN P term VV NN,( (IP (NP (LCP (NP (NN 图8)) (LC 中)) (NP (NR 甲地)) (NP (NN 农业) (NN 生产))) (VP (PP (P 以) (NP (NN 季风水田农业))) (VP (VV 为) (NP (NN 主))))) )
9-D,图8中	乙地承接自长三角转出产业的优势较明显,None,,2 5,,,图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显,图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显,NN LC loc VV P loc NN NN DEG NN AD VA,,,,,,,,,,图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显,图8 中 乙地 承接 自 长三角 转出 产业 的 优势 较 明显,NN LC loc VV P loc VV NN DEG NN AD VA,( (IP (IP (LCP (NP (NN 图8)) (LC 中)) (NP (NR 乙地)) (VP (VV 承接) (NP (DNP (PP (P 自) (NP (NP (NR 长三角) (NN 转出)) (NP (NN 产业)))) (DEG 的)) (NP (NN 优势))))) (VP (ADVP (AD 较)) (VP (VA 明显)))) )
10-①,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	工地面硬化，地表径流下渗困难,y,,,1 7 13 21,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化 ， 地表径流 下渗 困难,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 工地面 硬化 ， 地表 径流 下渗 困难,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV PU term VV VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有工 地面 硬化 ， 地表径流 下渗 困难,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有工 地面 硬化 ， 地表径流 下渗 困难,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV PU term VV NN,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 工地面)) (VP (VV 硬化)))))) (PU ，) (IP (NP (NN 地表径流)) (VP (VP (VV 下渗)) (VP (VA 困难))))) )
10-①-0,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	工地面硬化,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 工地面 硬化,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 工地面 硬化,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 工地 面硬化,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 工地 面硬化,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 工地面)) (VP (VV 硬化))))))) )
10-①-1,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	地表径流下渗困难,ed-ori,,,1 7 13 18,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 地表径流 下渗 困难,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 地表 径流 下渗 困难,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE term VV VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 地表径流 下渗 困难,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 地表径流 下渗 困难,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE term term NN,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 地表径流)) (VP (VV 下渗))))) (VP (VA 困难))))) )
10-②,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	城市“热岛效应”明显,None,,,1 7 13 20,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN PU term PU VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市 “ 热岛效应 ” 明显,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN PU term PU VA,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NP (NN 城市)) (NP (PU “) (NN 热岛效应) (PU ”))) (VP (VA 明显))))))) )
10-③,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	城市化挤占湖泊河道，调蓄洪峰能力下降,y,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV NN NN PU VV NN NN VV,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道 ， 调蓄 洪峰 能力 下降,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV NN NN PU VV NN NN VV,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (IP (NP (NN 城市化)) (VP (VV 挤占))) (NP (NN 湖泊) (NN 河道)))))) (PU ，) (IP (NP (IP (VP (VV 调蓄) (NP (NN 洪峰)))) (NP (NN 能力))) (VP (VV 下降))))) )
10-③-0,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	城市化挤占湖泊河道,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 城市化 挤占 湖泊 河道,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV NN NN,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 城市化 挤占 湖泊 河道,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV NN NN,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (IP (NP (NN 城市化)) (VP (VV 挤占))) (NP (NN 湖泊) (NN 河道))))))) )
10-③-1,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	调蓄洪峰能力下降,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 调蓄 洪峰 能力 下降,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 调蓄 洪峰 能力 下降,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE VV NN NN VV,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 调蓄 洪峰 能力 下降,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 调蓄 洪峰 能力 下降,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE VV NN NN VV,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (IP (VP (VV 调蓄) (NP (NN 洪峰)))) (NP (NN 能力))) (VP (VV 下降))))))) )
10-④,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	空气污染严重，凝结核充足,y,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VA PU NN VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重 ， 凝结核 充足,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VA PU NN VA,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (NN 空气))))) (IP (NP (NN 污染)) (VP (VA 严重)))) (PU ，) (NP (NN 凝结核)) (VP (VA 充足))) )
10-④-0,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	空气污染严重,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 空气 污染 严重,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 空气 污染 严重,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VA,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (NP (NN 空气))))) (IP (NP (NN 污染)) (VP (VA 严重))))) )
10-④-1,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	凝结核充足,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 凝结核 充足,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 凝结核 充足,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 凝结核 充足,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 凝结核 充足,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VA,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 凝结核)) (VP (VA 充足))))))) )
10-⑤,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	高大建筑物密集，风速减小，降水云系滞留,y,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE JJ NN VA PU NN VV PU NN NN VV,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集 ， 风速 减小 ， 降水 云系 滞留,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE JJ NN VA PU NN VV PU VV NN VV,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (ADJP (JJ 高大)) (NP (NN 建筑物))) (VP (VA 密集)))))) (PU ，) (IP (NP (NN 风速)) (VP (VV 减小))) (PU ，) (IP (NP (NN 降水) (NN 云系)) (VP (VV 滞留)))) )
10-⑤-0,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	高大建筑物密集,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 高大 建筑物 密集,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE JJ NN VA,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 高大 建筑物 密集,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE JJ NN VA,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (ADJP (JJ 高大)) (NP (NN 建筑物))) (VP (VA 密集))))))) )
10-⑤-1,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	风速减小,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 风速 减小,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 风速 减小,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 风速 减小,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 风速 减小,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN VV,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 风速)) (VP (VV 减小))))))) )
10-⑤-2,城市内涝的发生与城市“雨岛效应”密切相关。“雨岛效应”成因主要有	降水云系滞留,ed-ori,,,1 7 13,,城市 内涝 的 发生 与 城市 “ 雨岛效应 ” 密切 相关 。 “ 雨岛效应 ” 成因 主要 有 降水 云系 滞留,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 降水 云系 滞留,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VV,,,,,,,,,,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 降水 云系 滞留,城市 内涝 的 发生 与 城市 “ 雨岛 效应 ” 密切 相关 。 “ 雨岛 效应 ” 成因 主要 有 降水 云系 滞留,NN term DEG NN CC NN PU term PU AD VA PU PU term PU NN AD VE NN NN VV,( (IP (IP (NP (NP (DNP (NP (NN 城市) (NN 内涝)) (DEG 的)) (NP (NN 发生))) (CC 与) (NP (NP (NN 城市)) (NP (PU “) (NN 雨岛效应) (PU ”)))) (VP (ADVP (AD 密切)) (VP (VA 相关)))) (PU 。) (IP (NP (NP (PU “) (NN 雨岛效应) (PU ”)) (NP (NN 成因))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 降水) (NN 云系)) (VP (VV 滞留))))))) )
