编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
7-C,下述景区组合中，旅游资源多样性最丰富的是	老君山、鸡冠洞、龙峪湾、抱犊寨,None,,12 14 16 18,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 老君山 、 鸡冠洞 、 龙峪湾 、 抱犊寨,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 老君山 、 鸡冠洞 、 龙峪湾 、 抱犊寨,JJ NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,,最值_0（老君山、鸡冠洞、龙峪湾、抱犊寨，旅游资源多样性，丰富，#）,最值_0（集合_1（老君山，鸡冠洞，龙峪湾，抱犊寨），旅游资源多样性，丰富，#）,0_8,0_8 1_13-15-17,最值,最值 集合,,14 16,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 老 君山 、 鸡冠洞 、 龙峪湾 、 抱犊寨,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 老君山 、 鸡冠洞 、 龙峪湾 、 抱犊寨,VV NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,( (IP (LCP (NP (ADJP (JJ 下述)) (NP (NN 景区) (NN 组合))) (LC 中)) (PU ，) (NP (CP (IP (NP (NN 旅游) (NN 资源) (NN 多样性)) (VP (ADVP (AD 最)) (VP (VA 丰富)))) (DEC 的))) (VP (VC 是) (NP (NR 老君山) (PU 、) (NR 鸡冠洞) (PU 、) (NR 龙峪湾) (PU 、) (NR 抱犊寨)))) )
7-D,下述景区组合中，旅游资源多样性最丰富的是	八里沟、万仙山、秋沟、齐王寨,None,,12 14 16 18,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 八里沟 、 万仙山 、 秋沟 、 齐王寨,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 八里沟 、 万仙山 、 秋沟 、 齐王寨,JJ NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,,最值_0（八里沟、万仙山、秋沟、齐王寨，旅游资源多样性，丰富，#）,最值_0（集合_1（八里沟，万仙山，秋沟，齐王寨），旅游资源多样性，丰富，#）,0_8,0_8 1_13-15-17,最值,最值 集合,,,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 八里沟 、 万仙山 、 秋沟 、 齐王寨,下述 景区 组合 中 ， 旅游 资源 多样性 最 丰富 的 是 八里沟 、 万仙山 、 秋沟 、 齐王寨,VV NN NN LC PU NN NN NN AD VA DEC VC loc PU loc PU loc PU loc,( (IP (LCP (NP (ADJP (JJ 下述)) (NP (NN 景区) (NN 组合))) (LC 中)) (PU ，) (NP (CP (IP (NP (NN 旅游) (NN 资源) (NN 多样性)) (VP (ADVP (AD 最)) (VP (VA 丰富)))) (DEC 的))) (VP (VC 是) (NP (NR 八里沟) (PU 、) (NR 万仙山) (PU 、) (NR 秋沟) (PU 、) (NR 齐王寨)))) )
8-A,放假期间	时值我国立冬到小雪之间,None,0 3 5,,,,放假期间 时值 我国 立冬 到 小雪 之间,放假 期间 时值 我国 立冬 到 小雪 之间,time VV NN time CC time LC,,一般陈述_0（放假期间时值我国立冬到小雪之间）,一般陈述_0（放假期间时值我国立冬到小雪之间）,,,一般陈述,一般陈述,,,放假 期间 时值 我国 立冬 到 小雪 之间,放假 期间 时值 我国 立冬 到 小雪 之间,time NN NR time VV time LC,( (IP (NP (NT 放假期间)) (VP (VV 时值) (NP (NN 我国)) (LCP (NP (NT 立冬) (CC 到) (NT 小雪)) (LC 之间)))) )
8-B,放假期间	太阳直射点向赤道移动,None,0,,1,,放假期间 太阳直射点 向 赤道 移动,放假 期间 太阳 直射点 向 赤道 移动,time term P NN VV,,时间限定_0（放假期间）趋势_1（太阳直射点，#，向赤道，移动）,时间限定_0（放假期间）趋势_1（太阳直射点，#，向赤道，移动）,1_2,1_2,时间限定 趋势,时间限定 趋势,,,放假 期间 太阳直射点 向 赤道 移动,放假 期间 太阳直射点 向 赤道 移动,time term P NN VV,( (IP (NP (NT 放假期间) (NN 太阳直射点)) (VP (PP (P 向) (NP (NN 赤道))) (VP (VV 移动)))) )
8-C,放假期间	黄山6点前日出东北方向,None,0 2,1,,,放假期间 黄山 6点前 日出 东北 方向,放假 期间 黄山 6 点 前 日出 东北 方向,time loc time VV NN NN,,时间限定_0（放假期间6点前）趋势_1（黄山，日出，#，东北方向）,时间限定_0（放假期间6点前）趋势_1（黄山，日出，#，东北方向）,1_2,1_2,时间限定 趋势,时间限定 趋势,,,放假 期间 黄山 6点 前 日出 东北方 向,放假 期间 黄山 6 点 前 日出 东北方 向,time loc time VV NN NN,( (FRAG (NT 放假期间) (NR 黄山) (NT 6点前) (VV 日出) (NN 东北) (NN 方向)) )
8-D,放假期间	南极大陆极夜范围扩大,None,0,1,,,放假期间 南极 大陆 极夜 范围 扩大,放假 期间 南极 大陆 极夜 范围 扩大,time loc NN NN NN VV,,时间限定_0（放假期间）趋势_1（南极大陆，极夜范围，#，扩大）,时间限定_0（放假期间）趋势_1（南极大陆，极夜范围，#，扩大）,1_2,1_2,时间限定 趋势,时间限定 趋势,,2,放假 期间 南极 大陆 极夜 范围 扩大,放假 期间 南极 大陆 极夜 范围 扩大,time loc NN NN NN VV,( (IP (NP (NT 放假期间)) (NP (NP (NR 南极)) (NP (NN 大陆) (NN 极夜) (NN 范围))) (VP (VV 扩大))) )
9-A,“帕姆”	生成于西北太平洋热带洋面,None,,,6 7,,“ 帕姆 ” 生成 于 西北 太平洋 热带 洋面,“ 帕姆 ” 生成 于 西北 太平洋 热带 洋面,PU NN PU VV P NN term term NN,,实体信息陈述_0（“帕姆”，生成于，西北太平洋热带洋面）,实体信息陈述_0（“帕姆”，生成于，西北太平洋热带洋面）,,,实体信息陈述,实体信息陈述,,,“ 帕姆 ” 生成 于 西北 太平洋 热带 洋面,“ 帕姆 ” 生成 于 西北 太平洋 热带 洋面,PU NN PU VV P NN term term NN,( (IP (NP (PU “) (NN 帕姆) (PU ”)) (VP (VV 生成) (PP (P 于) (NP (NP (NN 西北) (NN 太平洋)) (NP (NN 热带) (NN 洋面)))))) )
9-B,“帕姆”	气流呈顺时针方向旋转,None,,,,,“ 帕姆 ” 气流 呈 顺时针 方向 旋转,“ 帕姆 ” 气流 呈 顺时针 方向 旋转,PU NN PU NN VV NN NN VV,,趋势_0（“帕姆”，气流，顺时针方向，旋转）,趋势_0（“帕姆”，气流，顺时针方向，旋转）,0_4-6,0_4-6,趋势,趋势,,,“ 帕姆 ” 气流 呈 顺时针 方向 旋转,“ 帕姆 ” 气流 呈 顺时针 方向 旋转,PU NN PU NN VV NN NN NN,( (IP (NP (NP (PU “) (NN 帕姆) (PU ”)) (NP (NN 气流))) (VP (VP (VV 呈) (NP (NN 顺时针) (NN 方向))) (VP (VV 旋转)))) )
9-C,“帕姆”	移动路径受控于西北漂流,None,,,7,,“ 帕姆 ” 移动 路径 受控 于 西北漂流,“ 帕姆 ” 移动 路径 受控 于 西北 漂流,PU NN PU NN NN VV P term,,影响_0（西北漂流，“帕姆”移动路径，#）,影响_0（西北漂流，“帕姆”移动路径，#）,0_5-6,0_5-6,影响,影响,,,“ 帕姆 ” 移动 路径 受控 于 西北 漂流,“ 帕姆 ” 移动 路径 受控 于 西北 漂流,PU NN PU VV NN VV P term,( (IP (NP (NP (PU “) (NN 帕姆) (PU ”)) (NP (NN 移动) (NN 路径))) (VP (VV 受控) (PP (P 于) (NP (NN 西北漂流))))) )
9-D,“帕姆”	自东向西穿过日界线,None,,,,,“ 帕姆 ” 自 东 向 西 穿过 日界线,“ 帕姆 ” 自 东 向 西 穿过 日界线,PU NN PU P NN P NN VV NN,,实体信息陈述_0（“帕姆”，自东向西穿过，日界线）,实体信息陈述_0（“帕姆”，自东向西穿过，日界线）,,,实体信息陈述,实体信息陈述,,,“ 帕姆 ” 自 东向西 穿过 日界线,“ 帕姆 ” 自 东向西 穿过 日界线,PU NN PU P NN P NN VV NN,( (IP (NP (PU “) (NN 帕姆) (PU ”)) (VP (PP (P 自) (NP (NN 东))) (PP (P 向) (NP (NN 西))) (VP (VV 穿过) (NP (NN 日界线))))) )
10-A,该气旋	标志当地进入台风多发季节,None,,,1,,该 气旋 标志 当地 进入 台风 多发 季节,该 气旋 标志 当地 进入 台风 多发 季节,DT term VV NN VV NN JJ NN,,实体信息陈述_0（该气旋，标志，当地进入台风多发季节）,实体信息陈述_0（该气旋，标志，实体信息陈述_1（当地，进入，台风多发季节））,,,实体信息陈述,实体信息陈述 实体信息陈述,,,该 气旋 标志 当地 进入 台风 多发 季节,该 气旋 标志 当地 进入 台风 多发 季节,DT term VV NN VV NN JJ NN,( (IP (NP (DP (DT 该)) (NP (NN 气旋))) (VP (VV 标志) (NP (NN 当地)) (IP (VP (VV 进入) (NP (NP (NN 台风)) (ADJP (JJ 多发)) (NP (NN 季节))))))) )
10-B,该气旋	引发滑坡、赤潮等次生灾害,None,,,1 3 5,,该 气旋 引发 滑坡 、 赤潮 等 次生 灾害,该 气旋 引发 滑坡 、 赤潮 等 次生 灾害,DT term VV term PU term ETC NN NN,,实体信息陈述_0（该气旋，引发，滑坡、赤潮等次生灾害）,实体信息陈述_0（该气旋，引发，滑坡、赤潮等次生灾害）,,,实体信息陈述,实体信息陈述,,,该 气旋 引发 滑坡 、 赤潮 等 次生 灾害,该 气旋 引发 滑坡 、 赤潮 等 次生 灾害,DT term VV term PU term ETC NN NN,( (IP (NP (DP (DT 该)) (NP (NN 气旋))) (VP (VV 引发) (NP (NP (NN 滑坡) (PU 、) (NN 赤潮) (ETC 等)) (NP (NN 次生) (NN 灾害))))) )
10-C,该气旋	造成的灾情可以用GPS监测,None,,,1 7,,该 气旋 造成 的 灾情 可以 用 GPS 监测,该 气旋 造成 的 灾情 可以 用 GPS 监测,DT term VV DEC NN VV VV term VV,,一般陈述_0（该气旋造成的灾情可以用GPS监测）,一般陈述_0（该气旋造成的灾情可以用GPS监测）,,,一般陈述,一般陈述,,,该 气旋 造成 的 灾情 可以 用 GPS 滥测,该 气旋 造成 的 灾情 可以 用 GPS 滥测,DT term VV DEC NN VV P term VV,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 气旋))) (VP (VV 造成))) (DEC 的)) (NP (NN 灾情))) (VP (VV 可以) (VP (VP (VV 用) (NP (NN GPS))) (VP (VV 监测))))) )
10-D,该气旋	对瓦努阿图的危害最大。,None,,3,1,,该 气旋 对 瓦努阿图 的 危害 最 大 。,该 气旋 对 瓦努阿图 的 危害 最 大 。,DT term P loc DEG NN AD VA PU,,最值_0（瓦努阿图，该气旋的危害，大，#）,最值_0（瓦努阿图，该气旋的危害，大，#）,0_6,0_6,最值,最值,,3,该 气旋 对 瓦努阿图 的 危害 最 大 。,该 气旋 对 瓦努阿图 的 危害 最 大 。,DT term P loc DEG NN AD VA PU,( (IP (NP (NP (DP (DT 该)) (NP (NN 气旋))) (DNP (PP (P 对) (NP (NR 瓦努阿图))) (DEG 的)) (NP (NN 危害))) (VP (ADVP (AD 最)) (VP (VA 大))) (PU 。)) )
11-A,据图可推断，甲地人口迁出比例	北方地区比南方地区高,None,,5 9 11,,,据 图 可 推断 ， 甲地 人口 迁出 比例 北方地区 比 南方地区 高,据 图 可 推断 ， 甲地 人口 迁出 比例 北方 地区 比 南方 地区 高,P NN VV VV PU loc NN NN NN loc P loc VA,,比较_0（北方地区，南方地区，甲地人口迁出比例，高）,比较_0（北方地区，南方地区，甲地人口迁出比例，高）,0_10-12,0_10-12,比较,比较,,,据图 可 推断 ， 甲地 人口 迁出 比例 北方 地区 比 南方 地区 高,据图 可 推断 ， 甲地 人口 迁出 比例 北方 地区 比 南方 地区 高,NN VV VV PU loc NN VV NN loc P loc VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VV 推断))))) (PU ，) (NP (NP (NP (NR 甲地) (NN 人口) (NN 迁出)) (NP (NN 比例))) (NP (NR 北方地区))) (VP (PP (P 比) (NP (NR 南方地区))) (VP (VA 高)))) )
11-B,据图可推断，甲地人口迁出比例	直辖市比省级行政中心高,None,,5,,,据 图 可 推断 ， 甲地 人口 迁出 比例 直辖市 比 省级 行政 中心 高,据 图 可 推断 ， 甲地 人口 迁出 比例 直辖市 比 省级 行政 中心 高,P NN VV VV PU loc NN NN NN NN P JJ NN NN VA,,比较_0（直辖市，省级行政中心，甲地人口迁出比例，高）,比较_0（直辖市，省级行政中心，甲地人口迁出比例，高）,0_10-14,0_10-14,比较,比较,,,据图 可 推断 ， 甲地 人口 迁出 比例 直辖市 比 省级 行政中心 高,据图 可 推断 ， 甲地 人口 迁出 比例 直辖市 比 省级 行政中心 高,NN VV VV PU loc NN VV NN NN P JJ NN NN VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VV 推断))))) (PU ，) (NP (NP (NR 甲地)) (NP (NN 人口) (NN 迁出) (NN 比例))) (NP (NN 直辖市)) (VP (PP (P 比) (NP (ADJP (JJ 省级)) (NP (NN 行政) (NN 中心)))) (VP (VA 高)))) )
11-C,据图可推断，甲地人口迁出比例	珠江三角洲比四川盆地高,None,,5 9 11,,,据 图 可 推断 ， 甲地 人口 迁出 比例 珠江三角洲 比 四川盆地 高,据 图 可 推断 ， 甲地 人口 迁出 比例 珠江 三角洲 比 四川 盆地 高,P NN VV VV PU loc NN NN NN loc P loc VA,,比较_0（珠江三角洲，四川盆地，甲地人口迁出比例，高）,比较_0（珠江三角洲，四川盆地，甲地人口迁出比例，高）,0_10-12,0_10-12,比较,比较,,,据图 可 推断 ， 甲地 人口 迁出 比例 珠江三角洲 比 四川盆地 高,据图 可 推断 ， 甲地 人口 迁出 比例 珠江三角洲 比 四川盆地 高,NN VV VV PU VV NN VV NN loc P loc VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VV 推断))))) (PU ，) (NP (NP (NP (NR 甲地) (NN 人口) (NN 迁出)) (NP (NN 比例))) (NP (NR 珠江三角洲))) (VP (PP (P 比) (NP (NR 四川盆地))) (VP (VA 高)))) )
11-D,据图可推断，甲地人口迁出比例	内陆城市比沿海城市高,None,,5 9 11,,,据 图 可 推断 ， 甲地 人口 迁出 比例 内陆城市 比 沿海城市 高,据 图 可 推断 ， 甲地 人口 迁出 比例 内陆 城市 比 沿海 城市 高,P NN VV VV PU loc NN NN NN loc P loc VA,,比较_0（内陆城市，沿海城市，甲地人口迁出比例，高）,比较_0（内陆城市，沿海城市，甲地人口迁出比例，高）,0_10-12,0_10-12,比较,比较,,,据图 可 推断 ， 甲地 人口 迁出 比例 内陆 城市 比 沿 海城市 高,据图 可 推断 ， 甲地 人口 迁出 比例 内陆 城市 比 沿海 城市 高,NN VV VV PU VV NN VV NN loc P loc VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 可) (VP (VV 推断))))) (PU ，) (NP (NP (NP (NR 甲地) (NN 人口) (NN 迁出)) (NP (NN 比例))) (NP (NR 内陆城市))) (VP (PP (P 比) (NP (NR 沿海城市))) (VP (VA 高)))) )
