编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该船员拍摄照片时，P地的地方时为	22时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 22时)))) )
7-D,在此期间，能源生产与消费结构的变化为	1994年，石油生产量和消费量所占比重相近,n,2 12,,,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN CC NN MSP VV NN VV,,时间限定_0（在此期间）时间限定_1（1994年）趋势_2（能源生产与消费结构，，，石油生产量和消费量所占比重相近）,时间限定_0（在此期间）时间限定_1（1994年）趋势_2（能源生产与消费结构，，，比较_3（石油，，生产量所占比重，消费量所占比重，相近））,0_2 1_12 2_10,0_2 1_12 2_10 3_21,时间限定 趋势,时间限定 趋势 比较,10,,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,在 此 期间 ， 能源 生产 与 消费 结构 的 变化 为 1994年 ， 石油 生产量 和 消费量 所 占 比重 相近,P PN time PU NN NN CC NN NN DEG NN VC time PU NN NN CC NN MSP VV NN VV,( (IP (IP (NP (PP (P 在) (NP (PN 此))) (NP (NT 期间))) (PU ，) (NP (DNP (NP (NN 能源) (NN 生产) (CC 与) (NN 消费) (NN 结构)) (DEG 的)) (NP (NN 变化))) (VP (VC 为) (NP (NT 1994年)))) (PU ，) (NP (CP (IP (NP (NN 石油) (NN 生产量) (CC 和) (NN 消费量)) (VP (MSP 所) (VP (VV 占))))) (NP (NN 比重))) (VP (VV 相近))) )
8-A,2000年消费量超过生产量20％以上的能源种类有	煤炭、石油,None,0,,,4,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 煤炭 、 石油,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 煤炭 、 石油,time NN VV NN num LC DEG NN NN VE NN PU NN,,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，煤炭）匹配_1（2000年消费量超过生产量20％以上的能源种类有，石油）,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，煤炭）匹配_1（2000年消费量超过生产量20％以上的能源种类有，石油）,0_8 1_11 2_0,0_8 1_11 2_0,匹配 时间限定,匹配 时间限定,0,,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 煤炭 、 石油,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 煤炭 、 石油,time NN VV NN num LC DEG NN NN VE NN PU NN,( (IP (NP (NT 2000年) (NN 消费量)) (VP (VP (VV 超过) (NP (DNP (LCP (QP (NP (NN 生产量)) (QP (CD 20％))) (LC 以上)) (DEG 的)) (NP (NN 能源) (NN 种类)))) (VP (VE 有) (NP (NN 煤炭) (PU 、) (NN 石油))))) )
8-B,2000年消费量超过生产量20％以上的能源种类有	石油、水电,None,0,,,4,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 石油 、 水电,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 石油 、 水电,time NN VV NN num LC DEG NN NN VE NN PU NN,,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，石油）匹配_1（2000年消费量超过生产量20％以上的能源种类有，水电）,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，石油）匹配_1（2000年消费量超过生产量20％以上的能源种类有，水电）,0_8 1_11 2_0,0_8 1_11 2_0,匹配 时间限定,匹配 时间限定,0,,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 石油 、 水电,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 石油 、 水电,time NN VV NN num LC DEG NN NN VE NN PU NN,( (IP (NP (NT 2000年) (NN 消费量)) (VP (VP (VV 超过) (NP (DNP (LCP (QP (NP (NN 生产量)) (QP (CD 20％))) (LC 以上)) (DEG 的)) (NP (NN 能源) (NN 种类)))) (VP (VE 有) (NP (NN 石油) (PU 、) (NN 水电))))) )
8-C,2000年消费量超过生产量20％以上的能源种类有	水电、天然气,None,0,,,4,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 水电 、 天然气,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 水电 、 天然气,time NN VV NN num LC DEG NN NN VE NN PU NN,,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，水电）匹配_1（2000年消费量超过生产量20％以上的能源种类有，天然气）,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，水电）匹配_1（2000年消费量超过生产量20％以上的能源种类有，天然气）,0_8 1_11 2_0,0_8 1_11 2_0,匹配 时间限定,匹配 时间限定,0,,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 水电 、 天然 气,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 水电 、 天然 气,time NN VV NN num LC DEG NN NN VE NN PU NN,( (IP (NP (NT 2000年) (NN 消费量)) (VP (VP (VV 超过) (NP (DNP (LCP (QP (NP (NN 生产量)) (QP (CD 20％))) (LC 以上)) (DEG 的)) (NP (NN 能源) (NN 种类)))) (VP (VE 有) (NP (NN 水电) (PU 、) (NN 天然气))))) )
8-D,2000年消费量超过生产量20％以上的能源种类有	天然气、煤炭,None,0,,,4,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 天然气 、 煤炭,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 天然气 、 煤炭,time NN VV NN num LC DEG NN NN VE NN PU NN,,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，天然气）匹配_1（2000年消费量超过生产量20％以上的能源种类有，煤炭）,时间限定_2（2000年）匹配_0（消费量超过生产量20％以上的能源种类，天然气）匹配_1（2000年消费量超过生产量20％以上的能源种类有，煤炭）,0_8 1_11 2_0,0_8 1_11 2_0,匹配 时间限定,匹配 时间限定,0,,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 天然气 、 煤炭,2000年 消费量 超过 生产量 20％ 以上 的 能源 种类 有 天然气 、 煤炭,time NN VV NN num LC DEG NN NN VE NN PU NN,( (IP (NP (NT 2000年) (NN 消费量)) (VP (VP (VV 超过) (NP (DNP (LCP (QP (NP (NN 生产量)) (QP (CD 20％))) (LC 以上)) (DEG 的)) (NP (NN 能源) (NN 种类)))) (VP (VE 有) (NP (NN 天然气) (PU 、) (NN 煤炭))))) )
9-A,我国目前	以煤炭消费为主的状况已经改变,None,1,,,,我国 目前 以 煤炭 消费 为主 的 状况 已经 改变,我国 目前 以 煤炭 消费 为主 的 状况 已经 改变,NR time P NN NN VV DEC NN AD VV,,时间限定_0（目前）实体信息陈述_1（我国，，以煤炭消费为主的状况已经改变）,时间限定_0（目前）实体信息陈述_1（我国，，以煤炭消费为主的状况已经改变）,0_1 1_0,0_1 1_0,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,我国 目前 以 煤炭 消费 为主 的 状况 已经 改变,我国 目前 以 煤炭 消费 为主 的 状况 已经 改变,NR time P NN NN VV DEC NN AD VV,( (IP (NP (NR 我国)) (NP (NP (NT 目前)) (CP (IP (VP (PP (P 以) (NP (NN 煤炭) (NN 消费))) (VP (VV 为主)))) (DEC 的)) (NP (NN 状况))) (VP (ADVP (AD 已经)) (VP (VV 改变)))) )
9-B,我国目前	天然气消费呈下降趋势,None,1,,,,我国 目前 天然气 消费 呈 下降 趋势,我国 目前 天然气 消费 呈 下降 趋势,NR time NN NN VV VV NN,,时间限定_0（目前）趋势_1（我国，天然气消费，，下降趋势）,时间限定_0（目前）趋势_1（我国，天然气消费，，下降趋势）,0_1 1_6,0_1 1_6,时间限定 趋势,时间限定 趋势,1,,我国 目前 天然气 消费 呈 下降 趋势,我国 目前 天然气 消费 呈 下降 趋势,NR time NN NN VV VV NN,( (IP (NP (NP (NR 我国)) (NP (NT 目前)) (NP (NN 天然气) (NN 消费))) (VP (VV 呈) (NP (IP (VP (VV 下降))) (NP (NN 趋势))))) )
9-C,我国目前	因消费量少于生产量，原油可以大量出口,n,1,,,,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出口,NR time P NN VV NN PU NN VV CD NN,,时间限定_0（目前）因果_1（因消费量少于生产量，我国原油可以大量出口）,时间限定_0（目前）因果_1（因消费量少于生产量，我国原油可以大量出口）,0_1 1_2,0_1 1_2,时间限定 因果,时间限定 因果,1,,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出,我国 目前 因 消费量 少于 生产量 ， 原油 可以 大量 出,NR time P NN VV NN PU NN VV CD NN,( (IP (IP (NP (NR 我国)) (VP (NP (NT 目前)) (PP (P 因) (NP (NN 消费量))) (VP (VV 少于) (NP (NN 生产量))))) (PU ，) (NP (NN 原油)) (VP (VV 可以) (NP (QP (CD 大量)) (NP (NN 出口))))) )
9-D,我国目前	水电生产呈增加的趋势,None,1,,,,我国 目前 水电 生产 呈 增加 的 趋势,我国 目前 水电 生产 呈 增加 的 趋势,NR time NN NN VV VV DEC NN,,时间限定_0（目前）趋势_1（我国，水电，，增加的趋势）,时间限定_0（目前）趋势_1（我国，水电，，增加的趋势）,0_1 1_7,0_1 1_7,时间限定 趋势,时间限定 趋势,1,,我国 目前 水电 生产 呈 增加 的 趋势,我国 目前 水电 生产 呈 增加 的 趋势,NR time NN NN VV VV DEC NN,( (IP (NP (NP (NR 我国)) (NP (NT 目前)) (NP (NN 水电) (NN 生产))) (VP (VV 呈) (NP (CP (IP (VP (VV 增加))) (DEC 的)) (NP (NN 趋势))))) )
10-A,长江三角洲地区与城市带发育不相关的自然因素是	气候温和湿润,None,,0,2,,长江三角洲地区 与 城市带 发育 不 相关 的 自然 因素 是 气候 温和 湿润,长江 三角洲 地区 与 城市带 发育 不 相关 的 自然 因素 是 气候 温和 湿润,loc CC term VV AD VA DEC NN NN VC NN VA VA,,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是气候温和湿润）,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是气候温和湿润）,,,一般陈述,一般陈述,,,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 气候 温和 湿润,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 气候 温和 湿润,loc CC term VV AD VA DEC NN NN VC NN VA VA,( (IP (NP (NR 长江三角洲地区) (CC 与) (NN 城市带)) (VP (VV 发育) (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 相关)))) (DEC 的)) (NP (NN 自然) (NN 因素))) (VP (VC 是) (IP (NP (NN 气候)) (VP (VCD (VA 温和) (VA 湿润)))))))) )
10-B,长江三角洲地区与城市带发育不相关的自然因素是	河网密集,None,,0,2,,长江三角洲地区 与 城市带 发育 不 相关 的 自然 因素 是 河网 密集,长江 三角洲 地区 与 城市带 发育 不 相关 的 自然 因素 是 河网 密集,loc CC term VV AD VA DEC NN NN VC NN VA,,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是河网密集）,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是河网密集）,,,一般陈述,一般陈述,,,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 河网 密集,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 河网 密集,loc CC term VV AD VA DEC NN NN VC NN VA,( (IP (NP (NR 长江三角洲地区) (CC 与) (NN 城市带)) (VP (VV 发育) (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 相关)))) (DEC 的)) (NP (NN 自然) (NN 因素))) (VP (VC 是) (IP (NP (NN 河网)) (VP (VA 密集))))))) )
10-C,长江三角洲地区与城市带发育不相关的自然因素是	矿产资源丰富,None,,0,2,,长江三角洲地区 与 城市带 发育 不 相关 的 自然 因素 是 矿产 资源 丰富,长江 三角洲 地区 与 城市带 发育 不 相关 的 自然 因素 是 矿产 资源 丰富,loc CC term VV AD VA DEC NN NN VC NN NN VA,,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是矿产资源丰富）,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是矿产资源丰富）,,,一般陈述,一般陈述,,,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 矿产 资源 丰富,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 矿产 资源 丰富,loc CC term VV AD VA DEC NN NN VC NN NN VA,( (IP (NP (NR 长江三角洲地区) (CC 与) (NN 城市带)) (VP (VV 发育) (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 相关)))) (DEC 的)) (NP (NN 自然) (NN 因素))) (VP (VC 是) (IP (NP (NN 矿产) (NN 资源)) (VP (VA 丰富))))))) )
10-D,长江三角洲地区与城市带发育不相关的自然因素是	临江面海的地理位置,None,,0,2,,长江三角洲地区 与 城市带 发育 不 相关 的 自然 因素 是 临 江 面 海 的 地理 位置,长江 三角洲 地区 与 城市带 发育 不 相关 的 自然 因素 是 临 江 面 海 的 地理 位置,loc CC term VV AD VA DEC NN NN VC VV NN VV NN DEC NN NN,,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是临江面海的地理位置）,一般陈述_0（长江三角洲地区与城市带发育不相关的自然因素是临江面海的地理位置）,,,一般陈述,一般陈述,,,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 临江 面海 的 地理 位置,长江三角洲 地区 与 城市 带 发育 不 相关 的 自然 因素 是 临江 面海 的 地理 位置,loc CC term VV AD VA DEC NN NN VC VV NN DEG NN NN,( (IP (NP (NR 长江三角洲地区) (CC 与) (NN 城市带)) (VP (VV 发育) (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 相关)))) (DEC 的)) (NP (NN 自然) (NN 因素))) (VP (VC 是) (NP (CP (IP (VP (VP (VV 临) (NP (NN 江))) (VP (VV 面) (NP (NN 海))))) (DEC 的)) (NP (NN 地理) (NN 位置))))))) )
11-A,该地区经济高速增长的根本原因是	市场机制比较成熟,None,,,,,该 地区 经济 高速 增长 的 根本 原因 是 市场 机制 比较 成熟,该 地区 经济 高速 增长 的 根本 原因 是 市场 机制 比较 成熟,DT NN NN JJ NN DEG NN NN VC NN NN AD VA,,因果_0（市场机制比较成熟，该地区经济高速增长）,因果_0（市场机制比较成熟，该地区经济高速增长）,0_6-7,0_6-7,因果,因果,,,该 地区 经济 高速 增长 的 根本 原因 是 市场 机制 比较 成熟,该 地区 经济 高速 增长 的 根本 原因 是 市场 机制 比较 成熟,DT NN NN JJ NN DEG NN NN VC NN NN AD VA,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 经济)) (ADJP (JJ 高速)) (NP (NN 增长))) (DEG 的)) (NP (NN 根本) (NN 原因))) (VP (VC 是) (IP (NP (NN 市场) (NN 机制)) (VP (ADVP (AD 比较)) (VP (VA 成熟)))))) )
11-B,该地区经济高速增长的根本原因是	特色经济形成规模,None,,,,,该 地区 经济 高速 增长 的 根本 原因 是 特色 经济 形成 规模,该 地区 经济 高速 增长 的 根本 原因 是 特色 经济 形成 规模,DT NN NN JJ NN DEG NN NN VC NN NN VV NN,,因果_0（特色经济形成规模，该地区经济高速增长）,因果_0（特色经济形成规模，该地区经济高速增长）,0_6-7,0_6-7,因果,因果,,,该 地区 经济 高速 增长 的 根本 原因 是 特色 经济 形成 规模,该 地区 经济 高速 增长 的 根本 原因 是 特色 经济 形成 规模,DT NN NN JJ NN DEG NN NN VC NN NN VV NN,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 经济)) (ADJP (JJ 高速)) (NP (NN 增长))) (DEG 的)) (NP (NN 根本) (NN 原因))) (VP (VC 是) (IP (NP (NN 特色) (NN 经济)) (VP (VV 形成) (NP (NN 规模)))))) )
11-C,该地区经济高速增长的根本原因是	积极参与国际竞争,None,,,,,该 地区 经济 高速 增长 的 根本 原因 是 积极 参与 国际 竞争,该 地区 经济 高速 增长 的 根本 原因 是 积极 参与 国际 竞争,DT NN NN JJ NN DEG NN NN VC AD VV NN NN,,因果_0（积极参与国际竞争，该地区经济高速增长）,因果_0（积极参与国际竞争，该地区经济高速增长）,0_6-7,0_6-7,因果,因果,,,该 地区 经济 高速 增长 的 根本 原因 是 积极 参与 国际 竞争,该 地区 经济 高速 增长 的 根本 原因 是 积极 参与 国际 竞争,DT NN NN JJ NN DEG NN NN VC AD VV NN NN,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 经济)) (ADJP (JJ 高速)) (NP (NN 增长))) (DEG 的)) (NP (NN 根本) (NN 原因))) (VP (VC 是) (VP (ADVP (AD 积极)) (VP (VV 参与) (NP (NN 国际) (NN 竞争)))))) )
11-D,该地区经济高速增长的根本原因是	第一产业发展迅速,None,,,9,,该 地区 经济 高速 增长 的 根本 原因 是 第一产业 发展 迅速,该 地区 经济 高速 增长 的 根本 原因 是 第一 产业 发展 迅速,DT NN NN JJ NN DEG NN NN VC term NN VA,,因果_0（第一产业发展迅速，该地区经济高速增长）,因果_0（第一产业发展迅速，该地区经济高速增长）,0_6-7,0_6-7,因果,因果,,,该 地区 经济 高速 增长 的 根本 原因 是 第一产业 发展 迅速,该 地区 经济 高速 增长 的 根本 原因 是 第一产业 发展 迅速,DT NN NN JJ NN DEG NN NN VC OD NN VA,( (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 地区))) (NP (NN 经济)) (ADJP (JJ 高速)) (NP (NN 增长))) (DEG 的)) (NP (NN 根本) (NN 原因))) (VP (VC 是) (IP (NP (NN 第一产业) (NN 发展)) (VP (VA 迅速))))) )
